Execution,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params
1,0.7839746430141965,-99999.0,396332670.0,-359996400.0,4128074.0
2,0.778875785033566,-99999.0,387051934.0,-359996400.0,5427914.0
3,0.7818104724538452,-99999.0,127190766.0,-359996400.0,4316330.0
4,0.7828718102154775,-99999.0,491599710.0,-359996400.0,5892682.0
5,0.7805555440214798,-99999.0,1990090878.0,-359996400.0,3930698.0
6,0.7730844084229075,-99999.0,204003982.0,-359996400.0,1601610.0
7,0.7868565769316147,-99999.0,2971884094.0,-359996400.0,36431210.0
8,0.7817479110931083,-99999.0,249289246.0,-359996400.0,2540426.0
9,0.7831501083168207,-99999.0,2688407550.0,-359996400.0,36153706.0
10,0.7824585263780564,-99999.0,1696616830.0,-359996400.0,18422634.0
Mean,0.7815385785881073,-99999.0,1120246766.0,-359996400.0,11884528.4
Std,0.0034508538200263704,0.0,1049646213.2482544,0.0,12983157.424047906
