Execution,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params
1,0.7760704740211553,-99999.0,1321783486.0,-359996400.0,34817194.0
2,0.7713172035438877,-99999.0,1430038894.0,-359996400.0,3387178.0
3,0.7820070596509416,-99999.0,240115166.0,-359996400.0,5775690.0
4,0.7854225170069234,-99999.0,1235674622.0,-359996400.0,5173674.0
5,0.78157982274242,-99999.0,1323177694.0,-359996400.0,18059306.0
6,0.7803473502668976,-99999.0,244010622.0,-359996400.0,5072074.0
7,0.7797964309934295,-99999.0,2021865502.0,-359996400.0,9902986.0
8,0.7778916731331846,-99999.0,535595006.0,-359996400.0,6658090.0
9,0.7799423414683436,-99999.0,1349144958.0,-359996400.0,34844138.0
10,0.7819252969758369,-99999.0,3211514430.0,-359996400.0,19902250.0
Mean,0.779630016980302,-99999.0,1291292038.0,-359996400.0,14359258.0
Std,0.003656614569180744,0.0,837942610.0016668,0.0,11517073.575431425
