Execution,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params
1,0.7848940284693599,-99999.0,2297436446.0,-359996400.0,69293898.0
2,0.7903869542351752,-99999.0,653099038.0,-359996400.0,8218762.0
3,0.7843831768908632,-99999.0,2663307070.0,-359996400.0,36128970.0
4,0.7873074323364628,-99999.0,542640702.0,-359996400.0,12072074.0
5,0.7828181502644018,-99999.0,1002592158.0,-359996400.0,10595210.0
6,0.7879146324786365,-99999.0,430036414.0,-359996400.0,6374602.0
7,0.7856699506586021,-99999.0,660862718.0,-359996400.0,6057866.0
8,0.7841385454585117,-99999.0,2011289790.0,-359996400.0,69014346.0
9,0.786220118157485,-99999.0,3505395998.0,-359996400.0,36951882.0
10,0.7876890950032605,-99999.0,312651262.0,-359996400.0,6238730.0
Mean,0.7861422083952759,-99999.0,1407931159.6,-359996400.0,26094634.0
Std,0.002117905315899673,0.0,1064303292.0259594,0.0,24223677.69779986
