Execution,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params
1,0.7845562315464397,-99999.0,1500467582.0,-359996400.0,34991914.0
2,0.7784351302609993,-99999.0,327427038.0,-359996400.0,10008010.0
3,0.7849129109781791,-99999.0,490153950.0,-359996400.0,4892298.0
4,0.7825134686848909,-99999.0,2133023294.0,-359996400.0,69133674.0
5,0.7838997153437203,-99999.0,400282142.0,-359996400.0,5702538.0
6,0.7837543435148209,-99999.0,3792622526.0,-359996400.0,37231018.0
7,0.7827507643935605,-99999.0,1094061982.0,-359996400.0,17833642.0
8,0.7847768219454853,-99999.0,524118622.0,-359996400.0,4758474.0
9,0.7811221990884717,-99999.0,292586190.0,-359996400.0,3058218.0
10,0.7877238533198795,-99999.0,2003785918.0,-359996400.0,69007018.0
Mean,0.7834445439076447,-99999.0,1255852924.4,-359996400.0,25661680.4
Std,0.0023583533139795686,0.0,1072083628.8330667,0.0,24644362.62885204
