Execution,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params
1,0.7756236629321737,-99999.0,2813434334.0,-359996400.0,36276362.0
2,0.7827307718929661,-99999.0,606543358.0,-359996400.0,2576618.0
3,0.7828723731972302,-99999.0,664571614.0,-359996400.0,17413994.0
4,0.7861672061483027,-99999.0,187966574.0,-359996400.0,5415338.0
5,0.7773006332960887,-99999.0,764875934.0,-359996400.0,17513418.0
6,0.7791804286266982,-99999.0,769626782.0,-359996400.0,11116490.0
7,0.7827951544736075,-99999.0,1455347518.0,-359996400.0,68470986.0
8,0.785664619214474,-99999.0,2859096254.0,-359996400.0,36320618.0
9,0.7824994906695453,-99999.0,102831470.0,-359996400.0,2536042.0
10,0.7776001501911398,-99999.0,222639134.0,-359996400.0,3112650.0
Mean,0.7812434490642226,-99999.0,1044693297.2,-359996400.0,20075251.6
Std,0.003424887660872681,0.0,968319393.0090421,0.0,20196308.275651343
