ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
MJJG,42,1,1,False,False,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,0,[],[],0.6819900086720785,-99999,165792446,-359996400,8545258,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
KABR,42,1,1,False,False,"[1, 1, 0, 1, 2, 1, 1, 2, 0, 2, -1, 1, 1, 0, 0, 1, 2, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,0,[],[],0.7705047678734576,-99999,375961070,-359996400,4398890,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
ZTHN,42,1,1,False,False,"[1, 2, 0, 1, 2, 1, 2, -1, 0, 1, 2, 0, 1, 2, 1, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,0,[],[],0.719095652004083,-99999,567201118,-359996400,2023178,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
KCYY,42,1,1,False,False,"[1, 0, 1, 1, 0, 1, 1, 1, 0, 2, -1, 1, 1, 3, 0, 2, -1, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,0,[],[],0.7321574933826923,-99999,70412094,-359996400,4922090,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
PHE,42,1,1,False,False,"[1, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,0,[],[],0.7380845052599906,-99999,526180142,-359996400,1012010,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
WVWX,42,1,1,False,False,"[1, 0, 0, 1, 3, 1, 2, -1, 1, 1, 0, 0, 2, -1, 1, 1, 3, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,0,[],[],0.7402617083787918,-99999,223921742,-359996400,1013290,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
KABR,-999999,1,1,False,False,"[1, 1, 0, 1, 2, 1, 1, 2, 0, 2, -1, 1, 1, 0, 0, 1, 2, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,0,[],[],0.7705047678734576,-99999,375961070,-359996400,4398890,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,-999999,-999999,-999999,-999999,False,True
FLUX,42,1,2,False,False,"[1, 2, 1, 1, 3, 0, 1, 1, 1, 2, -1, 0, 1, 3, 0, 1, 2, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,0,[],[],0.7686795234964007,-99999,996370142,-359996400,18469834,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
CXRZ,42,1,2,False,False,"[1, 0, 0, 1, 0, 0, 1, 1, 1, 2, -1, 0, 1, 3, 0, 1, 3, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,0,[],[],0.7504750001430511,-99999,537138718,-359996400,18631402,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
GLZ,42,1,2,False,False,"[1, 3, 1, 1, 2, 1, 2, -1, 0, 1, 3, 1, 1, 0, 1, 1, 2, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,0,[],[],0.7565185058116913,-99999,1147704958,-359996400,18688170,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
