ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
MJJG,42,1,1,False,False,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYPE,GA,0,[],[],0.6819900086720785,-99999,165792446,-359996400,8545258,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,8,12,30,30,False,False
KABR,42,1,1,False,False,"[1, 1, 0, 1, 2, 1, 1, 2, 0, 2, -1, 1, 1, 0, 0, 1, 2, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYPE,GA,0,[],[],0.7705047678734576,-99999,375961070,-359996400,4398890,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,8,12,30,30,False,False
DNNA,42,1,1,False,False,"[1, 2, 0, 1, 3, 0, 1, 0, 0, 2, -1, 0, 1, 1, 0, 1, 3, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYPE,GA,0,[],[],0.762491238870791,-99999,499773438,-359996400,9194346,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,8,12,30,30,False,False
GCRN,42,1,1,False,False,"[1, 0, 1, 1, 0, 0, 1, 2, 1, 2, -1, 0, 1, 2, 0, 1, 2, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYPE,GA,0,[],[],0.7705550003051758,-99999,201102302,-359996400,8803626,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,8,12,30,30,False,False
YPRM,42,1,1,False,False,"[1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 1, 0, 2, -1, 0, 1, 1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYPE,GA,0,[],[],0.7093336566587289,-99999,18080158,-359996400,592554,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,8,12,30,30,False,False
SKTL,42,1,1,False,False,"[1, 0, 1, 2, -1, 0, 1, 1, 0, 1, 0, 0, 2, -1, 0, 1, 3, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYPE,GA,0,[],[],0.6676405643125375,-99999,25141662,-359996400,8511210,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,8,12,30,30,False,False
SKTL|YPRM(1),42,1,1,True,False,"[1, 0, 1, 1, 0, 0, 2, -1, 0, 1, 1, 0, 2, -1, 0, 1, 1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYPE,GA,0,[],[],0.7045888638297718,-99999,19653022,-359996400,594090,SKTL,YPRM,"[1, 0, 1, 2, -1, 0, 1, 1, 0, 1, 0, 0, 2, -1, 0, 1, 3, 0, 5, 3, 0]","[1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 1, 0, 2, -1, 0, 1, 1, 0, 5, 1, 0]",NONE,7,1,-1,0,0,2,0,False,False
SKTL|YPRM(2),42,1,1,True,False,"[1, 0, 0, 2, -1, 0, 1, 1, 0, 1, 0, 0, 2, -1, 0, 1, 3, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYPE,GA,0,[],[],0.6699250632723173,-99999,23568798,-359996400,8509674,SKTL,YPRM,"[1, 0, 1, 2, -1, 0, 1, 1, 0, 1, 0, 0, 2, -1, 0, 1, 3, 0, 5, 3, 0]","[1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 1, 0, 2, -1, 0, 1, 1, 0, 5, 1, 0]",NONE,1,7,-1,0,0,2,0,False,False
GCRN|YPRM(1),42,1,1,True,False,"[1, 0, 1, 1, 0, 0, 1, 2, 1, 1, 1, 0, 2, -1, 0, 1, 1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYPE,GA,0,[],[],0.7545326586266359,-99999,204237598,-359996400,2325290,GCRN,YPRM,"[1, 0, 1, 1, 0, 0, 1, 2, 1, 2, -1, 0, 1, 2, 0, 1, 2, 0, 5, 2, 0]","[1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 1, 0, 2, -1, 0, 1, 1, 0, 5, 1, 0]",NONE,6,4,-1,0,0,4,0,False,False
GCRN|YPRM(2),42,1,1,True,False,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 2, 0, 1, 2, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYPE,GA,0,[],[],0.7407585027813911,-99999,75600574,-359996400,8597834,GCRN,YPRM,"[1, 0, 1, 1, 0, 0, 1, 2, 1, 2, -1, 0, 1, 2, 0, 1, 2, 0, 5, 2, 0]","[1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 1, 0, 2, -1, 0, 1, 1, 0, 5, 1, 0]",NONE,3,8,-1,0,0,4,0,False,False
