ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
MJJG,42,1,1,False,False,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,NONE,GA,0,[],[],0.6819900086720785,-99999,165792446,-359996400,8545258,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,8,5,30,30,False,False
KABR,42,1,1,False,False,"[1, 1, 0, 1, 2, 1, 1, 2, 0, 2, -1, 1, 1, 0, 0, 1, 2, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,NONE,GA,0,[],[],0.7705047678734576,-99999,375961070,-359996400,4398890,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,8,5,30,30,False,False
ZTHN,42,1,1,False,False,"[1, 2, 0, 1, 2, 1, 2, -1, 0, 1, 2, 0, 1, 2, 1, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,NONE,GA,0,[],[],0.719095652004083,-99999,567201118,-359996400,2023178,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,8,5,30,30,False,False
PBHN,42,1,1,False,False,"[1, 1, 1, 2, -1, 1, 1, 2, 1, 1, 3, 0, 2, -1, 0, 1, 2, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,NONE,GA,0,[],[],0.6991433308025201,-99999,76818814,-359996400,1394058,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,8,5,30,30,False,False
FUNP,42,1,1,False,False,"[1, 1, 0, 1, 1, 1, 1, 0, 0, 2, -1, 1, 1, 1, 0, 1, 2, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,NONE,GA,0,[],[],0.7564113342960676,-99999,138936238,-359996400,2200874,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,8,5,30,30,False,False
XBQS,42,1,1,False,False,"[1, 2, 1, 1, 0, 1, 2, -1, 0, 1, 1, 0, 1, 0, 1, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,NONE,GA,0,[],[],0.6973443644529297,-99999,133081694,-359996400,446986,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,8,5,30,30,False,False
KABR|ZTHN(1),42,1,1,True,False,"[1, 1, 0, 1, 2, 1, 2, -1, 0, 1, 2, 0, 1, 2, 1, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,NONE,GA,0,[],[],0.7062991534670193,-99999,355617950,-359996400,1816330,KABR,ZTHN,"[1, 1, 0, 1, 2, 1, 1, 2, 0, 2, -1, 1, 1, 0, 0, 1, 2, 0, 5, 2, 0]","[1, 2, 0, 1, 2, 1, 2, -1, 0, 1, 2, 0, 1, 2, 1, 2, -1, 0, 5, 1, 0]",NONE,10,1,-1,0,0,2,0,False,False
KABR|ZTHN(2),42,1,1,True,False,"[1, 2, 0, 1, 2, 1, 1, 2, 0, 2, -1, 1, 1, 0, 0, 1, 2, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,NONE,GA,0,[],[],0.769456523188523,-99999,587544238,-359996400,4605738,KABR,ZTHN,"[1, 1, 0, 1, 2, 1, 1, 2, 0, 2, -1, 1, 1, 0, 0, 1, 2, 0, 5, 2, 0]","[1, 2, 0, 1, 2, 1, 2, -1, 0, 1, 2, 0, 1, 2, 1, 2, -1, 0, 5, 1, 0]",NONE,1,10,-1,0,0,2,0,False,False
ZTHN|MJJG(1),42,1,1,True,False,"[1, 2, 0, 1, 2, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,NONE,GA,0,[],[],0.7091484423213535,-99999,588287134,-359996400,8958410,ZTHN,MJJG,"[1, 2, 0, 1, 2, 1, 2, -1, 0, 1, 2, 0, 1, 2, 1, 2, -1, 0, 5, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 5, 1, 0]",NONE,8,3,-1,0,0,4,0,False,False
ZTHN|MJJG(2),42,1,1,True,False,"[1, 1, 1, 1, 0, 1, 2, -1, 0, 1, 2, 0, 1, 2, 1, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,NONE,GA,0,[],[],0.6957967633690153,-99999,172968830,-359996400,1554730,ZTHN,MJJG,"[1, 2, 0, 1, 2, 1, 2, -1, 0, 1, 2, 0, 1, 2, 1, 2, -1, 0, 5, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 5, 1, 0]",NONE,3,8,-1,0,0,4,0,False,False
