ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
MJJG,42,1,1,False,False,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.20819999277591705, 0.5580999851226807, 0.47369998693466187, 0.4440000057220459, 0.5824999809265137, 0.6712999939918518, 0.6067000031471252, 0.46950000524520874, 0.6014000177383423, 0.5722000002861023, 0.7045000195503235, 0.7267000079154968, 0.713100016117096, 0.7067999839782715, 0.6708999872207642, 0.6585999727249146, 0.7333999872207642, 0.7398999929428101, 0.6071000099182129, 0.659600019454956]","[2.7504618167877197, 1.2220226526260376, 1.5700875520706177, 1.618109941482544, 1.2909033298492432, 0.9601371884346008, 1.1501871347427368, 1.9284001588821411, 1.2245901823043823, 1.2493126392364502, 0.8588361144065857, 0.7835401892662048, 0.829046368598938, 0.863045871257782, 0.9592909216880798, 1.033211350440979, 0.7921173572540283, 0.7637327313423157, 1.3855031728744507, 1.1014052629470825]",0.659600019454956,1.1014052629470825,165792446,454.21143817901606,8545258,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
RKTQ,42,1,1,False,False,"[1, 2, 0, 1, 2, 1, 1, 3, 0, 2, -1, 0, 1, 1, 1, 1, 3, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.25029999017715454, 0.47600001096725464, 0.5602999925613403, 0.6327000260353088, 0.4366999864578247, 0.6053000092506409, 0.6801000237464905, 0.7131999731063843, 0.6473000049591064, 0.6769000291824341, 0.631600022315979, 0.741100013256073, 0.6818000078201294, 0.7630000114440918, 0.758899986743927, 0.7603999972343445, 0.7558000087738037, 0.7973999977111816, 0.7562999725341797, 0.7484999895095825]","[2.3286139965057373, 1.561112403869629, 1.4139708280563354, 1.0808534622192383, 2.525554656982422, 1.1895959377288818, 1.0147035121917725, 0.8470467925071716, 1.0315687656402588, 0.9286689162254333, 1.2582284212112427, 0.7780138850212097, 1.003880262374878, 0.700229287147522, 0.7753668427467346, 0.7289147973060608, 0.7419216632843018, 0.6075361967086792, 0.7925655841827393, 0.7890088558197021]",0.7484999895095825,0.7890088558197021,944107806,596.3160765171051,9921866,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
BDPO,42,1,1,False,False,"[1, 2, 1, 1, 1, 1, 2, -1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.32670000195503235, 0.5163999795913696, 0.5552999973297119, 0.616599977016449, 0.6657999753952026, 0.6381999850273132, 0.6169999837875366, 0.6851000189781189, 0.6448000073432922, 0.714900016784668, 0.6089000105857849, 0.6858000159263611, 0.7037000060081482, 0.7319999933242798, 0.7328000068664551, 0.738099992275238, 0.738099992275238, 0.6869999766349792, 0.7717999815940857, 0.7770000100135803]","[2.022230386734009, 1.4074466228485107, 1.2850627899169922, 1.10625422000885, 0.9462557435035706, 1.075314998626709, 1.2017207145690918, 0.9186214804649353, 1.0887795686721802, 0.8453909158706665, 1.459712028503418, 0.9411084055900574, 0.8934988379478455, 0.7755061388015747, 0.7819275856018066, 0.7787823677062988, 0.7698057889938354, 0.9984666705131531, 0.6593078970909119, 0.6423649191856384]",0.7770000100135803,0.6423649191856384,239837694,444.7774682044983,2386474,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
VQST,42,1,1,False,False,"[1, 0, 1, 1, 2, 0, 1, 2, 0, 2, -1, 0, 1, 1, 1, 1, 2, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.31029999256134033, 0.5805000066757202, 0.6435999870300293, 0.5533999800682068, 0.629800021648407, 0.7117999792098999, 0.7261999845504761, 0.7064999938011169, 0.7343999743461609, 0.7394999861717224, 0.7045999765396118, 0.76419997215271, 0.7265999913215637, 0.7698000073432922, 0.7545999884605408, 0.7773000001907349, 0.7875999808311462, 0.7818999886512756, 0.8008999824523926, 0.7296000123023987]","[2.022099018096924, 1.1654797792434692, 1.0199679136276245, 1.4648288488388062, 1.1296600103378296, 0.8614718914031982, 0.825192391872406, 0.8497958183288574, 0.7737694382667542, 0.8014950752258301, 0.9552014470100403, 0.6787310242652893, 0.8829184770584106, 0.6974910497665405, 0.7765186429023743, 0.6915906667709351, 0.6352623105049133, 0.649713933467865, 0.6159791350364685, 0.850010335445404]",0.7296000123023987,0.850010335445404,279872190,491.7086138725281,17252554,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
WZRM,42,1,1,False,False,"[1, 3, 1, 1, 0, 0, 1, 2, 0, 2, -1, 1, 1, 3, 1, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.27079999446868896, 0.4072999954223633, 0.5907999873161316, 0.5989000201225281, 0.6269999742507935, 0.6111000180244446, 0.7171000242233276, 0.6294000148773193, 0.6444000005722046, 0.7146999835968018, 0.6794999837875366, 0.6822999715805054, 0.7067000269889832, 0.6710000038146973, 0.732200026512146, 0.7565000057220459, 0.7088000178337097, 0.696399986743927, 0.7861999869346619, 0.7623999714851379]","[2.1290600299835205, 1.802241563796997, 1.1807763576507568, 1.115311861038208, 1.0517059564590454, 1.103249430656433, 0.8144714832305908, 1.126049518585205, 1.0638468265533447, 0.8106480836868286, 0.8994413018226624, 0.9196416139602661, 0.8350681662559509, 0.9597321152687073, 0.7809615135192871, 0.7192538380622864, 0.8280240297317505, 0.9094215631484985, 0.6051466464996338, 0.6945142149925232]",0.7623999714851379,0.6945142149925232,233987326,454.84084510803217,2133930,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
KUJY,42,1,1,False,False,"[1, 1, 0, 1, 3, 0, 1, 3, 0, 2, -1, 0, 1, 0, 1, 1, 1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.249099999666214, 0.593500018119812, 0.5838000178337097, 0.545199990272522, 0.6062999963760376, 0.7014999985694885, 0.6711999773979187, 0.698199987411499, 0.6912999749183655, 0.7364000082015991, 0.746399998664856, 0.7055000066757202, 0.7163000106811523, 0.7231000065803528, 0.7427999973297119, 0.7925000190734863, 0.7261000275611877, 0.7760000228881836, 0.7949000000953674, 0.7577999830245972]","[2.665029525756836, 1.159147024154663, 1.2727513313293457, 1.4457038640975952, 1.1988093852996826, 0.8625144362449646, 0.988491415977478, 0.8598707318305969, 0.9361461997032166, 0.7658445239067078, 0.7686936855316162, 0.943684458732605, 0.8488882780075073, 0.8470718860626221, 0.7750586271286011, 0.5972475409507751, 0.8504537343978882, 0.6971436738967896, 0.6078569293022156, 0.7650656700134277]",0.7577999830245972,0.7650656700134277,827532926,623.7426166534424,5196522,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
CBF,42,1,1,False,False,"[1, 0, 1, 1, 2, 1, 1, 1, 0, 2, -1, 0, 1, 3, 1, 1, 2, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [128, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.4275999963283539, 0.5719000101089478, 0.5929999947547913, 0.6256999969482422, 0.6614000201225281, 0.7001000046730042, 0.6732000112533569, 0.6535000205039978, 0.7871999740600586, 0.7132999897003174, 0.6762999892234802, 0.786899983882904, 0.7132999897003174, 0.7979000210762024, 0.7699999809265137, 0.7745000123977661, 0.7702999711036682, 0.828000009059906, 0.7336999773979187, 0.822700023651123]","[1.636139988899231, 1.1879639625549316, 1.1932346820831299, 1.0902169942855835, 0.9746302962303162, 0.8782758712768555, 0.9529443383216858, 1.1276723146438599, 0.6137007474899292, 0.8677558302879333, 1.0372207164764404, 0.6169335842132568, 0.8944696187973022, 0.5908651947975159, 0.6859157085418701, 0.6755726337432861, 0.6998528242111206, 0.49837157130241394, 0.898755669593811, 0.5219665169715881]",0.822700023651123,0.5219665169715881,502107774,583.6419978141785,5606602,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
JUHH,42,1,1,False,False,"[1, 2, 1, 1, 0, 0, 1, 1, 0, 1, 2, 1, 2, -1, 1, 1, 0, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.28130000829696655, 0.5105999708175659, 0.574999988079071, 0.6478000283241272, 0.5540000200271606, 0.6710000038146973, 0.6237999796867371, 0.6545000076293945, 0.6643999814987183, 0.675000011920929, 0.6365000009536743, 0.7519000172615051, 0.7145000100135803, 0.7461000084877014, 0.703499972820282, 0.7009999752044678, 0.7404000163078308, 0.7736999988555908, 0.746999979019165, 0.7597000002861023]","[2.280780553817749, 1.4924758672714233, 1.249832034111023, 0.9967796802520752, 1.3602025508880615, 0.933070719242096, 1.1899030208587646, 1.0554850101470947, 0.9750519394874573, 0.9755585789680481, 1.2233432531356812, 0.7287655472755432, 0.8435692191123962, 0.7152575254440308, 0.9112111330032349, 0.9728510975837708, 0.7463007569313049, 0.6702898144721985, 0.7679293751716614, 0.7041526436805725]",0.7597000002861023,0.7041526436805725,283236494,547.8732388019562,2298634,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
KESQ,42,1,1,False,False,"[1, 3, 0, 1, 3, 0, 1, 2, 0, 1, 1, 1, 1, 2, 0, 1, 0, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.16820000112056732, 0.5389000177383423, 0.5002999901771545, 0.5388000011444092, 0.5609999895095825, 0.5906000137329102, 0.6650000214576721, 0.6897000074386597, 0.5735999941825867, 0.6978999972343445, 0.6521000266075134, 0.6894999742507935, 0.6527000069618225, 0.7307999730110168, 0.7383000254631042, 0.7074999809265137, 0.7444000244140625, 0.7034000158309937, 0.776199996471405, 0.7883999943733215]","[2.71842098236084, 1.2890762090682983, 1.5968425273895264, 1.484031081199646, 1.3393151760101318, 1.1506999731063843, 0.9579215049743652, 0.9012977480888367, 1.4492634534835815, 0.8612052798271179, 1.0547223091125488, 0.905036211013794, 1.0825375318527222, 0.7823275923728943, 0.7613911032676697, 0.9187207818031311, 0.7598716020584106, 0.973419725894928, 0.6449194550514221, 0.6204326152801514]",0.7883999943733215,0.6204326152801514,1241534846,772.5927059650421,5407594,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
CCFG,42,1,1,False,False,"[1, 1, 1, 1, 3, 1, 1, 0, 1, 1, 3, 1, 1, 0, 1, 2, -1, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.3409999907016754, 0.49239999055862427, 0.3580000102519989, 0.4853000044822693, 0.5712000131607056, 0.569599986076355, 0.7089999914169312, 0.7365999817848206, 0.6503000259399414, 0.6693000197410583, 0.6682999730110168, 0.6869999766349792, 0.7233999967575073, 0.710099995136261, 0.7527999877929688, 0.7249000072479248, 0.7645000219345093, 0.7311999797821045, 0.7495999932289124, 0.7778000235557556]","[1.9817839860916138, 1.4610424041748047, 2.1916706562042236, 1.858760118484497, 1.3629357814788818, 1.4519517421722412, 0.830755352973938, 0.7580870985984802, 1.1194967031478882, 0.9899824261665344, 1.0239465236663818, 0.9549219012260437, 0.8116737604141235, 0.915473222732544, 0.7322186231613159, 0.8872686624526978, 0.6954990029335022, 0.8549047708511353, 0.755049467086792, 0.6352465152740479]",0.7778000235557556,0.6352465152740479,1056483502,757.2218225002289,3022154,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
