ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
GYJK,5118,1,1,False,False,"[1, 1, 1, 2, -1, 1, 1, 3, 0, 2, -1, 0, 1, 0, 1, 2, -1, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,20,"[0.34369999170303345, 0.4641000032424927, 0.3619999885559082, 0.3776000142097473, 0.517300009727478, 0.5799000263214111, 0.6496000289916992, 0.5138000249862671, 0.5837000012397766, 0.5685999989509583, 0.6499000191688538, 0.6255999803543091, 0.5590000152587891, 0.6847000122070312, 0.6230000257492065, 0.6668000221252441, 0.6078000068664551, 0.7045999765396118, 0.6970999836921692, 0.6995999813079834]","[1.953669548034668, 1.4999384880065918, 2.2123305797576904, 2.140164852142334, 1.3826707601547241, 1.1521915197372437, 0.9777807593345642, 1.5212148427963257, 1.2546714544296265, 1.2651386260986328, 1.0160423517227173, 1.1105799674987793, 1.2538537979125977, 0.8994016647338867, 1.1059083938598633, 0.9663202166557312, 1.1492990255355835, 0.8538032174110413, 0.860943078994751, 0.857292115688324]",0.6995999813079834,0.857292115688324,30486494,354.92064118385315,513962,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
AXM,5118,1,1,False,False,"[1, 3, 1, 1, 0, 0, 2, -1, 1, 1, 3, 1, 2, -1, 0, 1, 1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,20,"[0.26829999685287476, 0.4803999960422516, 0.5577999949455261, 0.6244999766349792, 0.6140000224113464, 0.6654999852180481, 0.7046999931335449, 0.7060999870300293, 0.7046999931335449, 0.6872000098228455, 0.6869999766349792, 0.7149999737739563, 0.7423999905586243, 0.7382000088691711, 0.7268999814987183, 0.7206000089645386, 0.7226999998092651, 0.7702999711036682, 0.7275999784469604, 0.725600004196167]","[2.2978179454803467, 1.4515941143035889, 1.3231656551361084, 1.0379669666290283, 1.0925192832946777, 0.9517516493797302, 0.8572822213172913, 0.8278487324714661, 0.8655710816383362, 0.9322574138641357, 0.9184370040893555, 0.8384516835212708, 0.743782103061676, 0.7541451454162598, 0.7779680490493774, 0.8140855431556702, 0.8117166757583618, 0.6805902123451233, 0.8239187598228455, 0.8300595879554749]",0.725600004196167,0.8300595879554749,135511438,375.5748429298401,1007210,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
CCPZ,5118,1,1,False,False,"[1, 0, 0, 2, -1, 0, 1, 2, 0, 2, -1, 1, 1, 2, 1, 1, 1, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,20,"[0.19290000200271606, 0.4542999863624573, 0.5516999959945679, 0.38269999623298645, 0.4717000126838684, 0.4620000123977661, 0.6061999797821045, 0.6365000009536743, 0.6610999703407288, 0.5503000020980835, 0.5192999839782715, 0.6291000247001648, 0.6757000088691711, 0.6086999773979187, 0.7038999795913696, 0.7416999936103821, 0.6606000065803528, 0.6617000102996826, 0.6650999784469604, 0.7407000064849854]","[3.1559669971466064, 1.6083637475967407, 1.3130149841308594, 2.2328269481658936, 1.9105119705200195, 1.927274465560913, 1.191197395324707, 1.052048921585083, 1.0031508207321167, 1.5487539768218994, 1.5565309524536133, 1.090102195739746, 0.9437785148620605, 1.3449667692184448, 0.8671038150787354, 0.746712327003479, 1.0587091445922852, 1.0578007698059082, 1.0145142078399658, 0.772965133190155]",0.7407000064849854,0.772965133190155,28462142,349.4241428375244,1116490,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
ZODU,5118,1,1,False,False,"[1, 1, 0, 2, -1, 0, 1, 3, 0, 1, 3, 1, 2, -1, 1, 1, 3, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,20,"[0.29280000925064087, 0.5392000079154968, 0.5210999846458435, 0.5695000290870667, 0.6729000210762024, 0.7310000061988831, 0.6003999710083008, 0.5867000222206116, 0.6812000274658203, 0.6547999978065491, 0.7576000094413757, 0.6636999845504761, 0.6845999956130981, 0.5909000039100647, 0.7210999727249146, 0.7585999965667725, 0.7556999921798706, 0.8014000058174133, 0.6861000061035156, 0.6255000233650208]","[1.9211654663085938, 1.306627631187439, 1.361986517906189, 1.3818745613098145, 0.9507009983062744, 0.7672102451324463, 1.2404485940933228, 1.3684122562408447, 0.9638323187828064, 1.0810998678207397, 0.7132706046104431, 1.1532446146011353, 0.9864965677261353, 1.4833753108978271, 0.8842347860336304, 0.7718266844749451, 0.7677645683288574, 0.6039659380912781, 1.0888804197311401, 1.4311190843582153]",0.6255000233650208,1.4311190843582153,482930782,412.41152262687683,4744714,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
LUXZ,5118,1,1,False,False,"[1, 0, 1, 2, -1, 1, 1, 1, 0, 2, -1, 1, 1, 0, 1, 1, 3, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,20,"[0.19269999861717224, 0.5134000182151794, 0.4172999858856201, 0.5210999846458435, 0.48429998755455017, 0.492000013589859, 0.5781000256538391, 0.6165000200271606, 0.5703999996185303, 0.6105999946594238, 0.6072999835014343, 0.5690000057220459, 0.5309000015258789, 0.5486999750137329, 0.6105999946594238, 0.5956000089645386, 0.5698000192642212, 0.6808000206947327, 0.5918999910354614, 0.558899998664856]","[2.7432050704956055, 1.3300915956497192, 1.6633594036102295, 1.3823082447052002, 1.5737205743789673, 1.5304659605026245, 1.2146862745285034, 1.0771608352661133, 1.2411298751831055, 1.0985252857208252, 1.1289734840393066, 1.3049054145812988, 1.3489307165145874, 1.3250805139541626, 1.1977027654647827, 1.2464874982833862, 1.3654370307922363, 0.9115802645683289, 1.191562533378601, 1.5004245042800903]",0.558899998664856,1.5004245042800903,7829902,339.37016892433167,1200106,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
QBLN,5118,1,1,False,False,"[1, 1, 1, 1, 3, 1, 2, -1, 0, 1, 0, 0, 2, -1, 0, 1, 2, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,20,"[0.19480000436306, 0.5378999710083008, 0.5733000040054321, 0.614300012588501, 0.6413000226020813, 0.6783000230789185, 0.6786999702453613, 0.6437000036239624, 0.7372000217437744, 0.732699990272522, 0.715399980545044, 0.6531000137329102, 0.6606000065803528, 0.722000002861023, 0.743399977684021, 0.760699987411499, 0.746399998664856, 0.7268000245094299, 0.76910001039505, 0.7465000152587891]","[2.78061842918396, 1.298859715461731, 1.2380448579788208, 1.096402883529663, 1.0071808099746704, 0.9188687205314636, 0.8851481676101685, 1.0290265083312988, 0.7619354724884033, 0.7710580825805664, 0.8173282146453857, 1.0096096992492676, 0.9600411057472229, 0.7766561508178711, 0.731644332408905, 0.6942873597145081, 0.7368035316467285, 0.7957163453102112, 0.6680816411972046, 0.7430248260498047]",0.7465000152587891,0.7430248260498047,451476734,451.80486154556274,1643434,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
DHRT,5118,1,1,False,False,"[1, 1, 0, 2, -1, 1, 1, 2, 1, 2, -1, 0, 1, 0, 0, 1, 1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,20,"[0.2142000049352646, 0.4724999964237213, 0.5426999926567078, 0.5462999939918518, 0.48890000581741333, 0.571399986743927, 0.503000020980835, 0.4934000074863434, 0.605400025844574, 0.659500002861023, 0.6445000171661377, 0.6758000254631042, 0.7246999740600586, 0.6883000135421753, 0.6796000003814697, 0.7050999999046326, 0.6758999824523926, 0.6226000189781189, 0.6937999725341797, 0.7210999727249146]","[2.5559563636779785, 1.5376708507537842, 1.2961441278457642, 1.3183245658874512, 1.5042238235473633, 1.2435091733932495, 1.5019563436508179, 1.6179144382476807, 1.161573886871338, 0.9674332141876221, 1.079124093055725, 0.956338107585907, 0.7836852669715881, 0.9101653099060059, 0.9402618408203125, 0.8564977645874023, 0.9584184288978577, 1.177170753479004, 0.8806757926940918, 0.823988676071167]",0.7210999727249146,0.823988676071167,30189022,362.6527259349823,592874,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
UBHL,5118,1,1,False,False,"[1, 0, 0, 2, -1, 0, 1, 0, 0, 2, -1, 0, 1, 0, 0, 2, -1, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,20,"[0.1477999985218048, 0.4683000147342682, 0.3686999976634979, 0.45820000767707825, 0.46959999203681946, 0.3865000009536743, 0.41029998660087585, 0.42149999737739563, 0.4372999966144562, 0.489300012588501, 0.5077000260353088, 0.5756000280380249, 0.590499997138977, 0.5188000202178955, 0.4781999886035919, 0.5101000070571899, 0.545799970626831, 0.48559999465942383, 0.614799976348877, 0.6003999710083008]","[2.784271478652954, 1.465366244316101, 1.8384244441986084, 1.4304563999176025, 1.4834181070327759, 1.7880197763442993, 1.7234920263290405, 1.7222248315811157, 1.7780283689498901, 1.4662861824035645, 1.433724045753479, 1.201509714126587, 1.1304150819778442, 1.4173715114593506, 1.527216911315918, 1.4331690073013306, 1.3379008769989014, 1.56460702419281, 1.076676607131958, 1.110234022140503]",0.6003999710083008,1.110234022140503,4054974,357.73118829727173,154698,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
NEJV,5118,1,1,False,False,"[1, 3, 1, 2, -1, 1, 1, 0, 0, 1, 3, 0, 2, -1, 0, 1, 2, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,20,"[0.2721000015735626, 0.460099995136261, 0.595300018787384, 0.5335000157356262, 0.6317999958992004, 0.5217000246047974, 0.5569000244140625, 0.5462999939918518, 0.6456999778747559, 0.7020000219345093, 0.6956999897956848, 0.6417999863624573, 0.6261000037193298, 0.6507999897003174, 0.6847000122070312, 0.7282000184059143, 0.7146000266075134, 0.652999997138977, 0.7476000189781189, 0.718500018119812]","[2.359130859375, 1.5896892547607422, 1.1517302989959717, 1.3085486888885498, 1.0334972143173218, 1.5819886922836304, 1.4986793994903564, 1.5419706106185913, 1.001222848892212, 0.8858246207237244, 0.8934439420700073, 1.0983052253723145, 1.2315738201141357, 1.1270866394042969, 0.9935871958732605, 0.8398690223693848, 0.8524869084358215, 1.2850290536880493, 0.7842789888381958, 0.8662374019622803]",0.718500018119812,0.8662374019622803,69973166,394.0461075305939,3356202,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
PTWF,5118,1,1,False,False,"[1, 2, 0, 1, 0, 0, 2, -1, 1, 1, 2, 1, 1, 2, 0, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,20,"[0.24959999322891235, 0.4691999852657318, 0.5527999997138977, 0.656499981880188, 0.6463000178337097, 0.682200014591217, 0.6687999963760376, 0.7142000198364258, 0.6146000027656555, 0.7394000291824341, 0.6676999926567078, 0.6949999928474426, 0.722000002861023, 0.7408000230789185, 0.7279000282287598, 0.6883999705314636, 0.7250999808311462, 0.6876000165939331, 0.7631000280380249, 0.7439000010490417]","[2.219409465789795, 1.4835437536239624, 1.3279979228973389, 0.9885597825050354, 1.0292719602584839, 0.9019590020179749, 0.9328790307044983, 0.8148987293243408, 1.2634999752044678, 0.7367782592773438, 1.0337969064712524, 0.9464980363845825, 0.8059133291244507, 0.742972195148468, 0.8099240064620972, 0.9117783308029175, 0.8108448386192322, 0.9659126996994019, 0.7120469212532043, 0.7525659799575806]",0.7439000010490417,0.7525659799575806,72432078,378.0480229854584,884010,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
