ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
ERIW,6316,1,1,False,False,"[1, 3, 0, 1, 3, 1, 1, 3, 1, 2, -1, 0, 1, 0, 0, 2, -1, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,20,"[0.15299999713897705, 0.3871000111103058, 0.570900022983551, 0.5450999736785889, 0.6262999773025513, 0.5285999774932861, 0.6880999803543091, 0.607200026512146, 0.6348000168800354, 0.6173999905586243, 0.6136999726295471, 0.6226000189781189, 0.7049999833106995, 0.753000020980835, 0.6815999746322632, 0.6759999990463257, 0.6542999744415283, 0.7547000050544739, 0.7720000147819519, 0.7139999866485596]","[3.2535207271575928, 1.884819507598877, 1.1860134601593018, 1.3126574754714966, 1.0495511293411255, 1.5700184106826782, 0.898941695690155, 1.1491860151290894, 1.0729763507843018, 1.192306399345398, 1.1583293676376343, 1.1214712858200073, 0.8466177582740784, 0.7197391986846924, 0.9449760913848877, 0.9936402440071106, 1.0087311267852783, 0.7139705419540405, 0.6586390733718872, 0.8498213887214661]",0.7139999866485596,0.8498213887214661,3383323326,1068.107369184494,3958954,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
ZAHT,6316,1,1,False,False,"[1, 2, 1, 1, 3, 1, 1, 3, 0, 1, 2, 0, 2, -1, 1, 1, 1, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [256, 5]}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,20,"[0.3515999913215637, 0.5503000020980835, 0.5543000102043152, 0.597100019454956, 0.6590999960899353, 0.6462000012397766, 0.6478999853134155, 0.6495000123977661, 0.7394000291824341, 0.6973000168800354, 0.6567000150680542, 0.7157999873161316, 0.7491000294685364, 0.7208999991416931, 0.7768999934196472, 0.6748999953269958, 0.7272999882698059, 0.7669000029563904, 0.7754999995231628, 0.7702999711036682]","[1.8938720226287842, 1.3250205516815186, 1.3083369731903076, 1.188620924949646, 1.0005024671554565, 0.9739910960197449, 1.0316152572631836, 1.0193504095077515, 0.7497427463531494, 0.8733454346656799, 1.097373366355896, 0.8155277967453003, 0.7504971027374268, 0.829262912273407, 0.6427222490310669, 1.0556551218032837, 0.867746114730835, 0.696307361125946, 0.6679888963699341, 0.7115476727485657]",0.7702999711036682,0.7115476727485657,1768817790,826.0122838020325,5764042,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
KQVP,6316,1,1,False,False,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 3, 1, 2, -1, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,20,"[0.3456999957561493, 0.4999000132083893, 0.49079999327659607, 0.5317000150680542, 0.6319000124931335, 0.6118000149726868, 0.620199978351593, 0.67330002784729, 0.6593999862670898, 0.677299976348877, 0.6333000063896179, 0.6722999811172485, 0.7178000211715698, 0.6873000264167786, 0.7731000185012817, 0.767799973487854, 0.7623999714851379, 0.7875000238418579, 0.7325999736785889, 0.7713000178337097]","[1.8864238262176514, 1.4502578973770142, 1.6869839429855347, 1.3783079385757446, 1.069381594657898, 1.186037540435791, 1.3011114597320557, 0.9399264454841614, 1.0159056186676025, 0.9842373728752136, 1.1441787481307983, 1.0010777711868286, 0.8284037113189697, 1.0012096166610718, 0.666816234588623, 0.6925721764564514, 0.736257791519165, 0.6086954474449158, 0.8391497135162354, 0.6988593935966492]",0.7713000178337097,0.6988593935966492,621077374,558.7009909152985,34137642,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
GOUK,6316,1,1,False,False,"[1, 3, 0, 1, 2, 0, 1, 1, 0, 1, 1, 0, 2, -1, 1, 1, 0, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'CONV': [64, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,20,"[0.14569999277591705, 0.5626999735832214, 0.5507000088691711, 0.6008999943733215, 0.6151000261306763, 0.6470999717712402, 0.7346000075340271, 0.6233999729156494, 0.6873000264167786, 0.7178000211715698, 0.6733999848365784, 0.6884999871253967, 0.725600004196167, 0.670199990272522, 0.71670001745224, 0.7315000295639038, 0.7760000228881836, 0.7332000136375427, 0.6941999793052673, 0.7626000046730042]","[4.168127536773682, 1.2304950952529907, 1.432099461555481, 1.1581661701202393, 1.20191490650177, 1.0732648372650146, 0.7434094548225403, 1.1639480590820312, 0.8895002007484436, 0.7998759746551514, 0.9455353617668152, 0.9289404153823853, 0.8450820446014404, 0.9747058749198914, 0.8432791233062744, 0.7707627415657043, 0.6474013924598694, 0.8346008062362671, 1.0424588918685913, 0.6861990690231323]",0.7626000046730042,0.6861990690231323,431327822,413.84745502471924,2456490,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
HKYF,6316,1,1,False,False,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 3, 0, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,20,"[0.3215000033378601, 0.5152999758720398, 0.5012000203132629, 0.5386999845504761, 0.4528000056743622, 0.5600000023841858, 0.6797000169754028, 0.6875, 0.6985999941825867, 0.7190999984741211, 0.6898000240325928, 0.7217000126838684, 0.6840999722480774, 0.6593999862670898, 0.6202999949455261, 0.7533000111579895, 0.7336999773979187, 0.7563999891281128, 0.739799976348877, 0.777999997138977]","[1.8548271656036377, 1.3997918367385864, 1.4854345321655273, 1.283902883529663, 1.732480525970459, 1.3641839027404785, 0.9105031490325928, 0.9046329259872437, 0.8452799916267395, 0.8095095157623291, 0.9110136032104492, 0.8137090802192688, 0.9384753704071045, 1.0650317668914795, 1.2364859580993652, 0.7060904502868652, 0.7805842161178589, 0.7027348875999451, 0.7479734420776367, 0.6570509076118469]",0.777999997138977,0.6570509076118469,457272894,551.5396237373352,4411306,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
MQBL,6316,1,1,False,False,"[1, 0, 0, 1, 3, 0, 1, 3, 0, 2, -1, 0, 1, 1, 0, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,20,"[0.2992999851703644, 0.5196999907493591, 0.5741000175476074, 0.5651000142097473, 0.6197999715805054, 0.5580000281333923, 0.6797000169754028, 0.5684000253677368, 0.6976000070571899, 0.6825000047683716, 0.6876999735832214, 0.723800003528595, 0.6908000111579895, 0.7002000212669373, 0.6190000176429749, 0.7217000126838684, 0.7465000152587891, 0.7423999905586243, 0.7434999942779541, 0.7506999969482422]","[2.125960111618042, 1.395219087600708, 1.2852718830108643, 1.2868982553482056, 1.1112123727798462, 1.3586949110031128, 0.9115675687789917, 1.4157907962799072, 0.8727887868881226, 0.9565660953521729, 0.9453762769699097, 0.7932974100112915, 0.9533093571662903, 0.8704705834388733, 1.2780667543411255, 0.8055128455162048, 0.7190017700195312, 0.7413272857666016, 0.748816967010498, 0.7292746305465698]",0.7506999969482422,0.7292746305465698,719638142,508.6130321025849,1341130,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
QSPP,6316,1,1,False,False,"[1, 3, 1, 1, 0, 0, 1, 2, 0, 2, -1, 1, 1, 1, 0, 1, 1, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,20,"[0.30869999527931213, 0.5444999933242798, 0.5444999933242798, 0.6176999807357788, 0.6169000267982483, 0.7060999870300293, 0.6771000027656555, 0.6858000159263611, 0.6866999864578247, 0.7170000076293945, 0.7287999987602234, 0.7006000280380249, 0.7488999962806702, 0.7063000202178955, 0.7555999755859375, 0.7804999947547913, 0.737500011920929, 0.7735000252723694, 0.7662000060081482, 0.7243000268936157]","[2.0989298820495605, 1.2778716087341309, 1.3421887159347534, 1.1290051937103271, 1.1180628538131714, 0.8505960702896118, 0.9343670010566711, 0.9299681782722473, 0.9118068218231201, 0.8136346340179443, 0.7892007231712341, 0.8592397570610046, 0.7433260083198547, 0.8852470517158508, 0.7525758147239685, 0.6647568345069885, 0.8222441673278809, 0.6932241916656494, 0.7264419198036194, 0.8836276531219482]",0.7243000268936157,0.8836276531219482,149008382,388.9426465034485,2229418,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
IMKS,6316,1,1,False,False,"[1, 0, 0, 1, 1, 1, 2, -1, 0, 1, 3, 1, 2, -1, 0, 1, 0, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,20,"[0.2946000099182129, 0.5627999901771545, 0.6265000104904175, 0.6992999911308289, 0.6624000072479248, 0.5712000131607056, 0.6656000018119812, 0.6574000120162964, 0.7103000283241272, 0.7290999889373779, 0.7630000114440918, 0.7516999840736389, 0.7113999724388123, 0.7245000004768372, 0.6485999822616577, 0.7682999968528748, 0.7649000287055969, 0.7067000269889832, 0.7754999995231628, 0.7597000002861023]","[2.0543274879455566, 1.2435522079467773, 1.0810937881469727, 0.8420867919921875, 0.9988282918930054, 1.479392409324646, 0.9795265793800354, 1.0906215906143188, 0.8699998259544373, 0.7814695239067078, 0.6993311047554016, 0.7371981143951416, 0.8623167276382446, 0.8414008617401123, 1.0935813188552856, 0.6873713731765747, 0.7323904037475586, 1.0004217624664307, 0.6610464453697205, 0.7251337170600891]",0.7597000002861023,0.7251337170600891,172649886,400.3877067565918,1724650,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
PGJZ,6316,1,1,False,False,"[1, 0, 1, 2, -1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 2, -1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,20,"[0.4318999946117401, 0.4643000066280365, 0.376800000667572, 0.49540001153945923, 0.5763999819755554, 0.5857999920845032, 0.5582000017166138, 0.51419997215271, 0.545199990272522, 0.5878000259399414, 0.6503000259399414, 0.6863999962806702, 0.7084000110626221, 0.6129999756813049, 0.7143999934196472, 0.6302000284194946, 0.6662999987602234, 0.675599992275238, 0.7038999795913696, 0.6696000099182129]","[1.5386385917663574, 1.5103188753128052, 1.9437322616577148, 1.507158875465393, 1.216246485710144, 1.1573808193206787, 1.2351659536361694, 1.4868791103363037, 1.387222409248352, 1.1741151809692383, 1.0283836126327515, 0.8928419947624207, 0.8319677710533142, 1.1540042161941528, 0.8121428489685059, 1.0833840370178223, 0.9920414090156555, 0.947898805141449, 0.8577588796615601, 0.9413518309593201]",0.6696000099182129,0.9413518309593201,13480030,358.6385295391083,357418,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
MFMR,6316,1,1,False,False,"[1, 2, 0, 2, -1, 1, 1, 2, 1, 1, 3, 1, 2, -1, 1, 1, 0, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_MODIFY_PARAMS,GA,20,"[0.3131999969482422, 0.4925999939441681, 0.5856000185012817, 0.5403000116348267, 0.6082000136375427, 0.6518999934196472, 0.4593000113964081, 0.6650000214576721, 0.6295999884605408, 0.6288999915122986, 0.7044000029563904, 0.6685000061988831, 0.7002000212669373, 0.7045999765396118, 0.7049000263214111, 0.7300000190734863, 0.6983000040054321, 0.7055000066757202, 0.7045000195503235, 0.7135999798774719]","[2.055342674255371, 1.4275450706481934, 1.1550300121307373, 1.3245728015899658, 1.1858829259872437, 1.0182605981826782, 2.063692092895508, 0.9666105508804321, 1.1018495559692383, 1.223956823348999, 0.8825463056564331, 0.9672049880027771, 0.8801758885383606, 0.8681455254554749, 0.8893613219261169, 0.7824962139129639, 0.9079906344413757, 0.936826765537262, 0.9190232157707214, 0.9338695406913757]",0.7135999798774719,0.9338695406913757,153895038,387.5929446220398,1443626,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
