ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
GXUA,12799,1,1,False,False,"[1, 1, 1, 2, -1, 1, 1, 3, 1, 1, 1, 0, 2, -1, 0, 1, 3, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.3799000084400177, 0.5307000279426575, 0.4726000130176544, 0.5468000173568726, 0.5931000113487244, 0.6394000053405762, 0.5608000159263611, 0.6396999955177307, 0.6225000023841858, 0.7196999788284302, 0.6898000240325928, 0.6032000184059143, 0.6093000173568726, 0.6366000175476074, 0.6169000267982483, 0.7583000063896179, 0.6456999778747559, 0.6186000108718872, 0.6189000010490417, 0.6549999713897705]","[1.7459312677383423, 1.27371346950531, 1.5065534114837646, 1.2885485887527466, 1.2198899984359741, 1.059125304222107, 1.374250888824463, 1.0330603122711182, 1.1311103105545044, 0.7980645298957825, 0.9064696431159973, 1.2778851985931396, 1.1986887454986572, 1.080064058303833, 1.2926411628723145, 0.7023000717163086, 1.224446177482605, 1.1395041942596436, 1.3249431848526, 1.0782309770584106]",0.6549999713897705,1.0782309770584106,79020510,370.7442615032196,1894090,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
ZOOL,12799,1,1,False,False,"[1, 1, 1, 1, 2, 1, 2, -1, 0, 1, 3, 1, 1, 1, 1, 1, 0, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [64, 5]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.3919000029563904, 0.4189999997615814, 0.4814000129699707, 0.6416000127792358, 0.6241000294685364, 0.656000018119812, 0.6668000221252441, 0.722000002861023, 0.6895999908447266, 0.5516999959945679, 0.7612000107765198, 0.732200026512146, 0.7261000275611877, 0.7031999826431274, 0.7305999994277954, 0.7900000214576721, 0.7846999764442444, 0.7245000004768372, 0.7982000112533569, 0.7912999987602234]","[1.738603115081787, 1.665127158164978, 1.6134979724884033, 1.0081088542938232, 1.1109724044799805, 1.0004907846450806, 0.9669610261917114, 0.824765145778656, 0.8961997032165527, 1.6072609424591064, 0.6815692782402039, 0.8048620223999023, 0.8138293623924255, 1.01667058467865, 0.8485686779022217, 0.6247051954269409, 0.6381286382675171, 0.8596410155296326, 0.6044961810112, 0.6398642063140869]",0.7912999987602234,0.6398642063140869,535469502,429.7097375392914,2510058,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
FMFU,12799,1,1,False,False,"[1, 3, 1, 2, -1, 0, 1, 3, 1, 1, 3, 1, 2, -1, 0, 1, 0, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.3330000042915344, 0.4864000082015991, 0.3953000009059906, 0.512499988079071, 0.4327999949455261, 0.49549999833106995, 0.6510999798774719, 0.5864999890327454, 0.7290999889373779, 0.5403000116348267, 0.5209000110626221, 0.5568000078201294, 0.6909999847412109, 0.6707000136375427, 0.7149999737739563, 0.6468999981880188, 0.6751000285148621, 0.6541000008583069, 0.6833000183105469, 0.757099986076355]","[1.916473388671875, 1.394251823425293, 1.9549793004989624, 1.4320582151412964, 1.8785289525985718, 1.602030634880066, 0.9696389436721802, 1.1965610980987549, 0.777317464351654, 1.612337350845337, 1.6369272470474243, 1.57424795627594, 0.9201722741127014, 1.0536410808563232, 0.8419787883758545, 1.1514254808425903, 1.0628668069839478, 1.137351393699646, 1.0482978820800781, 0.7062302231788635]",0.757099986076355,0.7062302231788635,864263358,496.4202950000763,3637802,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
AONN,12799,1,1,False,False,"[1, 2, 1, 1, 0, 1, 2, -1, 0, 1, 3, 0, 1, 1, 0, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.3617999851703644, 0.5460000038146973, 0.5665000081062317, 0.5600000023841858, 0.6347000002861023, 0.5842999815940857, 0.6772000193595886, 0.6869999766349792, 0.6395999789237976, 0.6804999709129333, 0.6836000084877014, 0.7186999917030334, 0.7301999926567078, 0.7376000285148621, 0.7084000110626221, 0.6581000089645386, 0.7039999961853027, 0.699999988079071, 0.762499988079071, 0.7125999927520752]","[1.792598009109497, 1.2395782470703125, 1.2060731649398804, 1.2112109661102295, 1.043312430381775, 1.1717619895935059, 0.9285174608230591, 0.9086403250694275, 1.057571530342102, 0.9200041890144348, 0.9358147382736206, 0.8129209280014038, 0.7693178057670593, 0.772919774055481, 0.8843648433685303, 1.0607693195343018, 0.8688293099403381, 0.8749874830245972, 0.677787184715271, 0.8557074069976807]",0.7125999927520752,0.8557074069976807,172231934,375.5763123035431,861802,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
MIBJ,12799,1,1,False,False,"[1, 2, 1, 1, 2, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 2, -1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [128, 3]}, {'CONV': [64, 3]}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.38109999895095825, 0.49779999256134033, 0.4934999942779541, 0.6028000116348267, 0.6626999974250793, 0.6222000122070312, 0.6815999746322632, 0.5945000052452087, 0.613099992275238, 0.6601999998092651, 0.7318000197410583, 0.6980000138282776, 0.6226999759674072, 0.6937000155448914, 0.6926000118255615, 0.6679999828338623, 0.6775000095367432, 0.6488000154495239, 0.6556000113487244, 0.7286999821662903]","[1.7673064470291138, 1.4385448694229126, 1.4222639799118042, 1.1015352010726929, 0.9499164819717407, 1.107366919517517, 0.9251023530960083, 1.122525930404663, 1.1305192708969116, 0.9741981625556946, 0.7621612548828125, 0.9204717874526978, 1.109700083732605, 0.9205049872398376, 0.9248934388160706, 1.002243995666504, 0.9509134888648987, 1.0859428644180298, 1.08771812915802, 0.7687260508537292]",0.7286999821662903,0.7687260508537292,283014958,397.55221128463745,1271818,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
SCHP,12799,1,1,False,False,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 2, -1, 0, 1, 1, 0, 2, -1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.4174000024795532, 0.49059998989105225, 0.39500001072883606, 0.5672000050544739, 0.5644999742507935, 0.6636999845504761, 0.595300018787384, 0.6819000244140625, 0.6391000151634216, 0.6823999881744385, 0.6586999893188477, 0.6509000062942505, 0.6629999876022339, 0.6302000284194946, 0.7081000208854675, 0.7365000247955322, 0.739799976348877, 0.6771000027656555, 0.7376000285148621, 0.7578999996185303]","[1.6330547332763672, 1.4146380424499512, 2.0988597869873047, 1.2237132787704468, 1.2200591564178467, 0.9484277367591858, 1.1701964139938354, 0.9131031036376953, 1.0636014938354492, 0.910728394985199, 0.9496816396713257, 0.9679490923881531, 0.9382180571556091, 1.0616447925567627, 0.831946849822998, 0.7487825155258179, 0.7486813068389893, 0.9927588105201721, 0.7503698468208313, 0.700851559638977]",0.7578999996185303,0.700851559638977,339450590,411.57435393333435,981002,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
YPVB,12799,1,1,False,False,"[1, 3, 0, 1, 1, 0, 2, -1, 0, 1, 0, 1, 2, -1, 0, 1, 3, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.24619999527931213, 0.5498999953269958, 0.45210000872612, 0.6190999746322632, 0.6674000024795532, 0.6327000260353088, 0.6783999800682068, 0.7055000066757202, 0.6710000038146973, 0.7077999711036682, 0.7286999821662903, 0.6798999905586243, 0.7351999878883362, 0.6848000288009644, 0.7599999904632568, 0.7638999819755554, 0.7239000201225281, 0.7738999724388123, 0.7630000114440918, 0.7573000192642212]","[2.2726645469665527, 1.3386632204055786, 1.7828760147094727, 1.1420531272888184, 0.9521182775497437, 1.1036787033081055, 0.9735238552093506, 0.8810297846794128, 0.9539186358451843, 0.885235071182251, 0.8260065317153931, 0.9859077334403992, 0.782278835773468, 1.0625877380371094, 0.6820724606513977, 0.6978801488876343, 0.8478429913520813, 0.657016396522522, 0.717958390712738, 0.7650511860847473]",0.7573000192642212,0.7650511860847473,193250366,386.90649366378784,8809706,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
JCZU,12799,1,1,False,False,"[1, 2, 0, 1, 3, 1, 2, -1, 1, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.20499999821186066, 0.5566999912261963, 0.6184999942779541, 0.6240000128746033, 0.6144999861717224, 0.6029000282287598, 0.6403999924659729, 0.6514999866485596, 0.6337000131607056, 0.6848999857902527, 0.6883000135421753, 0.6866999864578247, 0.7064999938011169, 0.6638000011444092, 0.7163000106811523, 0.73089998960495, 0.6948000192642212, 0.7095999717712402, 0.7387999892234802, 0.7124999761581421]","[2.4228339195251465, 1.2160245180130005, 1.0643647909164429, 1.0934580564498901, 1.180935025215149, 1.1448312997817993, 1.0337743759155273, 1.0237106084823608, 1.087908148765564, 0.9070907235145569, 0.9170917272567749, 0.8915523290634155, 0.8791179656982422, 1.007754921913147, 0.8148621320724487, 0.754216194152832, 0.8742814660072327, 0.8540121912956238, 0.7379482388496399, 0.8134755492210388]",0.7124999761581421,0.8134755492210388,869271790,527.3587009906769,1613034,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
FCWK,12799,1,1,False,False,"[1, 3, 1, 1, 3, 1, 1, 0, 1, 1, 1, 0, 1, 3, 0, 1, 2, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.17790000140666962, 0.3977999985218048, 0.4927999973297119, 0.6087999939918518, 0.45739999413490295, 0.6434999704360962, 0.5806999802589417, 0.6015999913215637, 0.6919000148773193, 0.6563000082969666, 0.7110000252723694, 0.6574000120162964, 0.7168999910354614, 0.7459999918937683, 0.7638999819755554, 0.685699999332428, 0.6848999857902527, 0.6585000157356262, 0.7552000284194946, 0.7581999897956848]","[3.2149128913879395, 2.0360333919525146, 1.5634057521820068, 1.0962731838226318, 2.0856032371520996, 1.0637435913085938, 1.2653213739395142, 1.1901729106903076, 0.8951695561408997, 1.0113892555236816, 0.8312327265739441, 1.018070101737976, 0.808173656463623, 0.7569906115531921, 0.6843451857566833, 1.0355175733566284, 0.9789103269577026, 1.1793016195297241, 0.7257741093635559, 0.7246074676513672]",0.7581999897956848,0.7246074676513672,2414041662,1202.4005081653595,35886442,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
HBS,12799,1,1,False,False,"[1, 2, 1, 2, -1, 0, 1, 0, 0, 1, 2, 1, 2, -1, 1, 1, 1, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,L_CHANGE_TYPE,GA,20,"[0.1941000074148178, 0.4853000044822693, 0.5099999904632568, 0.42989999055862427, 0.48420000076293945, 0.5802000164985657, 0.5008999705314636, 0.4941999912261963, 0.6743000149726868, 0.6653000116348267, 0.7102000117301941, 0.6438000202178955, 0.5375000238418579, 0.5120999813079834, 0.6600000262260437, 0.6700000166893005, 0.7397000193595886, 0.6409000158309937, 0.7889999747276306, 0.6873999834060669]","[3.136828660964966, 1.5628029108047485, 1.4199632406234741, 1.7632205486297607, 1.5524895191192627, 1.260711431503296, 1.627532720565796, 1.588945746421814, 0.9557938575744629, 0.9747393727302551, 0.8182094693183899, 1.061826467514038, 1.4681156873703003, 1.872464656829834, 1.0544289350509644, 1.0070408582687378, 0.7543501257896423, 1.0731842517852783, 0.6145904064178467, 0.9554339051246643]",0.6873999834060669,0.9554339051246643,54390718,383.35047221183777,1542762,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
