ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
NBLJ,13362,1,1,False,False,"[1, 1, 1, 2, -1, 0, 1, 3, 0, 1, 0, 0, 2, -1, 1, 1, 3, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.2786000072956085, 0.5087000131607056, 0.4449999928474426, 0.5716999769210815, 0.5485000014305115, 0.6277999877929688, 0.5386999845504761, 0.5311999917030334, 0.6736999750137329, 0.5853999853134155, 0.7045999765396118, 0.6363999843597412, 0.6574000120162964, 0.6377999782562256, 0.5853999853134155, 0.7174999713897705, 0.6743000149726868, 0.4846000075340271, 0.5952000021934509, 0.7089999914169312]","[2.265137195587158, 1.3429371118545532, 1.7034183740615845, 1.2077491283416748, 1.4154887199401855, 1.0590929985046387, 1.3595529794692993, 1.520019292831421, 0.9255804419517517, 1.154477596282959, 0.8373714685440063, 1.048638105392456, 0.9854663014411926, 1.052484393119812, 1.354936957359314, 0.8134251236915588, 0.9895987510681152, 1.8038856983184814, 1.376765489578247, 0.8644178509712219]",0.7089999914169312,0.8644178509712219,65636542,346.7386293411255,1484330,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
VHZH,13362,1,1,False,False,"[1, 2, 0, 2, -1, 0, 1, 3, 0, 1, 1, 0, 2, -1, 0, 1, 2, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.17299999296665192, 0.48809999227523804, 0.5090000033378601, 0.599399983882904, 0.6710000038146973, 0.6432999968528748, 0.6078000068664551, 0.6172000169754028, 0.7128999829292297, 0.6166999936103821, 0.6783999800682068, 0.6305999755859375, 0.6811000108718872, 0.6692000031471252, 0.7476000189781189, 0.7723000049591064, 0.7796000242233276, 0.589900016784668, 0.7832000255584717, 0.6360999941825867]","[2.661874532699585, 1.5834178924560547, 1.5204095840454102, 1.2005823850631714, 0.9419098496437073, 1.0873883962631226, 1.1243175268173218, 1.1815824508666992, 0.8267983198165894, 1.2883789539337158, 0.9498339891433716, 1.1781396865844727, 1.018593668937683, 1.046960473060608, 0.7498396635055542, 0.6746114492416382, 0.6473187804222107, 1.6961005926132202, 0.6452019810676575, 1.3325412273406982]",0.6360999941825867,1.3325412273406982,132400478,366.4898419380188,2754506,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
DEGC,13362,1,1,False,False,"[1, 3, 0, 2, -1, 0, 1, 1, 0, 2, -1, 1, 1, 1, 0, 1, 2, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.11860000342130661, 0.4643999934196472, 0.4480000138282776, 0.5877000093460083, 0.6554999947547913, 0.5812000036239624, 0.6489999890327454, 0.6164000034332275, 0.7002000212669373, 0.5099999904632568, 0.6478000283241272, 0.6966999769210815, 0.7107999920845032, 0.6600000262260437, 0.64410001039505, 0.6248000264167786, 0.6434999704360962, 0.5971999764442444, 0.6789000034332275, 0.6421999931335449]","[3.7459046840667725, 1.6870778799057007, 1.9246435165405273, 1.1665250062942505, 0.9918309450149536, 1.3247371912002563, 1.0268968343734741, 1.2003657817840576, 0.893890917301178, 1.8364492654800415, 1.0763978958129883, 0.8782575130462646, 0.8275552988052368, 1.032055139541626, 1.1423753499984741, 1.2007596492767334, 1.1388968229293823, 1.5085152387619019, 0.999358594417572, 1.1486026048660278]",0.6421999931335449,1.1486026048660278,51745822,369.1139738559723,2634506,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
HIDL,13362,1,1,False,False,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.23409999907016754, 0.5145000219345093, 0.503000020980835, 0.5529000163078308, 0.6139000058174133, 0.6815999746322632, 0.6729000210762024, 0.6840000152587891, 0.6236000061035156, 0.6650999784469604, 0.7039999961853027, 0.715399980545044, 0.6611999869346619, 0.722000002861023, 0.7411999702453613, 0.7394999861717224, 0.6977999806404114, 0.7461000084877014, 0.7264999747276306, 0.6901000142097473]","[2.273571014404297, 1.3669012784957886, 1.491978645324707, 1.2915565967559814, 1.1083629131317139, 0.8902899622917175, 0.9532407522201538, 0.9395574927330017, 1.127665638923645, 0.9830744862556458, 0.8668578863143921, 0.8585520386695862, 1.0417335033416748, 0.8241127729415894, 0.7676727175712585, 0.7719475626945496, 0.9355655312538147, 0.754454493522644, 0.8354573249816895, 0.9502821564674377]",0.6901000142097473,0.9502821564674377,289577918,408.1888265609741,2266410,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
SILK,13362,1,1,False,False,"[1, 0, 0, 1, 3, 1, 1, 1, 0, 2, -1, 1, 1, 0, 1, 1, 1, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.3375999927520752, 0.6266000270843506, 0.5515000224113464, 0.6252999901771545, 0.7031999826431274, 0.6320000290870667, 0.6776999831199646, 0.6973000168800354, 0.635200023651123, 0.7630000114440918, 0.5593000054359436, 0.7009000182151794, 0.6452999711036682, 0.7283999919891357, 0.7002000212669373, 0.7382000088691711, 0.7817999720573425, 0.7646999955177307, 0.7303000092506409, 0.7337999939918518]","[1.8821238279342651, 1.0375323295593262, 1.444201111793518, 1.135743498802185, 0.8397001028060913, 1.139444351196289, 1.0232881307601929, 0.9020770788192749, 1.1082632541656494, 0.7041590213775635, 1.8302748203277588, 0.9183940291404724, 1.2040537595748901, 0.8302688598632812, 0.9511683583259583, 0.833664059638977, 0.6604896783828735, 0.7405304312705994, 0.8989407420158386, 0.8487986326217651]",0.7337999939918518,0.8487986326217651,378551950,442.248498916626,4430378,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
GLPC,13362,1,1,False,False,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 2, 0, 1, 3, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.33000001311302185, 0.435699999332428, 0.4830999970436096, 0.6500999927520752, 0.6833999752998352, 0.6615999937057495, 0.6062999963760376, 0.6496000289916992, 0.7215999960899353, 0.7551000118255615, 0.7258999943733215, 0.7026000022888184, 0.7416999936103821, 0.7319999933242798, 0.7648000121116638, 0.7524999976158142, 0.7567999958992004, 0.7907000184059143, 0.7882999777793884, 0.7943000197410583]","[2.1689646244049072, 2.0810303688049316, 1.784369945526123, 1.0205309391021729, 0.9291716814041138, 1.0053964853286743, 1.3149597644805908, 1.0899057388305664, 0.8255642652511597, 0.7362126111984253, 0.8314422965049744, 0.9138468503952026, 0.7744932174682617, 0.8592517375946045, 0.709484338760376, 0.7496136426925659, 0.7911351323127747, 0.6289586424827576, 0.6352919340133667, 0.6147086024284363]",0.7943000197410583,0.6147086024284363,95221998,383.7817623615265,8313802,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
UNFQ,13362,1,1,False,False,"[1, 3, 0, 2, -1, 0, 1, 0, 1, 2, -1, 0, 1, 1, 1, 1, 1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.17839999496936798, 0.45809999108314514, 0.5141000151634216, 0.5687000155448914, 0.5166000127792358, 0.49410000443458557, 0.5830000042915344, 0.5683000087738037, 0.5819000005722046, 0.6388999819755554, 0.6779999732971191, 0.5855000019073486, 0.7260000109672546, 0.5683000087738037, 0.6628000140190125, 0.5685999989509583, 0.6251999735832214, 0.6481000185012817, 0.714900016784668, 0.6933000087738037]","[2.9168689250946045, 1.580489993095398, 1.4267549514770508, 1.2449179887771606, 1.5213807821273804, 1.5568886995315552, 1.273495078086853, 1.2519941329956055, 1.2468531131744385, 1.0508121252059937, 0.9455448389053345, 1.3656861782073975, 0.7786847949028015, 1.391740083694458, 1.0255643129348755, 1.4761532545089722, 1.1686478853225708, 1.0572105646133423, 0.8478918075561523, 0.9330118894577026]",0.6933000087738037,0.9330118894577026,66223166,367.63833928108215,828074,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
YPYQ,13362,1,1,False,False,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, -1, 0, 1, 0, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.3028999865055084, 0.5274999737739563, 0.5164999961853027, 0.5807999968528748, 0.675599992275238, 0.6226999759674072, 0.5544000267982483, 0.6769999861717224, 0.718999981880188, 0.7091000080108643, 0.7263000011444092, 0.6669999957084656, 0.7160000205039978, 0.7427999973297119, 0.7318999767303467, 0.7465999722480774, 0.7117000222206116, 0.7157999873161316, 0.7196999788284302, 0.7567999958992004]","[2.0161232948303223, 1.3502907752990723, 1.454161286354065, 1.1645370721817017, 0.919568657875061, 1.0997669696807861, 1.4089490175247192, 0.9453120827674866, 0.7922981977462769, 0.8248419165611267, 0.788353443145752, 1.0260852575302124, 0.8203204870223999, 0.7624475955963135, 0.7732508182525635, 0.7346444129943848, 0.8471869826316833, 0.8359423875808716, 0.8074784874916077, 0.708670973777771]",0.7567999958992004,0.708670973777771,202078814,393.205628156662,1261546,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
IYDY,13362,1,1,False,False,"[1, 3, 1, 2, -1, 0, 1, 2, 0, 2, -1, 0, 1, 0, 1, 1, 3, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.1923999935388565, 0.413100004196167, 0.4729999899864197, 0.5619999766349792, 0.5728999972343445, 0.5353000164031982, 0.6597999930381775, 0.5910000205039978, 0.6273000240325928, 0.5461999773979187, 0.6851999759674072, 0.6402000188827515, 0.6735000014305115, 0.5769000053405762, 0.7750999927520752, 0.7342000007629395, 0.6870999932289124, 0.6462000012397766, 0.7149999737739563, 0.6543999910354614]","[2.5466878414154053, 1.7913459539413452, 1.6839361190795898, 1.2166019678115845, 1.2466833591461182, 1.4028499126434326, 0.9741033911705017, 1.349012851715088, 1.114306926727295, 1.5112179517745972, 0.9135661125183105, 1.105986475944519, 0.989130973815918, 1.4323251247406006, 0.651984691619873, 0.7884015440940857, 0.9677259922027588, 1.1850731372833252, 0.862604022026062, 1.1338813304901123]",0.6543999910354614,1.1338813304901123,119636606,399.8901369571686,4822826,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
QFAA,13362,1,1,False,False,"[1, 2, 1, 1, 2, 0, 1, 3, 0, 2, -1, 0, 1, 3, 0, 1, 0, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,NONE,RANDOM,20,"[0.30979999899864197, 0.5213000178337097, 0.585099995136261, 0.6144999861717224, 0.5730000138282776, 0.6075999736785889, 0.6958000063896179, 0.6280999779701233, 0.6754999756813049, 0.6973999738693237, 0.6632000207901001, 0.7225000262260437, 0.7358999848365784, 0.6899999976158142, 0.7124000191688538, 0.696399986743927, 0.732699990272522, 0.7235000133514404, 0.8019999861717224, 0.7207000255584717]","[2.1847333908081055, 1.4727373123168945, 1.1846609115600586, 1.168104648590088, 1.416468620300293, 1.2737178802490234, 0.8922489285469055, 1.255720853805542, 1.0501657724380493, 0.8586167097091675, 1.0821775197982788, 0.8237781524658203, 0.7711842656135559, 0.9849228262901306, 0.9290023446083069, 0.8987899422645569, 0.8288977742195129, 0.94088214635849, 0.5777784585952759, 0.9141182899475098]",0.7207000255584717,0.9141182899475098,637916798,552.2373683452606,5321514,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,False,False
