ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Was_invalid,BestGen
PUAN,42,1,1,FALSE,FALSE,"[1, 1, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 1, 2, 0, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.2655999958515167, 0.36899998784065247, 0.41260001063346863, 0.47040000557899475, 0.492000013589859, 0.46389999985694885, 0.5273000001907349, 0.4571000039577484, 0.5702000260353088, 0.38519999384880066, 0.5393000245094299, 0.6033999919891357, 0.41670000553131104, 0.6033999919891357, 0.5040000081062317]","[1.9922493696212769, 1.7762603759765625, 1.6060177087783813, 1.478933334350586, 1.4276682138442993, 1.5477827787399292, 1.3367834091186523, 1.5190210342407227, 1.1942734718322754, 1.7678011655807495, 1.3198977708816528, 1.1268296241760254, 1.7060072422027588, 1.1027686595916748, 1.3851641416549683]",0.590967275,1.385164142,69665998,155.3790579,443370,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
UWC,42,1,1,FALSE,FALSE,"[1, 0, 1, 1, 2, 0, 2, -1, 0, 1, 1, 1, 1, 0, 0, 2, -1, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.31130000948905945, 0.33709999918937683, 0.4251999855041504, 0.5126000046730042, 0.5555999875068665, 0.5795000195503235, 0.5924999713897705, 0.6424000263214111, 0.6304000020027161, 0.5938000082969666, 0.6934999823570251, 0.6830999851226807, 0.6342999935150146, 0.6173999905586243, 0.7364000082015991]","[1.903915286064148, 2.155208110809326, 1.69801664352417, 1.4541504383087158, 1.3106321096420288, 1.2460923194885254, 1.1482511758804321, 1.008150339126587, 1.0565310716629028, 1.136823296546936, 0.8725693225860596, 0.9264929890632629, 1.0849902629852295, 1.1192353963851929, 0.7804534435272217]",0.803943644,0.780453444,98115934,152.3400128,861290,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
CHFE,42,1,1,FALSE,FALSE,"[1, 3, 1, 1, 0, 1, 1, 0, 1, 2, -1, 0, 1, 1, 0, 1, 1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.24609999358654022, 0.42340001463890076, 0.5336999893188477, 0.4733999967575073, 0.48899999260902405, 0.5541999936103821, 0.5885000228881836, 0.6583999991416931, 0.558899998664856, 0.6539999842643738, 0.613099992275238, 0.6209999918937683, 0.6764000058174133, 0.635699987411499, 0.682699978351593]","[2.463798761367798, 1.6821531057357788, 1.3434745073318481, 1.6354402303695679, 1.5724316835403442, 1.3872407674789429, 1.2164114713668823, 1.0174072980880737, 1.2880996465682983, 1.0112556219100952, 1.0932965278625488, 1.3118078708648682, 0.9960908889770508, 1.1809521913528442, 0.982958972454071]",0.726117792,0.982958972,288819038,155.1471686,2471754,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
LFDC,42,1,1,FALSE,FALSE,"[1, 1, 1, 1, 1, 0, 2, -1, 0, 1, 0, 0, 1, 3, 0, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.2639000117778778, 0.3718999922275543, 0.46950000524520874, 0.4896000027656555, 0.5763999819755554, 0.4982999861240387, 0.6022999882698059, 0.5756999850273132, 0.6299999952316284, 0.6486999988555908, 0.6837999820709229, 0.6571000218391418, 0.6873000264167786, 0.5819000005722046, 0.6887000203132629]","[2.150078535079956, 1.89065682888031, 1.5673843622207642, 1.4712669849395752, 1.2128814458847046, 1.3755710124969482, 1.1594847440719604, 1.1712783575057983, 1.0459808111190796, 0.9880431890487671, 0.910369336605072, 0.9894062280654907, 0.8691325187683105, 1.2844818830490112, 0.9254063367843628]",0.73676712,0.925406337,67615070,151.9066854,1317482,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
FMJZ,42,1,1,FALSE,FALSE,"[1, 1, 0, 1, 2, 1, 2, -1, 0, 1, 2, 1, 1, 1, 0, 1, 3, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.3531999886035919, 0.2906999886035919, 0.3865000009536743, 0.3862000107765198, 0.38199999928474426, 0.536300003528595, 0.41280001401901245, 0.27720001339912415, 0.3862000107765198, 0.582099974155426, 0.4090000092983246, 0.5429999828338623, 0.557699978351593, 0.54830002784729, 0.6187999844551086]","[1.866915225982666, 2.511863946914673, 2.0959768295288086, 1.826251745223999, 1.8129603862762451, 1.338544487953186, 1.6953877210617065, 2.4879753589630127, 1.8589723110198975, 1.222456693649292, 2.344449758529663, 1.2540998458862305, 1.3206244707107544, 1.280213713645935, 1.1162388324737549]",0.663784182,1.116238832,389967518,155.76738,17621578,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
WQMC,42,1,1,FALSE,FALSE,"[1, 0, 1, 1, 2, 1, 1, 3, 1, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [128, 5]}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.25609999895095825, 0.35920000076293945, 0.34450000524520874, 0.3630000054836273, 0.6251999735832214, 0.49779999256134033, 0.6606000065803528, 0.5497999787330627, 0.6572999954223633, 0.7069000005722046, 0.7214000225067139, 0.5817000269889832, 0.7168999910354614, 0.690500020980835, 0.6818000078201294]","[3.651787519454956, 2.359706163406372, 2.8762049674987793, 2.5384232997894287, 1.0933822393417358, 1.6097960472106934, 1.031660795211792, 1.4290610551834106, 1.0122581720352173, 0.8366786241531372, 0.7985981106758118, 1.5984342098236084, 0.8336716890335083, 0.9539377689361572, 1.0748863220214844]",0.788115827,1.074886322,1183456542,160.9593861,9546090,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
SMXQ,42,1,1,FALSE,FALSE,"[1, 3, 1, 1, 3, 1, 2, -1, 1, 1, 3, 1, 1, 2, 0, 1, 3, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.3140000104904175, 0.39239999651908875, 0.3928999900817871, 0.45089998841285706, 0.5601999759674072, 0.6347000002861023, 0.6068999767303467, 0.6570000052452087, 0.6711999773979187, 0.6870999932289124, 0.7099999785423279, 0.75, 0.7305999994277954, 0.7383999824523926, 0.7279000282287598]","[1.9437209367752075, 1.9116257429122925, 2.080167293548584, 1.9140095710754395, 1.2434190511703491, 1.1063055992126465, 1.1706174612045288, 0.9725444316864014, 0.9754087924957275, 0.9218229651451111, 0.828076958656311, 0.740477442741394, 0.7678146958351135, 0.7510234117507935, 0.7987634539604187]",0.756648145,0.798763454,1971404574,168.7186334,7858442,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
YNJ,42,1,1,FALSE,FALSE,"[1, 3, 1, 1, 3, 0, 1, 0, 0, 1, 3, 1, 2, -1, 0, 1, 2, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [256, 3]}, {'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.30970001220703125, 0.38119998574256897, 0.36660000681877136, 0.5430999994277954, 0.579800009727478, 0.6118999719619751, 0.6079999804496765, 0.6403999924659729, 0.6809999942779541, 0.6198999881744385, 0.7150999903678894, 0.6603000164031982, 0.5726000070571899, 0.7382000088691711, 0.7409999966621399]","[1.8971956968307495, 1.9234267473220825, 2.059352159500122, 1.2710466384887695, 1.2800735235214233, 1.1053762435913086, 1.065385341644287, 1.0442173480987549, 0.9028257727622986, 1.0931477546691895, 0.8444508910179138, 0.9839853644371033, 1.2485419511795044, 0.7611784934997559, 0.7393874526023865]",0.808615076,0.739387453,1127517854,162.2883878,10103850,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
JLEJ,42,1,1,FALSE,FALSE,"[1, 1, 1, 1, 0, 1, 1, 2, 0, 2, -1, 1, 1, 2, 1, 2, -1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.3880999982357025, 0.5055000185966492, 0.49059998989105225, 0.4659000039100647, 0.5532000064849854, 0.4309999942779541, 0.5853999853134155, 0.4691999852657318, 0.546999990940094, 0.6747999787330627, 0.5755000114440918, 0.5967000126838684, 0.6172999739646912, 0.6055999994277954, 0.6158000230789185]","[1.7854423522949219, 1.390543818473816, 1.449264645576477, 1.6141160726547241, 1.26993727684021, 1.6058979034423828, 1.1799205541610718, 1.4912457466125488, 1.3036339282989502, 0.9530350565910339, 1.218141794204712, 1.1251803636550903, 1.113038420677185, 1.1601572036743164, 1.1667364835739136]",0.725109946,1.166736484,145383710,151.4607983,1032362,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
ZZEU,42,1,1,FALSE,FALSE,"[1, 0, 1, 1, 1, 0, 1, 0, 1, 2, -1, 0, 1, 2, 1, 1, 3, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,L_MODIFY_PARAMS,GA,20,"[0.32679998874664307, 0.47279998660087585, 0.47760000824928284, 0.49380001425743103, 0.5626999735832214, 0.6743999719619751, 0.6574000120162964, 0.7120000123977661, 0.6503000259399414, 0.6746000051498413, 0.7540000081062317, 0.7784000039100647, 0.7433000206947327, 0.7530999779701233, 0.7513999938964844]","[2.1799259185791016, 1.5290523767471313, 1.7252062559127808, 1.5266443490982056, 1.378317952156067, 0.9360910058021545, 0.9847032427787781, 0.8366018533706665, 1.1097567081451416, 1.0710102319717407, 0.7214701175689697, 0.6473959684371948, 0.7658166289329529, 0.7429139018058777, 0.7544124722480774]",0.835672563,0.754412472,343383326,155.3915055,34558314,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,0,0,0,0,FALSE,FALSE
