ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by
BFXMUS,0,1,1,1,0.0333333333333333,False,False,"[61, 24, 18, 47, 61, 62, 7, 55]","['100011', '010100', '011011', '111000', '100011', '100001', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.696581484854844,,,,4109362688,8943140,,,,,,,0.6813607829875282,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,26,81,100,200,0.26,0.405,BEST,False,False,1055,True,True,MARKOVCROSS,TPC_MBFLIP, 
BCMSHF,0,1,2,2,0.0666666666666666,True,False,"[22, 62, 27, 31, 46, 61, 62, 45]","['011101', '100001', '010110', '010000', '111001', '100011', '100001', '111011']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6980680311457436,,,,6017152512,9672228,,,,,,,0.6843738625089459,0.0030130795214177,0.25,0.75,0.0,1.0,0.0666666666666666,13,0,100,0,0.13,0.0,BEST,False,False,1015,True,True,MARKOVCROSS,SPC_NONE, 
BCMSHF,0,1,3,2,0.1,True,False,"[22, 62, 27, 31, 46, 61, 62, 45]","['011101', '100001', '010110', '010000', '111001', '100011', '100001', '111011']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6980680311457436,,,,6017152512,9672228,,,,,,,0.6905985965894976,0.0062247340805516,0.25,0.75,0.0,0.0,0.0666666666666666,23,64,100,200,0.23,0.32,BEST,False,False,1015,True,True,MARKOVCROSS,SPC_MBFLIP, 
BCMSHF,0,1,4,2,0.1333333333333333,True,False,"[22, 62, 27, 31, 46, 61, 62, 45]","['011101', '100001', '010110', '010000', '111001', '100011', '100001', '111011']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6980680311457436,,,,6017152512,9672228,,,,,,,0.6988008924952875,0.0082022959057899,0.25,0.75,0.0,0.0,0.0666666666666666,13,0,100,0,0.13,0.0,BEST,False,False,1015,True,True,MARKOVCROSS,SPC_NONE, 
BCMSHF,0,1,5,2,0.1666666666666666,True,False,"[22, 62, 27, 31, 46, 61, 62, 45]","['011101', '100001', '010110', '010000', '111001', '100011', '100001', '111011']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6980680311457436,,,,6017152512,9672228,,,,,,,0.7003223303911107,0.0015214378958231,0.25,0.75,0.0,0.0,0.0666666666666666,18,0,100,0,0.18,0.0,BEST,False,False,1015,True,True,MARKOVCROSS,UC_NONE, 
BRJCFS,0,1,6,6,0.2,True,False,"[22, 62, 27, 31, 46, 61, 62, 55]","['011101', '100001', '010110', '010000', '111001', '100011', '100001', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7111920363352684,,,,6049188864,10685476,,,,,,,0.7097698982040865,0.0094475678129758,0.125,0.875,0.0,0.125,0.2,12,0,100,0,0.12,0.0,BEST,False,False,308,True,True,MARKOVCROSS,SPC_NONE, 
BRJCFS,0,1,7,6,0.2333333333333333,True,False,"[22, 62, 27, 31, 46, 61, 62, 55]","['011101', '100001', '010110', '010000', '111001', '100011', '100001', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7111920363352684,,,,6049188864,10685476,,,,,,,0.7112516753033686,0.0014817770992821,0.125,0.875,0.0,0.0,0.2,18,41,100,200,0.18,0.205,BEST,False,False,308,True,True,MARKOVCROSS,SPC_MBFLIP, 
BRJCFS,0,1,8,6,0.2666666666666666,True,False,"[22, 62, 27, 31, 46, 61, 62, 55]","['011101', '100001', '010110', '010000', '111001', '100011', '100001', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7111920363352684,,,,6049188864,10685476,,,,,,,0.714435186398238,0.0031835110948693,0.125,0.875,0.0,0.0,0.2,16,0,100,0,0.16,0.0,BEST,False,False,308,True,True,MARKOVCROSS,UC_NONE, 
BRJCFS,0,1,9,6,0.3,True,False,"[22, 62, 27, 31, 46, 61, 62, 55]","['011101', '100001', '010110', '010000', '111001', '100011', '100001', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7111920363352684,,,,6049188864,10685476,,,,,,,0.7163642938990925,0.0019291075008545,0.125,0.875,0.0,0.0,0.2,10,25,100,200,0.1,0.125,BEST,False,False,308,True,True,MARKOVCROSS,SPC_MBFLIP, 
BRJCFS,0,1,10,6,0.3333333333333333,True,False,"[22, 62, 27, 31, 46, 61, 62, 55]","['011101', '100001', '010110', '010000', '111001', '100011', '100001', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7111920363352684,,,,6049188864,10685476,,,,,,,0.7164185265476204,5.423264852788545e-05,0.125,0.875,0.0,0.0,0.2,10,40,100,200,0.1,0.2,BEST,False,False,308,True,True,MARKOVCROSS,TPC_MBFLIP, 
