Execution,Generation,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,1.0,0.0,0.0,0.0,0.0,0.26,0.405,0.0333333333333333,0.6813607829875282
1,2.0,0.25,0.75,0.0,1.0,0.13,0.0,0.0666666666666666,0.6843738625089459
1,3.0,0.25,0.75,0.0,0.0,0.23,0.32,0.0666666666666666,0.6905985965894976
1,4.0,0.25,0.75,0.0,0.0,0.13,0.0,0.0666666666666666,0.6988008924952875
1,5.0,0.25,0.75,0.0,0.0,0.18,0.0,0.0666666666666666,0.7003223303911107
1,6.0,0.125,0.875,0.0,0.125,0.12,0.0,0.2,0.7097698982040865
1,7.0,0.125,0.875,0.0,0.0,0.18,0.205,0.2,0.7112516753033686
1,8.0,0.125,0.875,0.0,0.0,0.16,0.0,0.2,0.714435186398238
1,9.0,0.125,0.875,0.0,0.0,0.1,0.125,0.2,0.7163642938990925
1,10.0,0.125,0.875,0.0,0.0,0.1,0.2,0.2,0.7164185265476204
1,11.0,0.125,0.875,0.0,0.0,0.09,0.125,0.2,0.7179718767685557
1,12.0,0.125,0.875,0.0,0.0,0.06,0.165,0.2,0.7184239976370028
1,13.0,0.125,0.625,0.0,0.5,0.11,0.0,0.4333333333333333,0.7194513289091462
1,14.0,0.875,0.125,0.0,0.125,0.03,0.0,0.4666666666666667,0.7228071868333811
1,15.0,0.875,0.125,0.0,0.0,0.14,0.155,0.4666666666666667,0.7232309621581036
1,16.0,0.875,0.125,0.0,0.0,0.05,0.175,0.4666666666666667,0.7232455216487131
1,17.0,0.875,0.125,0.0,0.0,0.05,0.175,0.4666666666666667,0.7237930510505942
1,18.0,0.875,0.125,0.0,0.0,0.09,0.155,0.4666666666666667,0.7237958720383653
1,19.0,0.875,0.125,0.0,0.0,0.04,0.0,0.4666666666666667,0.724371832709094
1,20.0,0.875,0.125,0.0,0.0,0.1,0.0,0.4666666666666667,0.7281526246768676
1,21.0,0.875,0.125,0.0,0.0,0.04,0.0,0.4666666666666667,0.7295141997676523
1,22.0,0.875,0.125,0.0,0.0,0.06,0.155,0.4666666666666667,0.7297329492854827
1,23.0,0.875,0.125,0.0,0.0,0.05,0.0,0.4666666666666667,0.7306658573399429
1,24.0,0.875,0.125,0.0,0.0,0.06,0.0,0.4666666666666667,0.7307180064110145
1,25.0,0.875,0.125,0.0,0.0,0.03,0.19,0.4666666666666667,0.7306320894918577
1,26.0,0.875,0.125,0.0,0.0,0.05,0.0,0.4666666666666667,0.7310402860916568
1,27.0,0.875,0.125,0.0,0.0,0.06,0.0,0.4666666666666667,0.7311174314197584
1,28.0,0.875,0.125,0.0,0.0,0.09,0.14,0.4666666666666667,0.7310393136790552
1,29.0,0.875,0.125,0.0,0.0,0.07,0.0,0.4666666666666667,0.7312285738447699
1,30.0,0.875,0.125,0.0,0.0,0.11,0.21,0.4666666666666667,0.7311191840629802
1,30.0,0.875,0.125,0.0,0.0,0.11,0.21,0.4666666666666667,0.7311191840629802
2,1.0,0.625,0.375,0.375,0.0,0.26,0.525,0.0333333333333333,0.6989046676133893
2,2.0,0.625,0.375,0.375,0.0,0.15,0.445,0.0333333333333333,0.7021502479461232
2,3.0,0.0,0.0,0.375,0.875,0.22,0.36,0.1,0.7067911806807606
2,4.0,0.0,0.0,0.375,0.0,0.2,0.375,0.1,0.7081793482051265
2,5.0,0.0,0.0,0.375,0.0,0.14,0.34,0.1,0.7108505482825758
2,6.0,0.0,0.0,0.375,0.0,0.14,0.0,0.1,0.7147105127325692
2,7.0,0.125,0.75,0.0,0.125,0.1,0.0,0.2333333333333333,0.7184012439462923
2,8.0,0.125,0.625,0.0,0.75,0.16,0.0,0.2666666666666666,0.721082027044436
2,9.0,0.125,0.625,0.0,0.0,0.12,0.21,0.2666666666666666,0.7212167599102997
2,10.0,0.125,0.625,0.0,0.0,0.1,0.0,0.2666666666666666,0.7220908191936667
2,11.0,0.375,0.25,0.0,0.25,0.09,0.0,0.3666666666666666,0.7229349571034902
