Execution,Generation,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,1.0,0.0,0.0,0.0,0.0,0.26,0.405,0.0333333333333333,0.6813607829875282
1,2.0,0.0,0.0,0.0,0.0,0.13,0.395,0.0333333333333333,0.6868167903816386
1,3.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0333333333333333,0.6901179165320837
1,4.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0333333333333333,0.6904417097166128
1,5.0,0.75,0.25,0.25,0.625,0.18,0.35,0.1666666666666666,0.6952604449400287
1,6.0,0.75,0.25,0.25,0.0,0.14,0.0,0.1666666666666666,0.6990725895952942
1,7.0,0.75,0.25,0.25,0.0,0.19,0.29,0.1666666666666666,0.7028763096724184
1,8.0,0.125,0.875,0.25,0.625,0.15,0.32,0.2666666666666666,0.7058884918011534
1,9.0,0.125,0.875,0.25,0.0,0.12,0.33,0.2666666666666666,0.7066113017909657
1,10.0,0.125,0.875,0.25,0.0,0.14,0.0,0.2666666666666666,0.7105956306819082
1,11.0,0.125,0.875,0.25,0.0,0.0,0.25,0.2666666666666666,0.712558454308808
1,12.0,0.125,0.875,0.25,0.0,0.09,0.0,0.2666666666666666,0.7139176720815859
1,13.0,0.125,0.875,0.25,0.0,0.1,0.195,0.2666666666666666,0.7139521693422911
1,14.0,0.25,0.375,0.0,0.5,0.09,0.0,0.4666666666666667,0.7195240866268611
1,15.0,0.25,0.375,0.0,0.0,0.08,0.0,0.4666666666666667,0.7214595740009211
1,16.0,0.25,0.375,0.0,0.0,0.0,0.23,0.4666666666666667,0.7214616493428456
1,17.0,0.25,0.375,0.0,0.0,0.0,0.17,0.4666666666666667,0.721466199699481
1,18.0,0.25,0.375,0.0,0.0,0.0,0.23,0.4666666666666667,0.7214740583472677
1,19.0,0.25,0.375,0.0,0.0,0.07,0.22,0.4666666666666667,0.7214933449687977
1,20.0,0.25,0.375,0.0,0.0,0.05,0.18,0.4666666666666667,0.7215729925661403
1,21.0,0.25,0.375,0.0,0.0,0.11,0.17,0.4666666666666667,0.7220381247717067
1,22.0,0.375,0.375,0.0,0.625,0.13,0.0,0.7333333333333333,0.7239166689094998
1,23.0,0.375,0.375,0.0,0.0,0.0,0.23,0.7333333333333333,0.7239472012088167
1,24.0,0.375,0.375,0.0,0.0,0.0,0.23,0.7333333333333333,0.723951793245704
1,25.0,0.375,0.375,0.0,0.0,0.0,0.23,0.7333333333333333,0.7239737499883827
1,26.0,0.375,0.375,0.0,0.0,0.0,0.19,0.7333333333333333,0.7239738675207088
1,27.0,0.375,0.375,0.0,0.0,0.0,0.22,0.7333333333333333,0.7240148161473074
1,28.0,0.375,0.375,0.0,0.0,0.0,0.22,0.7333333333333333,0.7240210155265705
1,29.0,0.375,0.375,0.0,0.0,0.0,0.23,0.7333333333333333,0.7240351735072892
1,30.0,0.375,0.375,0.0,0.0,0.07,0.275,0.7333333333333333,0.7242133506199594
1,30.0,0.375,0.375,0.0,0.0,0.07,0.275,0.7333333333333333,0.7242133506199594
2,1.0,0.25,0.75,0.0,0.0,0.24,0.0,0.0333333333333333,0.6655508403184828
2,2.0,0.0,0.0,0.375,1.0,0.2,0.345,0.0666666666666666,0.6951053622901918
2,3.0,0.0,0.0,0.375,0.0,0.21,0.0,0.0666666666666666,0.7006431857991612
2,4.0,0.25,0.75,0.5,0.875,0.23,0.27,0.1333333333333333,0.7054789513190214
2,5.0,0.25,0.75,0.5,0.0,0.25,0.305,0.1333333333333333,0.7067795068877044
