Execution,Generation,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,1.0,0.0,0.0,0.625,0.0,0.0,0.47,0.0333333333333333,0.6871291401754744
1,2.0,0.0,0.0,0.625,0.0,0.0,0.37,0.0333333333333333,0.6897778109888866
1,3.0,0.0,0.0,0.625,0.0,0.0,0.29,0.0333333333333333,0.6971874042951123
1,4.0,0.0,0.0,0.625,0.0,0.0,0.35,0.0333333333333333,0.7010433876440337
1,5.0,0.0,0.0,0.625,0.0,0.0,0.39,0.0333333333333333,0.7019802115316929
1,6.0,0.0,0.0,0.625,0.0,0.0,0.31,0.0333333333333333,0.7025835390521297
1,7.0,0.0,0.0,0.625,0.0,0.0,0.35,0.0333333333333333,0.7027172825482491
1,8.0,0.0,0.0,0.625,0.0,0.0,0.3,0.0333333333333333,0.7030635863187681
1,9.0,0.0,0.0,0.625,0.0,0.0,0.33,0.0333333333333333,0.7036811550189151
1,10.0,0.0,0.0,0.625,0.0,0.0,0.27,0.0333333333333333,0.7052747322750883
1,11.0,0.0,0.0,0.625,0.0,0.0,0.34,0.0333333333333333,0.7057387656012372
1,12.0,0.0,0.0,0.625,0.0,0.0,0.34,0.0333333333333333,0.7072200352616831
1,13.0,0.0,0.0,0.625,0.0,0.0,0.27,0.0333333333333333,0.7098695635393952
1,14.0,0.0,0.0,0.625,0.0,0.0,0.35,0.0333333333333333,0.7100410596347793
1,15.0,0.0,0.0,0.625,0.0,0.0,0.28,0.0333333333333333,0.7100816596584181
1,16.0,0.0,0.0,0.25,1.0,0.0,0.29,0.5333333333333333,0.7111623461394976
1,17.0,0.0,0.0,0.25,0.0,0.0,0.22,0.5333333333333333,0.7111623713915677
1,18.0,0.0,0.0,0.25,0.0,0.0,0.33,0.5333333333333333,0.7112532821815363
1,19.0,0.0,0.0,0.25,0.0,0.0,0.27,0.5333333333333333,0.7115508128220487
1,20.0,0.0,0.0,0.25,0.0,0.0,0.35,0.5333333333333333,0.7117196420841114
1,21.0,0.0,0.0,0.25,0.0,0.0,0.26,0.5333333333333333,0.7119103119241914
1,22.0,0.0,0.0,0.25,0.0,0.0,0.3,0.5333333333333333,0.7119980918569793
1,23.0,0.0,0.0,0.25,0.0,0.0,0.34,0.5333333333333333,0.7125931736429114
1,24.0,0.0,0.0,0.25,0.0,0.0,0.3,0.5333333333333333,0.7126118605717328
1,25.0,0.0,0.0,0.25,1.0,0.0,0.3,0.8333333333333334,0.7136317941014787
1,26.0,0.0,0.0,0.25,0.0,0.0,0.34,0.8333333333333334,0.7137372775148858
