Execution,Generation,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.690408872805498
1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.6904314429336411
1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.697048386474729
1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.6970486321563353
1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.6970486321563353
1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.6971726183905987
1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.6972007427676331
1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.697315999485377
1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.697315999485377
1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.6973870426386938
1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.6974218027051364
1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.6974219674680509
1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.6975319191976866
1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.6975320790468166
1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.6975320790468166
1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.6975571097729452
1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.6975579918025633
1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.6975697313689282
1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.6978959035426449
1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.697896157784195
1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.697896157784195
1,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.6982100030324341
