Execution,Generation,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,1.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0333333333333333,0.6821360217021777
1,2.0,0.25,0.75,0.0,0.25,0.2,0.0,0.0666666666666666,0.6944528700287652
1,3.0,0.25,0.75,0.0,0.0,0.13,0.0,0.0666666666666666,0.6956699772445539
1,4.0,0.25,0.75,0.0,0.0,0.14,0.0,0.0666666666666666,0.7004555907423913
1,5.0,0.125,0.875,0.0,0.875,0.17,0.0,0.1666666666666666,0.7053336581378882
1,6.0,0.125,0.875,0.0,0.0,0.12,0.0,0.1666666666666666,0.7055613198218054
1,7.0,0.25,0.625,0.0,0.25,0.11,0.0,0.2333333333333333,0.7071477529134254
1,8.0,0.25,0.625,0.0,0.0,0.06,0.0,0.2333333333333333,0.7074128451643384
1,9.0,0.5,0.375,0.0,0.5,0.11,0.0,0.3,0.7088067198421357
1,10.0,0.25,0.25,0.0,0.375,0.1,0.0,0.3333333333333333,0.70973470296796
1,11.0,0.25,0.25,0.0,0.0,0.14,0.0,0.3333333333333333,0.71034495120323
1,12.0,0.25,0.25,0.0,0.0,0.08,0.0,0.3333333333333333,0.7104113292673444
1,13.0,0.25,0.25,0.0,0.0,0.11,0.0,0.3333333333333333,0.7104439904330334
1,14.0,0.25,0.25,0.0,0.0,0.03,0.0,0.3333333333333333,0.7105094269528708
1,15.0,0.125,0.125,0.0,0.125,0.1,0.0,0.5,0.710552619476768
1,16.0,0.125,0.125,0.0,0.0,0.09,0.0,0.5,0.7106190881469112
1,17.0,0.125,0.125,0.0,0.0,0.08,0.0,0.5,0.7106510400037163
1,18.0,0.125,0.125,0.0,0.0,0.1,0.0,0.5,0.7106895259626332
1,19.0,0.125,0.125,0.0,0.0,0.14,0.0,0.5,0.7107088891517054
1,20.0,0.25,0.25,0.0,0.375,0.12,0.0,0.6666666666666666,0.7128408946503
1,21.0,0.25,0.25,0.0,0.0,0.05,0.0,0.6666666666666666,0.712866478154098
1,22.0,0.125,0.25,0.0,0.125,0.12,0.0,0.7333333333333333,0.7132565892479008
1,23.0,0.125,0.25,0.0,0.0,0.05,0.0,0.7333333333333333,0.7132625868874034
1,24.0,0.125,0.25,0.0,0.0,0.06,0.0,0.7333333333333333,0.7132599696181878
1,25.0,0.125,0.25,0.0,0.0,0.07,0.0,0.7333333333333333,0.7132653899213337
1,26.0,0.125,0.25,0.0,0.0,0.04,0.0,0.7333333333333333,0.713265620052639
1,27.0,0.125,0.25,0.0,0.0,0.1,0.0,0.7333333333333333,0.7132970740215256
1,28.0,0.125,0.25,0.0,0.0,0.03,0.0,0.7333333333333333,0.7132927015641372
1,29.0,0.125,0.25,0.0,0.0,0.04,0.0,0.7333333333333333,0.7133011625622223
1,30.0,0.125,0.25,0.0,0.0,0.04,0.0,0.7333333333333333,0.7132979844504123
1,30.0,0.125,0.25,0.0,0.0,0.04,0.0,0.7333333333333333,0.7132979844504123
2,1.0,0.25,0.75,0.0,0.0,0.2,0.0,0.0333333333333333,0.67068379544554
2,2.0,0.25,0.75,0.0,0.0,0.07,0.0,0.0333333333333333,0.6737210799914513
2,3.0,0.25,0.75,0.0,0.75,0.18,0.0,0.1,0.6875081759178534
2,4.0,0.25,0.75,0.0,0.0,0.16,0.0,0.1,0.6929961433345181
2,5.0,0.75,0.25,0.0,0.625,0.15,0.0,0.1666666666666666,0.6961206069883812
2,6.0,0.125,0.25,0.0,0.125,0.13,0.0,0.2,0.6992794013206598
2,7.0,0.5,0.125,0.0,0.375,0.18,0.0,0.2333333333333333,0.7015104653459342
2,8.0,0.75,0.125,0.0,0.125,0.14,0.0,0.2666666666666666,0.7060858043438247
2,9.0,0.125,0.75,0.0,0.125,0.07,0.0,0.3,0.7069936942201894
2,10.0,0.125,0.75,0.0,0.0,0.09,0.0,0.3,0.7074020906110838
2,11.0,0.125,0.75,0.0,0.0,0.12,0.0,0.3,0.7101292817047784
2,12.0,0.125,0.75,0.0,0.0,0.1,0.0,0.3,0.7102743955392028
2,13.0,0.125,0.75,0.0,0.0,0.12,0.0,0.3,0.7104977381722528
2,14.0,0.125,0.75,0.0,0.0,0.07,0.0,0.3,0.7105751451997693
2,15.0,0.125,0.75,0.0,0.0,0.08,0.0,0.3,0.7114079321107416
2,16.0,0.125,0.75,0.0,0.0,0.07,0.0,0.3,0.7114262937632878
2,17.0,0.125,0.75,0.0,0.0,0.05,0.0,0.3,0.7130560888888695
2,18.0,0.125,0.75,0.0,0.0,0.11,0.0,0.3,0.714951394222193
2,19.0,0.125,0.75,0.0,0.0,0.12,0.0,0.3,0.7150152180177093
2,20.0,0.125,0.75,0.0,0.0,0.08,0.0,0.3,0.7150680435598546
2,21.0,0.125,0.75,0.0,0.0,0.12,0.0,0.3,0.7151011890747087
2,22.0,0.125,0.75,0.0,0.0,0.04,0.0,0.3,0.7151552628996094
2,23.0,0.125,0.75,0.0,0.0,0.06,0.0,0.3,0.7151922244600335
2,24.0,0.125,0.75,0.0,0.0,0.07,0.0,0.3,0.7152319594891771
2,25.0,0.125,0.75,0.0,0.0,0.03,0.0,0.3,0.7152435681636281
2,26.0,0.125,0.75,0.0,0.0,0.07,0.0,0.3,0.7177302166480447
2,27.0,0.125,0.75,0.0,0.0,0.06,0.0,0.3,0.717729470579295
2,28.0,0.125,0.75,0.0,0.0,0.07,0.0,0.3,0.7177319988672768
2,29.0,0.125,0.75,0.0,0.0,0.08,0.0,0.3,0.7183360183438873
2,30.0,0.125,0.75,0.0,0.0,0.1,0.0,0.3,0.7183709121007837
2,30.0,0.125,0.75,0.0,0.0,0.1,0.0,0.3,0.7183709121007837
3,1.0,0.75,0.25,0.0,0.0,0.17,0.0,0.0333333333333333,0.6819052105789196
3,2.0,0.625,0.375,0.0,0.375,0.16,0.0,0.0666666666666666,0.6942204400412919
3,3.0,0.5,0.5,0.0,1.0,0.15,0.0,0.1,0.6964228171357618
3,4.0,0.875,0.125,0.0,0.875,0.13,0.0,0.1333333333333333,0.7005353008813514
3,5.0,0.125,0.875,0.0,0.75,0.13,0.0,0.1666666666666666,0.7052131534953527
3,6.0,0.125,0.875,0.0,0.0,0.07,0.0,0.1666666666666666,0.7058934442018798
3,7.0,0.25,0.25,0.0,0.5,0.12,0.0,0.2333333333333333,0.7080922933679801
3,8.0,0.25,0.25,0.0,0.0,0.07,0.0,0.2333333333333333,0.7082864742125158
3,9.0,0.25,0.25,0.0,0.25,0.07,0.0,0.3,0.7113914079603596
3,10.0,0.25,0.25,0.0,0.0,0.11,0.0,0.3,0.7114545751888675
3,11.0,0.125,0.125,0.0,0.125,0.08,0.0,0.3666666666666666,0.7119581281341965
3,12.0,0.125,0.125,0.0,0.0,0.08,0.0,0.3666666666666666,0.7120100253568639
3,13.0,0.125,0.25,0.0,0.125,0.08,0.0,0.4333333333333333,0.7134948674203719
3,14.0,0.125,0.25,0.0,0.0,0.09,0.0,0.4333333333333333,0.7135017937682098
3,15.0,0.125,0.25,0.0,0.0,0.07,0.0,0.4333333333333333,0.7135225307694029
3,16.0,0.125,0.25,0.0,0.0,0.07,0.0,0.4333333333333333,0.7135423462268043
3,17.0,0.125,0.25,0.0,0.0,0.06,0.0,0.4333333333333333,0.7135611519905528
3,18.0,0.125,0.25,0.0,0.0,0.05,0.0,0.4333333333333333,0.7135674772642466
3,19.0,0.125,0.25,0.0,0.0,0.02,0.0,0.4333333333333333,0.713580265577066
3,20.0,0.125,0.25,0.0,0.0,0.07,0.0,0.4333333333333333,0.7135795652924661
3,21.0,0.125,0.25,0.0,0.0,0.07,0.0,0.4333333333333333,0.7135997858371497
3,22.0,0.125,0.25,0.0,0.0,0.06,0.0,0.4333333333333333,0.713604528808493
3,23.0,0.125,0.25,0.0,0.0,0.1,0.0,0.4333333333333333,0.713602401102012
3,24.0,0.125,0.25,0.0,0.0,0.08,0.0,0.4333333333333333,0.7136080865177316
3,25.0,0.125,0.25,0.0,0.0,0.02,0.0,0.4333333333333333,0.7136146512058593
3,26.0,0.125,0.25,0.0,0.0,0.06,0.0,0.4333333333333333,0.7136197142754797
3,27.0,0.125,0.25,0.0,0.0,0.09,0.0,0.4333333333333333,0.7136174205336274
3,28.0,0.125,0.25,0.0,0.0,0.09,0.0,0.4333333333333333,0.7136213536277537
3,29.0,0.125,0.25,0.0,0.0,0.08,0.0,0.4333333333333333,0.7136221065737843
3,30.0,0.125,0.25,0.0,0.0,0.05,0.0,0.4333333333333333,0.7136195298701197
3,30.0,0.125,0.25,0.0,0.0,0.05,0.0,0.4333333333333333,0.7136195298701197
4,1.0,0.375,0.625,0.0,0.0,0.18,0.0,0.0333333333333333,0.6676252120754689
4,2.0,0.875,0.125,0.0,0.75,0.15,0.0,0.0666666666666666,0.673872200848072
4,3.0,0.375,0.5,0.0,0.5,0.18,0.0,0.1,0.6929923502646843
4,4.0,0.375,0.5,0.0,0.0,0.13,0.0,0.1,0.696391825781618
4,5.0,0.625,0.375,0.0,0.375,0.14,0.0,0.1666666666666666,0.7000393431824712
4,6.0,0.625,0.375,0.0,0.0,0.07,0.0,0.1666666666666666,0.700567020122607
4,7.0,0.625,0.375,0.0,0.0,0.12,0.0,0.1666666666666666,0.7010337301829123
4,8.0,0.625,0.375,0.0,0.0,0.04,0.0,0.1666666666666666,0.7047650422375654
4,9.0,0.625,0.375,0.0,0.0,0.04,0.0,0.1666666666666666,0.7081578864403553
4,10.0,0.125,0.25,0.0,0.125,0.12,0.0,0.3333333333333333,0.7092856972387905
4,11.0,0.125,0.25,0.0,0.0,0.08,0.0,0.3333333333333333,0.7103354801183608
4,12.0,0.125,0.25,0.0,0.0,0.03,0.0,0.3333333333333333,0.7145840176652967
4,13.0,0.125,0.25,0.0,0.0,0.08,0.0,0.3333333333333333,0.717776420471639
4,14.0,0.125,0.5,0.0,0.25,0.06,0.0,0.4666666666666667,0.718393943732169
4,15.0,0.125,0.5,0.0,0.0,0.11,0.0,0.4666666666666667,0.7196278099456712
4,16.0,0.125,0.5,0.0,0.0,0.15,0.0,0.4666666666666667,0.7199759526391902
4,17.0,0.125,0.5,0.0,0.0,0.08,0.0,0.4666666666666667,0.720033484505252
4,18.0,0.125,0.5,0.0,0.0,0.1,0.0,0.4666666666666667,0.720065623649066
4,19.0,0.125,0.5,0.0,0.0,0.04,0.0,0.4666666666666667,0.720104925599112
4,20.0,0.125,0.5,0.0,0.0,0.05,0.0,0.4666666666666667,0.7201685287443209
4,21.0,0.125,0.5,0.0,0.0,0.06,0.0,0.4666666666666667,0.7223505607759442
4,22.0,0.125,0.5,0.0,0.0,0.02,0.0,0.4666666666666667,0.7223612095171777
4,23.0,0.125,0.5,0.0,0.0,0.05,0.0,0.4666666666666667,0.7223793850530971
4,24.0,0.125,0.5,0.0,0.0,0.06,0.0,0.4666666666666667,0.7223910189744991
4,25.0,0.125,0.5,0.0,0.0,0.11,0.0,0.4666666666666667,0.7224052474444979
4,26.0,0.125,0.5,0.0,0.0,0.08,0.0,0.4666666666666667,0.7224630442287456
4,27.0,0.125,0.5,0.0,0.0,0.06,0.0,0.4666666666666667,0.7224753841014289
4,28.0,0.125,0.5,0.0,0.0,0.04,0.0,0.4666666666666667,0.7224886396704499
4,29.0,0.125,0.5,0.0,0.0,0.04,0.0,0.4666666666666667,0.7224884342391416
4,30.0,0.125,0.5,0.0,0.0,0.08,0.0,0.4666666666666667,0.722488648893242
4,30.0,0.125,0.5,0.0,0.0,0.08,0.0,0.4666666666666667,0.722488648893242
5,1.0,0.5,0.375,0.0,0.0,0.24,0.0,0.0333333333333333,0.6756714814152834
5,2.0,0.875,0.125,0.0,0.875,0.25,0.0,0.0666666666666666,0.6817474487852643
5,3.0,0.25,0.625,0.0,0.625,0.15,0.0,0.1,0.6971510034172267
5,4.0,0.375,0.5,0.0,0.125,0.09,0.0,0.1333333333333333,0.698739817953619
