Execution,Generation,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,1.0,0.0,0.0,0.0,0.0,0.25,0.405,0.0333333333333333,0.6816327304786005
1,2.0,0.0,0.0,0.0,0.0,0.24,0.31,0.0333333333333333,0.6869400906225747
1,3.0,0.0,0.0,0.0,0.0,0.16,0.37,0.0333333333333333,0.696495192542064
1,4.0,0.0,0.0,0.5,0.875,0.15,0.35,0.1333333333333333,0.699104162255382
1,5.0,0.0,0.0,0.25,0.875,0.17,0.305,0.1666666666666666,0.7035108958862824
1,6.0,0.0,0.0,0.25,0.0,0.17,0.28,0.1666666666666666,0.7048312504853729
1,7.0,0.625,0.375,0.25,0.875,0.16,0.28,0.2333333333333333,0.7064654658999789
1,8.0,0.625,0.375,0.25,0.0,0.21,0.33,0.2333333333333333,0.707593502581383
1,9.0,0.625,0.375,0.25,0.0,0.13,0.33,0.2333333333333333,0.7097471500010009
1,10.0,0.625,0.375,0.25,0.0,0.13,0.275,0.2333333333333333,0.713030940817071
1,11.0,0.0,0.0,0.125,0.875,0.15,0.29,0.3666666666666666,0.7152577723716264
1,12.0,0.0,0.0,0.125,0.0,0.16,0.31,0.3666666666666666,0.7165573822869983
1,13.0,0.0,0.0,0.25,0.875,0.18,0.22,0.4333333333333333,0.7179995015383748
1,14.0,0.0,0.0,0.25,0.0,0.15,0.225,0.4333333333333333,0.7182248083922991
1,15.0,0.0,0.0,0.25,0.0,0.17,0.185,0.4333333333333333,0.7183861592960779
1,16.0,0.0,0.0,0.25,0.0,0.12,0.24,0.4333333333333333,0.7184491706165597
1,17.0,0.0,0.0,0.25,0.0,0.1,0.195,0.4333333333333333,0.71856264437878
1,18.0,0.0,0.0,0.25,0.0,0.19,0.155,0.4333333333333333,0.7187269505673824
1,19.0,0.0,0.0,0.25,0.875,0.11,0.195,0.6333333333333333,0.7216398622116853
1,20.0,0.0,0.0,0.25,0.0,0.15,0.175,0.6333333333333333,0.7220243928189096
1,21.0,0.0,0.0,0.25,0.0,0.14,0.24,0.6333333333333333,0.7220427735602312
1,22.0,0.0,0.0,0.25,0.0,0.1,0.21,0.6333333333333333,0.7221091439529976
1,23.0,0.0,0.0,0.25,0.0,0.08,0.225,0.6333333333333333,0.7221615175128666
1,24.0,0.0,0.0,0.25,0.0,0.1,0.275,0.6333333333333333,0.7226009056251785
1,25.0,0.0,0.0,0.25,0.0,0.15,0.215,0.6333333333333333,0.7226216571331032
1,26.0,0.0,0.0,0.25,0.0,0.09,0.22,0.6333333333333333,0.722664640828073
1,27.0,0.375,0.5,0.5,0.875,0.07,0.155,0.9,0.7236633038430937
1,28.0,0.375,0.5,0.5,0.0,0.09,0.185,0.9,0.723668919105865
1,29.0,0.375,0.5,0.5,0.0,0.08,0.21,0.9,0.7236844300731872
1,30.0,0.375,0.5,0.5,0.0,0.08,0.195,0.9,0.7237314576972431
1,30.0,0.375,0.5,0.5,0.0,0.08,0.195,0.9,0.7237314576972431
2,1.0,0.0,0.0,0.0,0.0,0.26,0.415,0.0333333333333333,0.6732175236374431
2,2.0,0.0,0.0,0.0,0.0,0.15,0.45,0.0333333333333333,0.6748460314985308
2,3.0,0.0,0.0,0.375,0.375,0.18,0.4,0.1,0.6868941902263137
2,4.0,0.0,0.0,0.375,0.0,0.19,0.32,0.1,0.6904284010545179
2,5.0,0.0,0.0,0.375,0.0,0.21,0.43,0.1,0.6939537991080791
2,6.0,0.125,0.875,0.125,0.625,0.21,0.365,0.2,0.6982390913776542
2,7.0,0.125,0.75,0.5,0.625,0.2,0.355,0.2333333333333333,0.6993246202210754
2,8.0,0.125,0.75,0.5,0.0,0.15,0.33,0.2333333333333333,0.7018610709603201
2,9.0,0.125,0.75,0.5,0.0,0.16,0.3,0.2333333333333333,0.7028952888535444
2,10.0,0.25,0.375,0.25,0.75,0.21,0.24,0.3333333333333333,0.7062854092540198
2,11.0,0.25,0.375,0.25,0.0,0.2,0.31,0.3333333333333333,0.7090765938431465
2,12.0,0.25,0.375,0.25,0.0,0.16,0.285,0.3333333333333333,0.7126419298163534
2,13.0,0.25,0.375,0.25,0.0,0.1,0.285,0.3333333333333333,0.7127965984846616
2,14.0,0.25,0.375,0.25,0.0,0.15,0.29,0.3333333333333333,0.7129233461494828
2,15.0,0.25,0.375,0.25,0.0,0.11,0.28,0.3333333333333333,0.7139806077763893
2,16.0,0.25,0.375,0.25,0.0,0.13,0.265,0.3333333333333333,0.7141483108859792
2,17.0,0.25,0.375,0.25,0.0,0.12,0.28,0.3333333333333333,0.714190840625738
2,18.0,0.25,0.375,0.25,0.0,0.11,0.305,0.3333333333333333,0.7146395314489854
2,19.0,0.25,0.375,0.25,0.0,0.16,0.315,0.3333333333333333,0.7146591057713468
2,20.0,0.125,0.75,0.25,0.625,0.15,0.34,0.6666666666666666,0.7177816650132377
2,21.0,0.125,0.75,0.25,0.0,0.11,0.23,0.6666666666666666,0.7177990302319834
2,22.0,0.125,0.75,0.25,0.0,0.17,0.205,0.6666666666666666,0.7181804734694044
2,23.0,0.125,0.75,0.25,0.0,0.09,0.175,0.6666666666666666,0.7182007650685294
2,24.0,0.125,0.75,0.25,0.0,0.15,0.18,0.6666666666666666,0.7182201835422344
2,25.0,0.125,0.75,0.25,0.0,0.11,0.155,0.6666666666666666,0.7182816271740505
2,26.0,0.125,0.75,0.25,0.0,0.11,0.13,0.6666666666666666,0.7182904839774432
2,27.0,0.125,0.75,0.25,0.0,0.17,0.18,0.6666666666666666,0.7183640290333215
2,28.0,0.125,0.75,0.25,0.0,0.14,0.195,0.6666666666666666,0.7184803606424055
2,29.0,0.125,0.75,0.25,0.0,0.2,0.18,0.6666666666666666,0.720670170482902
2,30.0,0.125,0.75,0.25,0.0,0.12,0.155,0.6666666666666666,0.7207237141983364
2,30.0,0.125,0.75,0.25,0.0,0.12,0.155,0.6666666666666666,0.7207237141983364
3,1.0,0.0,0.0,0.0,0.0,0.24,0.455,0.0333333333333333,0.680958286522136
3,2.0,0.25,0.75,0.5,0.75,0.26,0.42,0.0666666666666666,0.689082786338872
3,3.0,0.25,0.75,0.0,0.75,0.24,0.425,0.1,0.6901850142550313
3,4.0,0.25,0.75,0.0,0.0,0.14,0.38,0.1,0.694579515479711
3,5.0,0.125,0.875,0.5,0.5,0.15,0.42,0.1666666666666666,0.6994115100331402
3,6.0,0.875,0.125,0.125,0.125,0.12,0.465,0.2,0.7029032888255763
3,7.0,0.875,0.125,0.125,0.0,0.14,0.27,0.2,0.7034779703432694
3,8.0,0.875,0.125,0.125,0.0,0.18,0.33,0.2,0.7076099171752793
3,9.0,0.875,0.125,0.125,0.0,0.18,0.365,0.2,0.7093895381878819
3,10.0,0.875,0.125,0.125,0.0,0.13,0.33,0.2,0.7094559501227986
3,11.0,0.875,0.125,0.125,0.0,0.11,0.3,0.2,0.7096199126155488
3,12.0,0.875,0.125,0.125,0.0,0.09,0.345,0.2,0.7102365414843517
