Execution,Generation,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,1.0,0.375,0.5,0.375,0.0,0.24,0.45,0.0333333333333333,0.6889379152956077
1,2.0,0.375,0.5,0.375,0.0,0.23,0.31,0.0333333333333333,0.6910832401111049
1,3.0,0.375,0.5,0.375,0.0,0.14,0.3,0.0333333333333333,0.6954769068795316
1,4.0,0.375,0.5,0.375,0.0,0.19,0.325,0.0333333333333333,0.6968925964324699
1,5.0,0.0,0.0,0.625,1.0,0.17,0.33,0.1666666666666666,0.7039575084777047
1,6.0,0.625,0.25,0.5,1.0,0.19,0.285,0.2,0.7086259930765499
1,7.0,0.625,0.25,0.5,0.0,0.19,0.29,0.2,0.7090958327922892
1,8.0,0.625,0.25,0.5,0.0,0.2,0.31,0.2,0.709278287151287
1,9.0,0.0,0.0,0.125,0.625,0.18,0.265,0.3,0.7113634229669616
1,10.0,0.875,0.125,0.375,0.5,0.18,0.21,0.3333333333333333,0.7123468963542217
1,11.0,0.875,0.125,0.375,0.0,0.14,0.245,0.3333333333333333,0.7146573103405403
1,12.0,0.0,0.0,0.25,0.75,0.08,0.28,0.4,0.720854248328577
1,13.0,0.0,0.0,0.25,0.0,0.18,0.245,0.4,0.7215344041584068
1,14.0,0.0,0.0,0.25,0.0,0.11,0.24,0.4,0.7221293974732532
1,15.0,0.0,0.0,0.25,0.0,0.13,0.24,0.4,0.7225398967477316
1,16.0,0.0,0.0,0.25,0.0,0.11,0.195,0.4,0.7225868671986795
1,17.0,0.0,0.0,0.25,0.0,0.14,0.21,0.4,0.7227189352694203
1,18.0,0.5,0.125,0.25,0.375,0.17,0.26,0.6,0.7279641271798631
1,19.0,0.5,0.125,0.25,0.0,0.14,0.235,0.6,0.7280323436532895
1,20.0,0.5,0.125,0.25,0.0,0.16,0.22,0.6,0.7300933056698706
1,21.0,0.5,0.125,0.25,0.0,0.15,0.25,0.6,0.7302015933133397
1,22.0,0.5,0.125,0.25,0.0,0.13,0.285,0.6,0.7305609139486182
1,23.0,0.5,0.125,0.25,0.0,0.08,0.25,0.6,0.7305804120775433
1,24.0,0.5,0.125,0.25,0.0,0.11,0.24,0.6,0.7306643877426471
1,25.0,0.5,0.125,0.25,0.0,0.13,0.25,0.6,0.730807784609612
1,26.0,0.5,0.125,0.25,0.0,0.16,0.25,0.6,0.7308699201719955
1,27.0,0.5,0.125,0.25,0.0,0.11,0.225,0.6,0.7309840269608759
1,28.0,0.5,0.125,0.25,0.0,0.12,0.235,0.6,0.7310028953465564
1,29.0,0.5,0.125,0.25,0.0,0.12,0.215,0.6,0.7310531977431973
1,30.0,0.5,0.125,0.25,0.0,0.13,0.21,0.6,0.7311582032757107
1,30.0,0.5,0.125,0.25,0.0,0.13,0.21,0.6,0.7311582032757107
2,1.0,0.0,0.0,0.0,0.0,0.16,0.415,0.0333333333333333,0.6785808042509865
2,2.0,0.0,0.0,0.5,1.0,0.27,0.305,0.0666666666666666,0.6868806311355864
2,3.0,0.0,0.0,0.5,0.0,0.15,0.3,0.0666666666666666,0.6917960500565434
2,4.0,0.0,0.0,0.5,0.0,0.15,0.32,0.0666666666666666,0.6929304324527563
2,5.0,0.0,0.0,0.25,1.0,0.17,0.29,0.1666666666666666,0.6952964213099364
2,6.0,0.25,0.75,0.375,0.875,0.23,0.355,0.2,0.6997622051467483
2,7.0,0.25,0.75,0.375,0.0,0.13,0.335,0.2,0.7006974505941793
2,8.0,0.25,0.75,0.375,0.0,0.17,0.385,0.2,0.7011634333522178
2,9.0,0.25,0.75,0.375,0.0,0.14,0.285,0.2,0.7039365496230412
2,10.0,0.25,0.75,0.125,0.875,0.14,0.255,0.3333333333333333,0.7049823240060578
2,11.0,0.375,0.625,0.25,0.875,0.14,0.29,0.3666666666666666,0.7057929251736522
2,12.0,0.0,0.0,0.125,0.875,0.21,0.295,0.4,0.7076978690961832
2,13.0,0.0,0.0,0.125,0.0,0.24,0.305,0.4,0.7080510396993377
2,14.0,0.25,0.75,0.5,1.0,0.18,0.365,0.4666666666666667,0.711538670550919
2,15.0,0.25,0.75,0.5,0.0,0.16,0.29,0.4666666666666667,0.7115526308434423
2,16.0,0.375,0.375,0.375,1.0,0.16,0.305,0.5333333333333333,0.7121360280303289
2,17.0,0.625,0.375,0.375,0.75,0.17,0.29,0.5666666666666667,0.7131695659994144
2,18.0,0.0,0.75,0.125,0.125,0.12,0.265,0.6,0.7160056749635088
2,19.0,0.0,0.75,0.125,0.0,0.13,0.28,0.6,0.716462027409368
2,20.0,0.0,0.0,0.125,0.125,0.14,0.29,0.6666666666666666,0.7177319202463684
2,21.0,0.0,0.0,0.125,0.0,0.11,0.27,0.6666666666666666,0.7177578722524239
2,22.0,0.0,0.0,0.125,0.0,0.15,0.315,0.6666666666666666,0.7196136480813738
2,23.0,0.0,0.0,0.125,0.0,0.16,0.255,0.6666666666666666,0.7206575478304327
2,24.0,0.0,0.0,0.125,0.0,0.12,0.295,0.6666666666666666,0.7206616720259216
2,25.0,0.0,0.0,0.125,0.0,0.07,0.225,0.6666666666666666,0.7211965840626596
2,26.0,0.0,0.0,0.125,0.0,0.13,0.31,0.6666666666666666,0.721391591471506
2,27.0,0.0,0.0,0.125,0.0,0.15,0.33,0.6666666666666666,0.7214154051417071
2,28.0,0.0,0.0,0.125,0.0,0.14,0.33,0.6666666666666666,0.7214266001019998
2,29.0,0.0,0.0,0.25,0.875,0.14,0.35,0.9666666666666668,0.7214775503205852
2,30.0,0.0,0.0,0.25,0.0,0.12,0.29,0.9666666666666668,0.721512819607153
2,30.0,0.0,0.0,0.25,0.0,0.12,0.29,0.9666666666666668,0.721512819607153
3,1.0,0.0,0.0,0.0,0.0,0.22,0.5,0.0333333333333333,0.6725493797664408
3,2.0,0.375,0.625,0.375,1.0,0.19,0.265,0.0666666666666666,0.6872115175702687
3,3.0,0.375,0.625,0.375,0.0,0.16,0.31,0.0666666666666666,0.6961651296723075
3,4.0,0.375,0.625,0.375,0.0,0.21,0.325,0.0666666666666666,0.6979373421123587
3,5.0,0.375,0.625,0.375,0.0,0.14,0.325,0.0666666666666666,0.6986643102865047
3,6.0,0.375,0.625,0.375,0.0,0.15,0.33,0.0666666666666666,0.6997934493481617
3,7.0,0.25,0.625,0.125,0.875,0.19,0.25,0.2333333333333333,0.7048106899847215
3,8.0,0.375,0.5,0.25,0.75,0.14,0.32,0.2666666666666666,0.706829825285697
3,9.0,0.375,0.5,0.25,0.0,0.17,0.335,0.2666666666666666,0.7072027223160366
3,10.0,0.375,0.5,0.25,0.0,0.09,0.365,0.2666666666666666,0.7082108080019227
3,11.0,0.0,0.0,0.25,0.75,0.2,0.31,0.3666666666666666,0.7085634989465674
3,12.0,0.125,0.75,0.25,0.875,0.16,0.33,0.4,0.7170260300991302
3,13.0,0.125,0.75,0.25,0.0,0.14,0.255,0.4,0.7170588396541737
3,14.0,0.125,0.75,0.25,0.0,0.1,0.25,0.4,0.717290238142366
3,15.0,0.125,0.75,0.25,0.0,0.09,0.26,0.4,0.7181738964043181
3,16.0,0.125,0.75,0.25,0.0,0.18,0.28,0.4,0.7182121391208458
3,17.0,0.125,0.75,0.25,0.0,0.15,0.295,0.4,0.7182591556156711
3,18.0,0.125,0.75,0.25,0.0,0.16,0.335,0.4,0.7189169891675101
3,19.0,0.125,0.75,0.25,0.0,0.12,0.29,0.4,0.7190560022327157
3,20.0,0.125,0.75,0.25,0.0,0.13,0.32,0.4,0.7191083992306502
3,21.0,0.125,0.75,0.25,0.0,0.12,0.32,0.4,0.719440094563404
