Execution,Generation,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,1.0,0.375,0.5,0.0,0.0,0.24,0.0,0.0333333333333333,0.6835648725513124
1,2.0,0.25,0.75,0.0,0.25,0.2,0.0,0.0666666666666666,0.6889398374080589
1,3.0,0.25,0.75,0.0,0.0,0.2,0.0,0.0666666666666666,0.6989636301769548
1,4.0,0.25,0.75,0.0,0.0,0.17,0.0,0.0666666666666666,0.7035992994958791
1,5.0,0.125,0.875,0.0,0.125,0.16,0.0,0.1666666666666666,0.7058402839768625
1,6.0,0.375,0.5,0.0,0.375,0.16,0.0,0.2,0.7098455960879392
1,7.0,0.625,0.125,0.0,0.875,0.19,0.0,0.2333333333333333,0.7138239711364909
1,8.0,0.625,0.125,0.0,0.0,0.12,0.0,0.2333333333333333,0.7143277120287583
1,9.0,0.625,0.125,0.0,0.0,0.18,0.0,0.2333333333333333,0.7147937357038884
1,10.0,0.625,0.125,0.0,0.0,0.07,0.0,0.2333333333333333,0.7149129640551783
1,11.0,0.375,0.125,0.0,0.125,0.06,0.0,0.3666666666666666,0.7164244335168551
1,12.0,0.375,0.5,0.0,0.25,0.15,0.0,0.4,0.7167416864726291
1,13.0,0.375,0.5,0.0,0.0,0.12,0.0,0.4,0.716778770635651
1,14.0,0.375,0.5,0.0,0.0,0.09,0.0,0.4,0.7168064143052211
1,15.0,0.375,0.5,0.0,0.0,0.13,0.0,0.4,0.7169301218125025
1,16.0,0.375,0.5,0.0,0.0,0.12,0.0,0.4,0.7173685532398324
1,17.0,0.375,0.5,0.0,0.0,0.1,0.0,0.4,0.7173648038577488
1,18.0,0.375,0.5,0.0,0.0,0.12,0.0,0.4,0.7173634688881355
1,19.0,0.5,0.25,0.0,0.25,0.11,0.0,0.6333333333333333,0.7194411664350879
1,20.0,0.5,0.25,0.0,0.0,0.11,0.0,0.6333333333333333,0.719435472599588
1,21.0,0.625,0.125,0.0,0.125,0.11,0.0,0.7,0.7200582202522005
1,22.0,0.625,0.125,0.0,0.0,0.08,0.0,0.7,0.7200841214166435
1,23.0,0.625,0.125,0.0,0.0,0.14,0.0,0.7,0.7201159291653696
1,24.0,0.625,0.125,0.0,0.0,0.08,0.0,0.7,0.7201141242873221
1,25.0,0.625,0.125,0.0,0.0,0.15,0.0,0.7,0.7201130679014591
1,26.0,0.625,0.125,0.0,0.0,0.04,0.0,0.7,0.720100729338614
1,27.0,0.625,0.125,0.0,0.0,0.05,0.0,0.7,0.7200857160180654
1,28.0,0.625,0.125,0.0,0.0,0.12,0.0,0.7,0.7201049849539388
1,29.0,0.625,0.125,0.0,0.0,0.06,0.0,0.7,0.7201082760960908
1,30.0,0.625,0.125,0.0,0.0,0.08,0.0,0.7,0.7201231556257908
1,30.0,0.625,0.125,0.0,0.0,0.08,0.0,0.7,0.7201231556257908
2,1.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0333333333333333,0.6768508352517661
2,2.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0333333333333333,0.6864072817365194
2,3.0,0.625,0.25,0.0,0.875,0.17,0.0,0.1,0.6919976483359598
2,4.0,0.375,0.5,0.0,0.5,0.14,0.0,0.1333333333333333,0.7049218835127801
2,5.0,0.375,0.5,0.0,0.0,0.15,0.0,0.1333333333333333,0.7062954841033666
2,6.0,0.375,0.5,0.0,0.0,0.09,0.0,0.1333333333333333,0.7066182008507738
2,7.0,0.375,0.125,0.0,0.25,0.11,0.0,0.2333333333333333,0.7143335674158883
2,8.0,0.375,0.125,0.0,0.0,0.1,0.0,0.2333333333333333,0.7146749683312912
2,9.0,0.375,0.125,0.0,0.0,0.15,0.0,0.2333333333333333,0.7150979576857847
2,10.0,0.125,0.625,0.0,0.125,0.11,0.0,0.3333333333333333,0.7164663410999081
2,11.0,0.125,0.625,0.0,0.0,0.09,0.0,0.3333333333333333,0.716568150769994
2,12.0,0.25,0.625,0.0,0.25,0.06,0.0,0.4,0.7181179773193281
2,13.0,0.25,0.625,0.0,0.0,0.07,0.0,0.4,0.7183163235199308
2,14.0,0.25,0.625,0.0,0.0,0.08,0.0,0.4,0.7183411537301494
2,15.0,0.25,0.625,0.0,0.0,0.13,0.0,0.4,0.7183894990103821
