Execution,Accuracy,FLOPs,Num_Params
1,0.7128735094810459,1055018496.0,4672036.0
2,0.7097532406312244,1105810944.0,4033316.0
3,0.7173216809994357,918993920.0,4468260.0
4,0.7169309170692691,1330531328.0,5881636.0
5,0.7181409936118227,3592908800.0,5980708.0
6,0.7114809220145569,2535891968.0,3460516.0
7,0.7161926679498964,1099535360.0,6515364.0
8,0.7113590769324183,1075819520.0,6349220.0
9,0.7111634179998348,2400052736.0,3611044.0
10,0.7138934529789753,1005456896.0,3511204.0
11,0.7120705694776437,910562304.0,3155236.0
12,0.7156338259132244,2008093696.0,4741284.0
13,0.7101919880264663,1338152960.0,5610148.0
14,0.7122768041561498,1227334144.0,3802788.0
15,0.714272035061849,5185481216.0,5517988.0
16,0.717954321171981,1385117696.0,3850660.0
17,0.7189020797763338,1916193792.0,5667876.0
18,0.7198454366809733,1511280128.0,5131684.0
19,0.7097362064872523,843085312.0,2168868.0
20,0.7120600131462492,2474869760.0,5238436.0
21,0.7143661985655253,1169724928.0,3737252.0
22,0.7146050127398359,1650658304.0,5650212.0
23,0.7107131785576052,704969216.0,2445988.0
24,0.7128354510232033,1309774336.0,3558692.0
25,0.7242047314426343,2973952000.0,5552548.0
26,0.7076126338782542,938393600.0,3905572.0
27,0.7123167418753572,1064438272.0,2999460.0
28,0.7146679813810548,949057536.0,5076900.0
29,0.712817147249165,1112780288.0,4672420.0
30,0.7127873764365441,867530752.0,3435300.0
Mean,0.7139659870905262,1588715673.6,4480087.2
Std,0.003491352367360286,957782479.0551056,1149956.0228365373
