Execution,Accuracy,FLOPs,Num_Params
1,0.7198230235794488,7877362688.0,8685220.0
2,0.7191223312838387,1365476352.0,6095908.0
3,0.7208477803863095,2587277312.0,4914340.0
4,0.7144202278071075,1100398592.0,3173668.0
5,0.7157365299491774,1790920192.0,6932388.0
6,0.7186814461492352,1193547776.0,4197284.0
7,0.7102745891579971,1091049984.0,4211364.0
8,0.7142900530507016,1223560704.0,4306212.0
9,0.7068840305599515,1115909120.0,2018980.0
10,0.7194122267843014,3486813184.0,9404708.0
11,0.7153800379065692,1403591168.0,4970404.0
12,0.717086045065186,953866240.0,4226340.0
13,0.7188913810742118,1394088960.0,5526180.0
14,0.7076293304680172,482585088.0,1487140.0
15,0.7185261743419157,1657866752.0,4860964.0
16,0.7126929128455801,4638447616.0,6074916.0
17,0.7102228831261304,1539379712.0,4648228.0
18,0.7134425561446518,1053192192.0,3817636.0
19,0.7108815988858567,895383040.0,3535524.0
20,0.7081563024334394,1383465472.0,4232868.0
21,0.717694824855272,1906807808.0,6572068.0
22,0.7159439157262032,1105272832.0,5014308.0
23,0.7202988114413622,994663424.0,3986852.0
24,0.7111406821096756,1098076672.0,4000164.0
25,0.7188690773454731,2812092416.0,6723364.0
26,0.7167715072415382,1176322048.0,3689892.0
27,0.7110551588562883,846752768.0,2283428.0
28,0.7134860960493186,1160991744.0,3472548.0
29,0.718278897840266,8144256000.0,7956132.0
30,0.7079767759242319,4020451328.0,4369316.0
Mean,0.714797240279642,2049995639.4666667,4846278.133333334
Std,0.004178315692477479,1851909414.2207577,1806147.7927448377
