Execution,Accuracy,FLOPs,Num_Params
1,0.7111185371118279,1247243264.0,3745700.0
2,0.7168229814676799,1272107008.0,4354724.0
3,0.7109622842211947,4266838016.0,6141220.0
4,0.7142359384163545,2190419968.0,6719012.0
5,0.7190267693282348,1855043584.0,4018724.0
6,0.7128060951186462,1616128000.0,5186724.0
7,0.7136677046507636,793177088.0,2293540.0
8,0.7181170364182817,3760154112.0,9290532.0
9,0.7101514975189994,1197254656.0,4322084.0
10,0.7141324419855776,657136640.0,3167396.0
11,0.7146477769294288,1298311680.0,5372068.0
12,0.7143907811954575,1135720448.0,4266916.0
13,0.7116975384041528,1534622208.0,3175844.0
14,0.7173901686621622,1447843840.0,5212964.0
15,0.7107607536621988,1138876928.0,3526948.0
16,0.7151380626841414,1593153536.0,5228324.0
17,0.7168135242450919,798668800.0,4568868.0
18,0.7098462621492068,944992768.0,2605220.0
19,0.7174443960001038,1553253376.0,4667300.0
20,0.7135126894215613,1712608256.0,6194084.0
21,0.7078268091294948,1036602368.0,3636388.0
22,0.7204415813181937,1654765568.0,5064996.0
23,0.7128700397603348,2180635648.0,4255652.0
24,0.7121170483910766,3735141376.0,8715940.0
25,0.7169363961456513,3398748160.0,7604516.0
26,0.7159459776549312,1355798528.0,4681636.0
27,0.7162560781180962,1751198720.0,7549732.0
28,0.7164937228245434,1610665984.0,5682084.0
29,0.7115956748787273,1677051904.0,5372708.0
30,0.7088269473529459,1874719744.0,3767204.0
Mean,0.7140664505055021,1742962739.2,5012968.266666667
Std,0.0031150972109067294,889976744.0710584,1655851.6663739928
