Execution,Accuracy,FLOPs,Num_Params
1,0.704320947601972,1111637504.0,3692708.0
2,0.700612883039009,2235275264.0,4438436.0
3,0.7013721852555913,2266875904.0,6947364.0
4,0.7051958866205553,3488476160.0,8929956.0
5,0.7058670021265714,3295032320.0,9149860.0
6,0.7019405167861845,1322855424.0,2129444.0
7,0.7018807865894178,1654922240.0,4400932.0
8,0.6992107983867729,12156758016.0,9324324.0
9,0.7010745222257637,8618777600.0,9158052.0
10,0.6972195126562513,2422745088.0,4285476.0
11,0.7052206881596244,2344557568.0,8387364.0
12,0.702775282336428,2131010560.0,7759524.0
13,0.7058864982800117,1870237696.0,5893668.0
14,0.7010909117612656,1650469376.0,5478308.0
15,0.7031241605028999,2325771776.0,6116772.0
16,0.6978772547352488,2860710656.0,5161892.0
17,0.7018676068259265,2789743616.0,8867620.0
18,0.7021019631118011,3519348480.0,6630052.0
19,0.6993120125367337,7686775808.0,10977316.0
20,0.7014728848360716,4387840000.0,9397028.0
21,0.7009514927061974,1191453696.0,3922852.0
22,0.706080000337998,3256242176.0,6370340.0
23,0.697082604862623,3421251072.0,6444964.0
24,0.7062739249548204,2373159680.0,4888996.0
25,0.7019464121027639,1809536512.0,5646116.0
26,0.6990036667791092,6530335744.0,8252580.0
27,0.7049098131295428,1919694848.0,5184164.0
28,0.7019681342734256,4114267648.0,5997348.0
29,0.699695956890656,3536726528.0,5787044.0
30,0.7035956147914117,1807696896.0,7116580.0
Mean,0.7020310641734216,3336672861.866667,6557902.666666667
Std,0.002598358258678281,2400370996.2720633,2058317.4643686905
