Execution,Accuracy,FLOPs,Num_Params
1,0.7110079995072506,5912942592.0,7641252.0
2,0.7183798077498318,2855595008.0,7469860.0
3,0.7146871536227828,1950623744.0,5602084.0
4,0.7139127560221353,1646516224.0,5373092.0
5,0.7140484580509889,7601730560.0,10406308.0
6,0.710369799559088,5823419392.0,8767140.0
7,0.7156755160567774,2257612800.0,6643492.0
8,0.7137953034388287,1843372032.0,6815652.0
9,0.71392401573873,3269755904.0,5644196.0
10,0.7133135172033679,1874015232.0,3653284.0
11,0.7103893875532993,1453493248.0,5294756.0
12,0.7125962957022683,928577536.0,3635108.0
13,0.7121979131717107,2587842560.0,6792740.0
14,0.7110456405244189,2730904064.0,7179940.0
15,0.7103345433999905,1997991936.0,5923492.0
16,0.7127807121899714,780508160.0,4489508.0
17,0.7086554704509505,1069675008.0,4984228.0
18,0.7056303286296484,3075348480.0,5542948.0
19,0.7116779883794844,2459018752.0,4703396.0
20,0.7138385191739441,2091838464.0,5352996.0
21,0.7127711080347554,3723453440.0,8411812.0
22,0.7072732395306762,1190561792.0,4861220.0
23,0.7128926769788773,1820505088.0,4973348.0
24,0.7118365565094497,2399185920.0,6803620.0
25,0.7088433262848839,1207686144.0,4491172.0
26,0.7185630615137788,1636651008.0,5449252.0
27,0.7122117170357245,3142130688.0,5875492.0
28,0.7146964733843643,1827674112.0,6422820.0
29,0.7134951981342498,3601306624.0,9024036.0
30,0.7068299357163741,1742437888.0,4645028.0
Mean,0.7122558139749536,2550079146.6666665,6095775.733333333
Std,0.002916737634244629,1521030285.8134866,1583488.7758300223
