Execution,Accuracy,FLOPs,Num_Params
1,0.7075356687156796,860573184.0,5113636.0
2,0.7154592870489594,1596183552.0,7123108.0
3,0.7043007193013454,542847488.0,2179748.0
4,0.7133089687458168,1813882880.0,4654372.0
5,0.7056562583632036,1013863424.0,3142820.0
6,0.7086769886104812,1059749888.0,4347044.0
7,0.7115452182737546,2924829696.0,7057188.0
8,0.7040650791632354,759496704.0,2889636.0
9,0.7085249972659573,593654272.0,2388900.0
10,0.7178552135518953,6102217728.0,8915364.0
11,0.7097158532843497,1315587072.0,5522596.0
12,0.7064545764423608,625909760.0,3415844.0
13,0.701957702861292,824385536.0,2572580.0
14,0.708209712117854,812725760.0,2268836.0
15,0.7137849306131765,900928512.0,4928164.0
16,0.715695122832861,1405665280.0,4910884.0
17,0.7099394757016471,1062252032.0,5151780.0
18,0.7091984240922523,1364937216.0,2591908.0
19,0.7148977180378939,1928525824.0,5108900.0
20,0.7048677958134786,1027221504.0,2413988.0
21,0.7127161919999341,1256493056.0,4386596.0
22,0.7151127308176755,1436582912.0,2832164.0
23,0.7119793210580226,1199681024.0,3719204.0
24,0.7107935719662725,1377652224.0,5445028.0
25,0.7135582146869444,1600891904.0,5709476.0
26,0.7121021495156538,1500270080.0,4910116.0
27,0.701649382896901,1233408000.0,2513572.0
28,0.707121587202493,753598464.0,4425892.0
29,0.7055599398671313,989777920.0,3123108.0
30,0.7109311863111144,844366848.0,4765220.0
Mean,0.7097724662386546,1357605324.8,4284255.733333333
Std,0.0042106074341227975,1000727582.5406448,1613673.3133485422
