Execution,Accuracy,FLOPs,Num_Params
1,0.7109801697287942,845991424.0,4345508.0
2,0.716388978727464,1703317504.0,4166436.0
3,0.7110666661190235,1557118464.0,2791076.0
4,0.7103774635457717,1295539200.0,4067620.0
5,0.7160351466274608,1366497280.0,3895716.0
6,0.7151453158899953,2977252864.0,6141092.0
7,0.713410496135907,1417408000.0,4441764.0
8,0.7139625524868801,1015504896.0,2580388.0
9,0.7112950885929696,819730944.0,3255204.0
10,0.7137077403264145,2182190080.0,3691556.0
11,0.7120962332767191,1019161600.0,5007012.0
12,0.7117612223137253,1186060288.0,2863908.0
13,0.7124379979889758,1773607936.0,5303460.0
14,0.7156116362805569,1408964608.0,4135844.0
15,0.7108407322289606,1205292544.0,3416484.0
16,0.7071460961549426,1026715648.0,2357924.0
17,0.7107170151128203,1473940992.0,5548068.0
18,0.7098436043290429,1917501440.0,5544868.0
19,0.7108471275327272,745102336.0,4051620.0
20,0.7126956129142851,1231326208.0,4208164.0
21,0.7100731029550744,5372434944.0,4991012.0
22,0.7151170401562842,3005938688.0,4504228.0
23,0.7143679236742667,945978368.0,2851620.0
24,0.701341209853642,649374720.0,2632228.0
25,0.7151082206085005,7669962240.0,6062244.0
26,0.7138802659479047,1254120448.0,3275556.0
27,0.721082777988462,1383222272.0,7444388.0
28,0.7092293625096703,1550259200.0,4094756.0
29,0.7084914914234685,689175552.0,4139940.0
30,0.716374722020397,1079119872.0,2941988.0
Mean,0.7123811004483702,1725593685.3333333,4158389.066666667
Std,0.0035055113794551303,1427955470.3542778,1189112.075516712
