Execution,Accuracy,FLOPs,Num_Params
1,0.7144263057245869,1270986240.0,3167140.0
2,0.7117698734982753,1722432512.0,5716388.0
3,0.7022923867171129,1117935616.0,2915876.0
4,0.7129755358605545,2511383552.0,9701156.0
5,0.7044109888985158,1020448256.0,2854052.0
6,0.7115912474768267,1519330816.0,6223268.0
7,0.7115471040266559,3563060224.0,7996196.0
8,0.7074046483965549,646020096.0,5562276.0
9,0.7123863498520128,1775716352.0,5257892.0
10,0.7115634697093132,1768211968.0,3824676.0
11,0.7122777378628972,1745005568.0,6278692.0
12,0.6994217865040212,1223268864.0,3763748.0
13,0.7154025832825094,1857581056.0,7435812.0
14,0.6984816376490259,694158848.0,1629476.0
15,0.7097722388118427,1985489408.0,4947236.0
16,0.7129335674481577,2461842432.0,5157412.0
17,0.7116480646787129,1901373440.0,6303140.0
18,0.7077743258216013,1649454592.0,3684388.0
19,0.7080407756866559,2302192640.0,7556132.0
20,0.7058007757225407,1975630848.0,6606372.0
21,0.6932115529818824,638998016.0,2139812.0
22,0.7076265199934264,1210667520.0,3563044.0
23,0.6907028228442746,808692736.0,2776356.0
24,0.7096689396920306,1177638912.0,5710756.0
25,0.7005877239934242,1033387520.0,2577188.0
26,0.7083353627996825,1071556608.0,4349732.0
27,0.7053508442702987,2096478208.0,5589284.0
28,0.7093250719324945,1474098688.0,3038244.0
29,0.710046776793601,1461153280.0,4246308.0
30,0.6992478756475647,1083857920.0,3363236.0
Mean,0.7072008298192353,1558935091.2,4797842.933333334
Std,0.006090232598019225,632391026.8916318,1900810.8765881108
