ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by
BFXMUS,0,1,1,1,0.0333333333333333,False,False,"[61, 24, 18, 47, 61, 62, 7, 55]","['100011', '010100', '011011', '111000', '100011', '100001', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.696581484854844,,,,4109362688,8943140,,,,,,,0.6813607829875282,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,26,81,100,200,0.26,0.405,BEST,False,False,1055,True,True,MARKOVCOMBINED,TPC_MBFLIP, 
BFXMUS,0,1,2,1,0.0666666666666666,False,False,"[61, 24, 18, 47, 61, 62, 7, 55]","['100011', '010100', '011011', '111000', '100011', '100001', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.696581484854844,,,,4109362688,8943140,,,,,,,0.6827985240576008,0.0014377410700725,0.0,0.0,0.0,0.0,0.0333333333333333,0,34,0,100,0.0,0.34,BEST,False,False,1055,True,True,MARKOVCOMBINED,NONE_MBFLIP, 
BFXMUS,0,1,3,1,0.1,False,False,"[61, 24, 18, 47, 61, 62, 7, 55]","['100011', '010100', '011011', '111000', '100011', '100001', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.696581484854844,,,,4109362688,8943140,,,,,,,0.6910789537032371,0.0082804296456363,0.0,0.0,0.0,0.0,0.0333333333333333,18,59,100,200,0.18,0.295,BEST,False,False,1055,True,True,MARKOVCOMBINED,TPC_MBFLIP, 
BFXMUS,0,1,4,1,0.1333333333333333,False,False,"[61, 24, 18, 47, 61, 62, 7, 55]","['100011', '010100', '011011', '111000', '100011', '100001', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.696581484854844,,,,4109362688,8943140,,,,,,,0.6920036247618997,0.0009246710586625,0.0,0.0,0.0,0.0,0.0333333333333333,0,38,0,100,0.0,0.38,BEST,False,False,1055,True,True,MARKOVCOMBINED,NONE_MBFLIP, 
BFXMUS,0,1,5,1,0.1666666666666666,False,False,"[61, 24, 18, 47, 61, 62, 7, 55]","['100011', '010100', '011011', '111000', '100011', '100001', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.696581484854844,,,,4109362688,8943140,,,,,,,0.6940260178100683,0.0020223930481686,0.0,0.0,0.0,0.0,0.0333333333333333,14,77,100,200,0.14,0.385,BEST,False,False,1055,True,True,MARKOVCOMBINED,SPC_MBFLIP, 
BKEWUJ[M][M][M][M],0,1,6,6,0.2,True,True,"[16, 46, 21, 38, 39, 21, 55, 12]","['011000', '111001', '011111', '110101', '110100', '011111', '101100', '001010']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6986457189357161,,,,1599760384,4912676,,,,,,"[16, 17, 21, 33, 7, 21, 55, 15]",0.6967631267506911,0.0027371089406227,0.0,0.0,0.5,1.0,0.2,20,77,100,200,0.2,0.385,BEST,False,False,989,True,True,MARKOVCOMBINED,TPC_MBFLIP, 
BKEWUJ[M][M][M][M],0,1,7,6,0.2333333333333333,True,True,"[16, 46, 21, 38, 39, 21, 55, 12]","['011000', '111001', '011111', '110101', '110100', '011111', '101100', '001010']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6986457189357161,,,,1599760384,4912676,,,,,,"[16, 17, 21, 33, 7, 21, 55, 15]",0.7007841788434815,0.0040210520927904,0.0,0.0,0.5,0.0,0.2,20,0,100,0,0.2,0.0,BEST,False,False,989,True,True,MARKOVCOMBINED,TPC_NONE, 
BJARQM,0,1,8,8,0.2666666666666666,True,False,"[16, 46, 21, 38, 39, 21, 55, 15]","['011000', '111001', '011111', '110101', '110100', '011111', '101100', '001000']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7026211095182778,,,,1605178880,5093924,,,,,,,0.7059318121484599,0.0051476333049783,0.625,0.125,0.0,0.125,0.2666666666666666,15,0,100,0,0.15,0.0,BEST,False,False,826,True,True,MARKOVCOMBINED,SPC_NONE, 
BJARQM,0,1,9,8,0.3,True,False,"[16, 46, 21, 38, 39, 21, 55, 15]","['011000', '111001', '011111', '110101', '110100', '011111', '101100', '001000']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7026211095182778,,,,1605178880,5093924,,,,,,,0.7066698266891984,0.0007380145407385,0.625,0.125,0.0,0.0,0.2666666666666666,0,21,0,100,0.0,0.21,BEST,False,False,826,True,True,MARKOVCOMBINED,NONE_MBFLIP, 
BJARQM,0,1,10,8,0.3333333333333333,True,False,"[16, 46, 21, 38, 39, 21, 55, 15]","['011000', '111001', '011111', '110101', '110100', '011111', '101100', '001000']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7026211095182778,,,,1605178880,5093924,,,,,,,0.7069633936534325,0.0002935669642341,0.625,0.125,0.0,0.0,0.2666666666666666,0,21,0,100,0.0,0.21,BEST,False,False,826,True,True,MARKOVCOMBINED,NONE_MBFLIP, 
