ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by
BFXMUS,0,1,1,1,0.0333333333333333,False,False,"[61, 24, 18, 47, 61, 62, 7, 55]","['100011', '010100', '011011', '111000', '100011', '100001', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.696581484854844,,,,4109362688,8943140,,,,,,,0.6813607829875282,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,26,81,100,200,0.26,0.405,BEST,False,False,1055,True,True,MARKOVHV,TPC_MBFLIP, 
BFXMUS,0,1,2,1,0.0666666666666666,False,False,"[61, 24, 18, 47, 61, 62, 7, 55]","['100011', '010100', '011011', '111000', '100011', '100001', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.696581484854844,,,,4109362688,8943140,,,,,,,0.6868167903816386,0.0054560073941103,0.0,0.0,0.0,0.0,0.0333333333333333,13,79,100,200,0.13,0.395,BEST,False,False,1055,True,True,MARKOVHV,SPC_MBFLIP, 
BFXMUS,0,1,3,1,0.1,False,False,"[61, 24, 18, 47, 61, 62, 7, 55]","['100011', '010100', '011011', '111000', '100011', '100001', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.696581484854844,,,,4109362688,8943140,,,,,,,0.6901179165320837,0.003301126150445,0.0,0.0,0.0,0.0,0.0333333333333333,0,35,0,100,0.0,0.35,BEST,False,False,1055,True,True,MARKOVHV,NONE_MBFLIP, 
BFXMUS,0,1,4,1,0.1333333333333333,False,False,"[61, 24, 18, 47, 61, 62, 7, 55]","['100011', '010100', '011011', '111000', '100011', '100001', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.696581484854844,,,,4109362688,8943140,,,,,,,0.6904417097166128,0.0003237931845291,0.0,0.0,0.0,0.0,0.0333333333333333,0,22,0,100,0.0,0.22,BEST,False,False,1055,True,True,MARKOVHV,NONE_MBFLIP, 
BVFTBO[M],0,1,5,5,0.1666666666666666,True,True,"[61, 58, 14, 30, 46, 39, 7, 55]","['100011', '100111', '001001', '010001', '111001', '110100', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.702485754028263,,,,5220115968,7651620,,,,,,"[61, 59, 14, 31, 46, 39, 7, 55]",0.6952604449400287,0.0048187352234159,0.75,0.25,0.25,0.625,0.1666666666666666,18,70,100,200,0.18,0.35,BEST,False,False,835,True,True,MARKOVHV,TPC_MBFLIP, 
BVFTBO[M],0,1,6,5,0.2,True,True,"[61, 58, 14, 30, 46, 39, 7, 55]","['100011', '100111', '001001', '010001', '111001', '110100', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.702485754028263,,,,5220115968,7651620,,,,,,"[61, 59, 14, 31, 46, 39, 7, 55]",0.6990725895952942,0.0038121446552654,0.75,0.25,0.25,0.0,0.1666666666666666,14,0,100,0,0.14,0.0,BEST,False,False,835,True,True,MARKOVHV,TPC_NONE, 
BVFTBO[M],0,1,7,5,0.2333333333333333,True,True,"[61, 58, 14, 30, 46, 39, 7, 55]","['100011', '100111', '001001', '010001', '111001', '110100', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.702485754028263,,,,5220115968,7651620,,,,,,"[61, 59, 14, 31, 46, 39, 7, 55]",0.7028763096724184,0.0038037200771242,0.75,0.25,0.25,0.0,0.1666666666666666,19,58,100,200,0.19,0.29,BEST,False,False,835,True,True,MARKOVHV,TPC_MBFLIP, 
BNVWJI[M],0,1,8,8,0.2666666666666666,True,True,"[18, 37, 62, 31, 46, 38, 7, 55]","['011011', '110111', '100001', '010000', '111001', '110101', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7055830142115526,,,,2588149248,7034788,,,,,,"[18, 58, 62, 31, 46, 39, 7, 55]",0.7058884918011534,0.0030121821287349,0.125,0.875,0.25,0.625,0.2666666666666666,15,64,100,200,0.15,0.32,BEST,False,False,654,True,True,MARKOVHV,SPC_MBFLIP, 
BNVWJI[M],0,1,9,8,0.3,True,True,"[18, 37, 62, 31, 46, 38, 7, 55]","['011011', '110111', '100001', '010000', '111001', '110101', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7055830142115526,,,,2588149248,7034788,,,,,,"[18, 58, 62, 31, 46, 39, 7, 55]",0.7066113017909657,0.0007228099898122,0.125,0.875,0.25,0.0,0.2666666666666666,12,66,100,200,0.12,0.33,BEST,False,False,654,True,True,MARKOVHV,SPC_MBFLIP, 
BNVWJI[M],0,1,10,8,0.3333333333333333,True,True,"[18, 37, 62, 31, 46, 38, 7, 55]","['011011', '110111', '100001', '010000', '111001', '110101', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7055830142115526,,,,2588149248,7034788,,,,,,"[18, 58, 62, 31, 46, 39, 7, 55]",0.7105956306819082,0.0039843288909425,0.125,0.875,0.25,0.0,0.2666666666666666,14,0,100,0,0.14,0.0,BEST,False,False,654,True,True,MARKOVHV,TPC_NONE, 
