ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by
BFXMUS,0,1,1,1,0.0333333333333333,False,False,"[61, 24, 18, 47, 61, 62, 7, 55]","['100011', '010100', '011011', '111000', '100011', '100001', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.696581484854844,,,,4109362688,8943140,,,,,,,0.6813607829875282,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,26,81,100,200,0.26,0.405,BEST,False,False,1055,True,True,MARKOVMUT,TPC_MBFLIP, 
BFXMUS,0,1,2,1,0.0666666666666666,False,False,"[61, 24, 18, 47, 61, 62, 7, 55]","['100011', '010100', '011011', '111000', '100011', '100001', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.696581484854844,,,,4109362688,8943140,,,,,,,0.6827985240576008,0.0014377410700725,0.0,0.0,0.0,0.0,0.0333333333333333,0,34,0,100,0.0,0.34,BEST,False,False,1055,True,True,MARKOVMUT,NONE_MBFLIP, 
BFXMUS,0,1,3,1,0.1,False,False,"[61, 24, 18, 47, 61, 62, 7, 55]","['100011', '010100', '011011', '111000', '100011', '100001', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.696581484854844,,,,4109362688,8943140,,,,,,,0.6910789537032371,0.0082804296456363,0.0,0.0,0.0,0.0,0.0333333333333333,18,59,100,200,0.18,0.295,BEST,False,False,1055,True,True,MARKOVMUT,TPC_MBFLIP, 
BFXMUS,0,1,4,1,0.1333333333333333,False,False,"[61, 24, 18, 47, 61, 62, 7, 55]","['100011', '010100', '011011', '111000', '100011', '100001', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.696581484854844,,,,4109362688,8943140,,,,,,,0.6920036247618997,0.0009246710586625,0.0,0.0,0.0,0.0,0.0333333333333333,0,38,0,100,0.0,0.38,BEST,False,False,1055,True,True,MARKOVMUT,NONE_MBFLIP, 
BFXMUS,0,1,5,1,0.1666666666666666,False,False,"[61, 24, 18, 47, 61, 62, 7, 55]","['100011', '010100', '011011', '111000', '100011', '100001', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.696581484854844,,,,4109362688,8943140,,,,,,,0.6940260178100683,0.0020223930481686,0.0,0.0,0.0,0.0,0.0333333333333333,14,77,100,200,0.14,0.385,BEST,False,False,1055,True,True,MARKOVMUT,SPC_MBFLIP, 
BKEWUJ[M][M][M][M],0,1,6,6,0.2,True,True,"[16, 46, 21, 38, 39, 21, 55, 12]","['011000', '111001', '011111', '110101', '110100', '011111', '101100', '001010']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6986457189357161,,,,1599760384,4912676,,,,,,"[16, 17, 21, 33, 7, 21, 55, 15]",0.6967631267506911,0.0027371089406227,0.0,0.0,0.5,1.0,0.2,20,77,100,200,0.2,0.385,BEST,False,False,989,True,True,MARKOVMUT,TPC_MBFLIP, 
BKEWUJ[M][M][M][M],0,1,7,6,0.2333333333333333,True,True,"[16, 46, 21, 38, 39, 21, 55, 12]","['011000', '111001', '011111', '110101', '110100', '011111', '101100', '001010']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6986457189357161,,,,1599760384,4912676,,,,,,"[16, 17, 21, 33, 7, 21, 55, 15]",0.7004752529639016,0.0037121262132104,0.0,0.0,0.5,0.0,0.2,20,68,100,200,0.2,0.34,BEST,False,False,989,True,True,MARKOVMUT,TPC_MBFLIP, 
BZLLEA[M],0,1,8,8,0.2666666666666666,True,True,"[8, 2, 52, 23, 46, 4, 28, 55]","['001100', '000011', '101110', '011100', '111001', '000110', '010010', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7036401662585754,,,,888295424,4486436,,,,,,"[8, 2, 43, 23, 46, 4, 28, 52]",0.7089183680954082,0.0084431151315066,0.25,0.75,0.25,1.0,0.2666666666666666,18,63,100,200,0.18,0.315,BEST,False,False,778,True,True,MARKOVMUT,SPC_MBFLIP, 
BZLLEA[M],0,1,9,8,0.3,True,True,"[8, 2, 52, 23, 46, 4, 28, 55]","['001100', '000011', '101110', '011100', '111001', '000110', '010010', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7036401662585754,,,,888295424,4486436,,,,,,"[8, 2, 43, 23, 46, 4, 28, 52]",0.7089315816069311,1.321351152294703e-05,0.25,0.75,0.25,0.0,0.2666666666666666,0,28,0,100,0.0,0.28,BEST,False,False,778,True,True,MARKOVMUT,NONE_MBFLIP, 
BZLLEA[M],0,1,10,8,0.3333333333333333,True,True,"[8, 2, 52, 23, 46, 4, 28, 55]","['001100', '000011', '101110', '011100', '111001', '000110', '010010', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7036401662585754,,,,888295424,4486436,,,,,,"[8, 2, 43, 23, 46, 4, 28, 52]",0.7092473161784867,0.0003157345715555,0.25,0.75,0.25,0.0,0.2666666666666666,12,54,100,200,0.12,0.27,BEST,False,False,778,True,True,MARKOVMUT,SPC_MBFLIP, 
