ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by
BFXMUS,0,1,1,1,0.0333333333333333,False,False,"[61, 24, 18, 47, 61, 62, 7, 55]","['100011', '010100', '011011', '111000', '100011', '100001', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",TPC,MBFLIP,,,,,0.696581484854844,,,,4109362688,8943140,,,,,,,0.6816327304786005,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,25,81,100,200,0.25,0.405,BEST,False,False,181,True,False,,TPC_MBFLIP, 
BFXMUS,0,1,2,1,0.0666666666666666,False,False,"[61, 24, 18, 47, 61, 62, 7, 55]","['100011', '010100', '011011', '111000', '100011', '100001', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",TPC,MBFLIP,,,,,0.696581484854844,,,,4109362688,8943140,,,,,,,0.6869400906225747,0.0053073601439741,0.0,0.0,0.0,0.0,0.0333333333333333,24,62,100,200,0.24,0.31,BEST,False,False,181,True,False,,TPC_MBFLIP, 
BFXMUS,0,1,3,1,0.1,False,False,"[61, 24, 18, 47, 61, 62, 7, 55]","['100011', '010100', '011011', '111000', '100011', '100001', '000100', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",TPC,MBFLIP,,,,,0.696581484854844,,,,4109362688,8943140,,,,,,,0.696495192542064,0.0095551019194893,0.0,0.0,0.0,0.0,0.0333333333333333,16,74,100,200,0.16,0.37,BEST,False,False,181,True,False,,TPC_MBFLIP, 
BFFCPC[M][M][M],0,1,4,4,0.1333333333333333,True,True,"[14, 4, 35, 34, 31, 6, 7, 15]","['001001', '000110', '110010', '110011', '010000', '000101', '000100', '001000']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",TPC,MBFLIP,,,,,0.6970648644907042,,,,852244480,2118564,,,,,,"[14, 4, 28, 29, 25, 5, 7, 15]",0.699104162255382,0.0026089697133179,0.0,0.0,0.5,0.875,0.1333333333333333,15,70,100,200,0.15,0.35,BEST,False,False,176,True,False,,TPC_MBFLIP, 
BQPOAK[M][M][M],0,1,5,5,0.1666666666666666,True,True,"[14, 13, 23, 38, 38, 37, 38, 4]","['001001', '001011', '011100', '110101', '110101', '110111', '110101', '000110']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",TPC,MBFLIP,,,,,0.7021305116789555,,,,1625985024,3376804,,,,,,"[14, 13, 16, 57, 38, 37, 38, 4]",0.7035108958862824,0.0044067336309003,0.0,0.0,0.25,0.875,0.1666666666666666,17,61,100,200,0.17,0.305,BEST,False,False,142,True,False,,TPC_MBFLIP, 
BQPOAK[M][M][M],0,1,6,5,0.2,True,True,"[14, 13, 23, 38, 38, 37, 38, 4]","['001001', '001011', '011100', '110101', '110101', '110111', '110101', '000110']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",TPC,MBFLIP,,,,,0.7021305116789555,,,,1625985024,3376804,,,,,,"[14, 13, 16, 57, 38, 37, 38, 4]",0.7048312504853729,0.0013203545990905,0.0,0.0,0.25,0.0,0.1666666666666666,17,56,100,200,0.17,0.28,BEST,False,False,142,True,False,,TPC_MBFLIP, 
BYMQTQ[M],0,1,7,7,0.2333333333333333,True,True,"[14, 55, 18, 47, 61, 6, 26, 23]","['001001', '101100', '011011', '111000', '100011', '000101', '010111', '011100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",TPC,MBFLIP,,,,,0.7047453427805398,,,,5805531136,7060004,,,,,,"[14, 8, 18, 47, 61, 6, 26, 47]",0.7064654658999789,0.001634215414606,0.625,0.375,0.25,0.875,0.2333333333333333,16,56,100,200,0.16,0.28,BEST,False,False,111,True,False,,TPC_MBFLIP, 
BYMQTQ[M],0,1,8,7,0.2666666666666666,True,True,"[14, 55, 18, 47, 61, 6, 26, 23]","['001001', '101100', '011011', '111000', '100011', '000101', '010111', '011100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",TPC,MBFLIP,,,,,0.7047453427805398,,,,5805531136,7060004,,,,,,"[14, 8, 18, 47, 61, 6, 26, 47]",0.707593502581383,0.001128036681404,0.625,0.375,0.25,0.0,0.2333333333333333,21,66,100,200,0.21,0.33,BEST,False,False,111,True,False,,TPC_MBFLIP, 
BYMQTQ[M],0,1,9,7,0.3,True,True,"[14, 55, 18, 47, 61, 6, 26, 23]","['001001', '101100', '011011', '111000', '100011', '000101', '010111', '011100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",TPC,MBFLIP,,,,,0.7047453427805398,,,,5805531136,7060004,,,,,,"[14, 8, 18, 47, 61, 6, 26, 47]",0.7097471500010009,0.0021536474196178,0.625,0.375,0.25,0.0,0.2333333333333333,13,66,100,200,0.13,0.33,BEST,False,False,111,True,False,,TPC_MBFLIP, 
BYMQTQ[M],0,1,10,7,0.3333333333333333,True,True,"[14, 55, 18, 47, 61, 6, 26, 23]","['001001', '101100', '011011', '111000', '100011', '000101', '010111', '011100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",TPC,MBFLIP,,,,,0.7047453427805398,,,,5805531136,7060004,,,,,,"[14, 8, 18, 47, 61, 6, 26, 47]",0.713030940817071,0.0032837908160701,0.625,0.375,0.25,0.0,0.2333333333333333,13,55,100,200,0.13,0.275,BEST,False,False,111,True,False,,TPC_MBFLIP, 
