ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by
BBECHS,0,1,1,1,0.0333333333333333,True,False,"[61, 47, 42, 47, 61, 39, 63, 55]","['100011', '111000', '111111', '111000', '100011', '110100', '100000', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",UC,NONE,,,,,0.7007246358527587,,,,6639406080,13344036,,,,,,,0.6835648725513124,0.0,0.375,0.5,0.0,0.0,0.0333333333333333,24,0,100,0,0.24,0.0,BEST,False,False,126,True,False,,UC_NONE, 
BROSUN,0,1,2,2,0.0666666666666666,True,False,"[61, 47, 27, 47, 46, 39, 63, 55]","['100011', '111000', '010110', '111000', '111001', '110100', '100000', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",UC,NONE,,,,,0.7069514695655017,,,,6291196928,11766820,,,,,,,0.6889398374080589,0.0053749648567464,0.25,0.75,0.0,0.25,0.0666666666666666,20,0,100,0,0.2,0.0,BEST,False,False,62,True,False,,UC_NONE, 
BROSUN,0,1,3,2,0.1,True,False,"[61, 47, 27, 47, 46, 39, 63, 55]","['100011', '111000', '010110', '111000', '111001', '110100', '100000', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",UC,NONE,,,,,0.7069514695655017,,,,6291196928,11766820,,,,,,,0.6989636301769548,0.0100237927688959,0.25,0.75,0.0,0.0,0.0666666666666666,20,0,100,0,0.2,0.0,BEST,False,False,62,True,False,,UC_NONE, 
BROSUN,0,1,4,2,0.1333333333333333,True,False,"[61, 47, 27, 47, 46, 39, 63, 55]","['100011', '111000', '010110', '111000', '111001', '110100', '100000', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",UC,NONE,,,,,0.7069514695655017,,,,6291196928,11766820,,,,,,,0.7035992994958791,0.0046356693189242,0.25,0.75,0.0,0.0,0.0666666666666666,17,0,100,0,0.17,0.0,BEST,False,False,62,True,False,,UC_NONE, 
BMKIDK,0,1,5,5,0.1666666666666666,True,False,"[61, 26, 27, 47, 46, 39, 63, 55]","['100011', '010111', '010110', '111000', '111001', '110100', '100000', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",UC,NONE,,,,,0.707438667850985,,,,4110158848,10471460,,,,,,,0.7058402839768625,0.0022409844809834,0.125,0.875,0.0,0.125,0.1666666666666666,16,0,100,0,0.16,0.0,BEST,False,False,52,True,False,,UC_NONE, 
BVKMED,0,1,6,6,0.2,True,False,"[14, 26, 2, 47, 28, 39, 63, 55]","['001001', '010111', '000011', '111000', '010010', '110100', '100000', '101100']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",UC,NONE,,,,,0.7079546454653295,,,,2082667520,8624932,,,,,,,0.7098455960879392,0.0040053121110766,0.375,0.5,0.0,0.375,0.2,16,0,100,0,0.16,0.0,BEST,False,False,43,True,False,,UC_NONE, 
BKIGTI,0,1,7,7,0.2333333333333333,True,False,"[25, 51, 20, 38, 28, 6, 46, 15]","['010101', '101010', '011110', '110101', '010010', '000101', '111001', '001000']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [256, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",UC,NONE,,,,,0.7099523855684613,,,,1719924224,3343780,,,,,,,0.7138239711364909,0.0039783750485516,0.625,0.125,0.0,0.875,0.2333333333333333,19,0,100,0,0.19,0.0,BEST,False,False,28,True,False,,UC_NONE, 
BKIGTI,0,1,8,7,0.2666666666666666,True,False,"[25, 51, 20, 38, 28, 6, 46, 15]","['010101', '101010', '011110', '110101', '010010', '000101', '111001', '001000']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [256, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",UC,NONE,,,,,0.7099523855684613,,,,1719924224,3343780,,,,,,,0.7143277120287583,0.0005037408922674,0.625,0.125,0.0,0.0,0.2333333333333333,12,0,100,0,0.12,0.0,BEST,False,False,28,True,False,,UC_NONE, 
BKIGTI,0,1,9,7,0.3,True,False,"[25, 51, 20, 38, 28, 6, 46, 15]","['010101', '101010', '011110', '110101', '010010', '000101', '111001', '001000']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [256, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",UC,NONE,,,,,0.7099523855684613,,,,1719924224,3343780,,,,,,,0.7147937357038884,0.00046602367513,0.625,0.125,0.0,0.0,0.2333333333333333,18,0,100,0,0.18,0.0,BEST,False,False,28,True,False,,UC_NONE, 
BKIGTI,0,1,10,7,0.3333333333333333,True,False,"[25, 51, 20, 38, 28, 6, 46, 15]","['010101', '101010', '011110', '110101', '010010', '000101', '111001', '001000']","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [256, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",UC,NONE,,,,,0.7099523855684613,,,,1719924224,3343780,,,,,,,0.7149129640551783,0.0001192283512899,0.625,0.125,0.0,0.0,0.2333333333333333,7,0,100,0,0.07,0.0,BEST,False,False,28,True,False,,UC_NONE, 
