Execution,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,0.375,0.25,0.0,0.0,0.0,0.0,0.9,0.0
2,0.125,0.5,0.0,0.0,0.0,0.0,0.8,0.0
3,0.375,0.25,0.0,0.0,0.0,0.0,0.8666666666666667,0.0
4,0.125,0.375,0.0,0.0,0.0,0.0,0.9333333333333332,0.0
5,0.25,0.25,0.125,0.0,0.0,0.0,0.7666666666666667,0.0
6,0.5,0.375,0.125,3.0,0.0,0.0,1.0,0.0
7,0.25,0.25,0.125,0.0,0.0,0.0,0.9,0.0
8,0.125,0.125,0.0,0.0,0.0,0.0,0.8,0.0
9,0.25,0.125,0.0,0.0,0.0,0.0,0.9,0.0
10,0.25,0.125,0.125,0.0,0.0,0.0,0.9,0.0
11,0.125,0.25,0.0,0.0,0.0,0.0,0.9,0.0
12,0.375,0.125,0.0,0.0,0.0,0.0,0.8,0.0
13,0.25,0.125,0.0,0.0,0.0,0.0,0.9666666666666668,0.0
14,0.125,0.125,0.0,2.0,0.0,0.0,1.0,0.0
15,0.125,0.125,0.0,0.0,0.0,0.0,0.9666666666666668,0.0
16,0.25,0.125,0.0,0.0,0.0,0.0,0.9,0.0
17,0.375,0.125,0.0,0.0,0.0,0.0,0.7666666666666667,0.0
18,0.125,0.375,0.0,0.0,0.0,0.0,0.8666666666666667,0.0
19,0.25,0.125,0.0,0.0,0.0,0.0,0.9333333333333332,0.0
20,0.5,0.25,0.0,0.0,0.0,0.0,0.8666666666666667,0.0
21,0.375,0.25,0.0,0.0,0.0,0.0,0.7666666666666667,0.0
22,0.5,0.125,0.0,0.0,0.0,0.0,0.9666666666666668,0.0
23,0.375,0.25,0.0,0.0,0.0,0.0,0.9333333333333332,0.0
24,0.0,0.125,0.25,4.0,0.0,0.0,1.0,0.0
25,0.125,0.125,0.0,0.0,0.0,0.0,0.8666666666666667,0.0
26,0.25,0.125,0.0,0.0,0.0,0.0,0.8666666666666667,0.0
27,0.25,0.125,0.0,0.0,0.0,0.0,0.9,0.0
28,0.125,0.375,0.0,0.0,0.0,0.0,0.8333333333333334,0.0
29,0.125,0.25,0.0,0.0,0.0,0.0,0.7666666666666667,0.0
30,0.125,0.375,0.0,1.0,0.0,0.0,1.0,0.0
Mean,0.24583333333333332,0.21666666666666667,0.025,0.3333333333333333,0.0,0.0,0.8877777777777777,0.0
Std,0.13103487661263657,0.10671873729054747,0.05951190357119042,0.9428090415820632,0.0,0.0,0.07377811244904012,0.0
