Execution,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,0.375,0.125,0.0,0.0,0.0,0.0,0.266666667,0.732266488
2,0.125,0.375,0.0,0.0,0.0,0.0,0.366666667,0.869751466
3,0.125,0.125,0.0,0.0,0.0,0.0,0.6,0.762055576
4,0.25,0.125,0.0,0.0,0.0,0.0,0.633333333,0.784497998
5,0.375,0.125,0.0,0.0,0.0,0.0,0.9,0.784480835
6,0.125,0.5,0.0,0.0,0.0,0.0,0.466666667,0.770522869
7,0.25,0.25,0.0,0.0,0.0,0.0,0.466666667,0.811672177
8,0.25,0.125,0.0,0.0,0.0,0.0,0.4,0.842306384
9,0.125,0.125,0.0,0.0,0.0,0.0,0.933333333,0.840362419
10,0.125,0.25,0.0,0.0,0.0,0.0,0.433333333,0.867267608
11,0.125,0.25,0.0,0.0,0.0,0.0,0.5,0.828690746
12,0.375,0.25,0.0,0.0,0.0,0.0,0.4,0.850377891
13,0.625,0.125,0.0,0.0,0.0,0.0,0.566666667,0.803132967
14,0.25,0.125,0.0,1.0,0.0,0.0,1.0,0.805059545
15,0.25,0.375,0.0,0.0,0.0,0.0,0.766666667,0.766847173
16,0.375,0.125,0.0,0.0,0.0,0.0,0.966666667,0.847633024
17,0.375,0.25,0.0,0.0,0.0,0.0,0.766666667,0.782920654
18,0.125,0.125,0.0,0.0,0.0,0.0,0.733333333,0.747228629
19,0.375,0.125,0.0,0.0,0.0,0.0,0.6,0.803923523
20,0.125,0.125,0.0,0.0,0.0,0.0,0.5,0.819184105
21,0.125,0.125,0.0,1.0,0.0,0.0,1.0,0.841624268
22,0.125,0.5,0.0,0.0,0.0,0.0,0.5,0.733641056
23,0.5,0.125,0.0,0.0,0.0,0.0,0.333333333,0.862107081
24,0.5,0.25,0.0,0.0,0.0,0.0,0.2,0.877036021
25,0.375,0.125,0.0,0.0,0.0,0.0,0.433333333,0.771021631
26,0.125,0.125,0.0,1.0,0.0,0.0,1.0,0.78446379
27,0.125,0.375,0.0,0.0,0.0,0.0,0.7,0.762244687
28,0.625,0.125,0.0,0.0,0.0,0.0,0.9,0.904043962
29,0.25,0.25,0.0,0.0,0.0,0.0,0.533333333,0.795190487
30,0.125,0.375,0.0,0.0,0.0,0.0,0.766666667,0.840072918
Mean,0.26666666666666666,0.2125,0.0,0.1,0.0,0.0,0.6211111111333333,0.8097209325999999
Std,0.15388487760516156,0.11703809920990116,0.0,0.3,0.0,0.0,0.23149807348541107,0.04419700410304363
