Execution,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,0.625,0.125,0.0,0.0,0.2011666666666666,0.1013333333333333,0.8333333333333334,
2,0.5,0.25,0.0,0.0,0.1963333333333333,0.104,0.8333333333333334,
3,0.25,0.25,0.0,0.0,0.2068333333333333,0.1055,0.9666666666666668,
4,0.375,0.125,0.0,0.0,0.2108333333333333,0.1035,0.9666666666666668,
5,0.375,0.125,0.0,0.0,0.1998333333333333,0.1173333333333333,0.9333333333333332,
6,0.25,0.25,0.0,0.0,0.222,0.1278333333333333,0.9666666666666668,
7,0.0,0.25,0.125,0.0,0.2066666666666666,0.1253333333333333,0.9666666666666668,
8,0.25,0.375,0.0,0.0,0.2091666666666666,0.1151666666666666,0.7,
9,0.375,0.125,0.0,0.0,0.214,0.1288333333333333,0.8666666666666667,
10,0.125,0.125,0.0,0.0,0.1908333333333333,0.113,0.9666666666666668,
11,0.125,0.25,0.0,0.0,0.1756666666666666,0.096,0.9,
12,0.25,0.0,0.125,3.0,0.215,0.1038333333333333,1.0,
13,0.5,0.125,0.0,0.0,0.1981666666666666,0.1286666666666666,0.9666666666666668,
14,0.375,0.375,0.0,3.0,0.2115,0.1095,1.0,
15,0.25,0.375,0.0,0.0,0.2055,0.1155,0.9,
16,0.5,0.375,0.125,0.0,0.2051666666666666,0.1256666666666666,0.6666666666666666,
17,0.125,0.125,0.0,0.0,0.2165,0.1053333333333333,0.9666666666666668,
18,0.125,0.25,0.125,0.0,0.2218333333333333,0.1095,0.9666666666666668,
19,0.375,0.125,0.0,0.0,0.2023333333333333,0.1275,0.8,
20,0.125,0.125,0.0,0.0,0.2035,0.0981666666666666,0.9666666666666668,
21,0.25,0.25,0.125,0.0,0.2006666666666666,0.108,0.8666666666666667,
22,0.125,0.5,0.0,0.0,0.203,0.1125,0.9,
23,0.125,0.125,0.0,0.0,0.2131666666666666,0.1136666666666666,0.8333333333333334,
24,0.25,0.25,0.0,0.0,0.2076666666666666,0.1103333333333333,0.8333333333333334,
25,0.25,0.25,0.0,0.0,0.1908333333333333,0.1186666666666666,0.8,
26,0.375,0.375,0.0,0.0,0.2176666666666666,0.1075,0.8333333333333334,
27,0.375,0.25,0.0,0.0,0.2143333333333333,0.1195,0.9,
28,0.125,0.75,0.0,0.0,0.2246666666666666,0.1303333333333333,0.9,
29,0.125,0.25,0.0,0.0,0.195,0.112,0.9333333333333332,
30,0.25,0.25,0.0,0.0,0.2371666666666666,0.129,0.9666666666666668,
Mean,0.2708333333333333,0.24583333333333332,0.020833333333333332,0.2,0.20723333333333332,0.11409999999999997,0.8966666666666666,
Std,0.14463795798091483,0.1424610083106563,0.04658474953124562,0.7483314773547881,0.011741711024283376,0.009945183088644801,0.08270877063976192,
