Execution,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,0.25,0.125,0.0,1.0,0.2316666666666666,0.0896666666666666,1.0,
2,0.25,0.125,0.0,0.0,0.2176666666666666,0.0933333333333333,0.9333333333333332,
3,0.125,0.25,0.0,0.0,0.2156666666666666,0.099,0.9333333333333332,
4,0.125,0.75,0.25,0.0,0.2146666666666666,0.087,0.9,
5,0.125,0.25,0.0,1.0,0.2295,0.0986666666666666,1.0,
6,0.25,0.25,0.0,0.0,0.2086666666666666,0.1046666666666666,0.8666666666666667,
7,0.0,0.625,0.25,0.0,0.2148333333333333,0.0971666666666666,0.8666666666666667,
8,0.375,0.25,0.0,0.0,0.2038333333333333,0.0983333333333333,0.9333333333333332,
9,0.25,0.125,0.0,0.0,0.1905,0.0866666666666666,0.8333333333333334,
10,0.5,0.125,0.0,3.0,0.2026666666666666,0.0935,1.0,
11,0.25,0.625,0.0,0.0,0.2156666666666666,0.0931666666666666,0.9666666666666668,
12,0.125,0.5,0.0,0.0,0.2155,0.0853333333333333,0.9,
13,0.125,0.5,0.0,0.0,0.212,0.1058333333333333,0.9666666666666668,
14,0.375,0.25,0.0,0.0,0.2255,0.1098333333333333,0.9666666666666668,
15,0.375,0.125,0.0,0.0,0.2086666666666666,0.092,0.9666666666666668,
16,0.5,0.125,0.0,0.0,0.217,0.0976666666666666,0.8333333333333334,
17,0.375,0.375,0.0,0.0,0.1993333333333333,0.0978333333333333,0.8666666666666667,
18,0.25,0.375,0.0,0.0,0.2131666666666666,0.0965,0.9333333333333332,
19,0.25,0.375,0.0,0.0,0.2325,0.0946666666666666,0.9666666666666668,
20,0.125,0.25,0.0,0.0,0.213,0.0866666666666666,0.9666666666666668,
21,0.5,0.125,0.0,0.0,0.1988333333333333,0.0993333333333333,0.9666666666666668,
22,0.125,0.625,0.0,0.0,0.212,0.093,0.6666666666666666,
23,0.125,0.375,0.0,0.0,0.2053333333333333,0.0898333333333333,0.9,
24,0.125,0.375,0.0,0.0,0.2126666666666666,0.1045,0.9333333333333332,
25,0.375,0.25,0.0,2.0,0.2121666666666666,0.1073333333333333,1.0,
26,0.25,0.25,0.0,0.0,0.2253333333333333,0.0908333333333333,0.9,
27,0.125,0.25,0.0,1.0,0.2196666666666666,0.0846666666666666,1.0,
28,0.375,0.125,0.0,0.0,0.2058333333333333,0.0921666666666666,0.9,
29,0.375,0.125,0.0,4.0,0.213,0.1023333333333333,1.0,
30,0.125,0.25,0.0,0.0,0.2205,0.094,0.8333333333333334,
Mean,0.25,0.30416666666666664,0.016666666666666666,0.4,0.21357777777777776,0.09551666666666664,0.9233333333333332,
Std,0.13307266185559427,0.1758412320500766,0.06236095644623236,0.9521904571390466,0.00948583088897968,0.00659929148834541,0.07105032123888075,
