Execution,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,0.5,0.125,0.0,0.0,0.1105,0.0791666666666666,0.8666666666666667,0.8497468580612944
2,0.125,0.125,0.0,0.0,0.1281666666666666,0.094,0.9333333333333332,0.8234484665014192
3,0.75,0.125,0.25,2.0,0.1235,0.0835,1.0,0.8574952116340677
4,0.375,0.25,0.0,0.0,0.1236666666666666,0.0805,0.9,0.9055653726877668
5,0.25,0.375,0.0,0.0,0.1321666666666666,0.0795,0.6333333333333333,0.8868357703771564
6,0.125,0.5,0.0,3.0,0.119,0.0985,1.0,0.9359268262644488
7,0.25,0.375,0.0,0.0,0.1281666666666666,0.0741666666666666,0.5333333333333333,0.8634144307487662
8,0.125,0.5,0.0,0.0,0.1316666666666666,0.0955,0.9,0.9161384003419676
9,0.25,0.375,0.0,0.0,0.1345,0.0848333333333333,0.9333333333333332,0.8980098956849024
10,0.25,0.125,0.0,0.0,0.1143333333333333,0.0956666666666666,0.8333333333333334,0.8821823813270074
11,0.125,0.625,0.0,0.0,0.1208333333333333,0.1055,0.5333333333333333,0.9030970041940192
12,0.5,0.25,0.0,0.0,0.127,0.0846666666666666,0.8666666666666667,0.9377960606040447
13,0.25,0.5,0.0,0.0,0.1093333333333333,0.1026666666666666,0.4666666666666667,0.8745169268607111
14,0.375,0.125,0.0,0.0,0.106,0.0785,0.8333333333333334,0.8673737223362616
15,0.875,0.125,0.0,0.0,0.1271666666666666,0.0961666666666666,0.9666666666666668,0.9116298123352572
16,0.375,0.125,0.0,1.0,0.1096666666666666,0.0935,1.0,0.9357150236321874
17,0.125,0.5,0.0,0.0,0.1055,0.0791666666666666,0.9666666666666668,0.909863525805776
18,0.125,0.25,0.0,0.0,0.1065,0.0855,0.7333333333333333,0.8399404787508623
19,0.25,0.75,0.0,0.0,0.1053333333333333,0.0951666666666666,0.9,0.9201161357337412
20,0.5,0.5,0.25,0.0,0.1208333333333333,0.0851666666666666,0.8666666666666667,0.8362518891566721
21,0.25,0.5,0.0,0.0,0.1181666666666666,0.071,0.7,0.8711486665660996
22,0.125,0.75,0.0,0.0,0.1245,0.0866666666666666,0.4666666666666667,0.8602654505970605
23,0.5,0.25,0.0,0.0,0.1205,0.085,0.6333333333333333,0.9046412993758488
24,0.375,0.25,0.0,0.0,0.1471666666666666,0.0923333333333333,0.5333333333333333,0.8792727809923724
25,0.25,0.25,0.0,1.0,0.1256666666666666,0.091,1.0,0.8736060100745447
26,0.25,0.375,0.0,4.0,0.1145,0.0818333333333333,1.0,0.8502900012765336
27,0.625,0.0,0.25,0.0,0.1281666666666666,0.0761666666666666,0.9333333333333332,0.8705286025845124
28,0.625,0.25,0.25,0.0,0.1095,0.084,0.5666666666666667,0.9437791794829254
29,0.125,0.5,0.0,0.0,0.1136666666666666,0.0991666666666666,0.5666666666666667,0.842372711197045
30,0.125,0.75,0.0,0.0,0.127,0.0815,0.6333333333333333,0.9056793767315332
Mean,0.325,0.35,0.03333333333333333,0.36666666666666664,0.1204222222222222,0.08733333333333332,0.7899999999999999,0.8852216090638936
Std,0.2005201569252661,0.20514222708485283,0.08498365855987976,0.9480975102218594,0.009979491315371743,0.0086178110136314,0.18199511592958267,0.0326393013202261
