Execution,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,0.125,0.25,0.0,0.0,0.2546666666666666,0.0983333333333333,0.8333333333333334,
2,0.25,0.375,0.0,0.0,0.2496666666666666,0.115,0.8333333333333334,
3,0.25,0.25,0.0,0.0,0.241,0.1311666666666666,0.9666666666666668,
4,0.375,0.125,0.0,0.0,0.2493333333333333,0.1028333333333333,0.9,
5,0.125,0.125,0.125,0.0,0.2831666666666667,0.1188333333333333,0.9666666666666668,
6,0.25,0.25,0.0,0.0,0.2433333333333333,0.1213333333333333,0.9666666666666668,
7,0.25,0.25,0.0,0.0,0.2438333333333333,0.0988333333333333,0.9,
8,0.375,0.25,0.0,0.0,0.2451666666666666,0.1078333333333333,0.9,
9,0.125,0.125,0.0,3.0,0.2566666666666666,0.1266666666666666,1.0,
10,0.5,0.25,0.0,0.0,0.244,0.1053333333333333,0.7,
11,0.375,0.125,0.0,0.0,0.2613333333333333,0.107,0.7,
12,0.5,0.125,0.0,0.0,0.2613333333333333,0.1091666666666666,0.9333333333333332,
13,0.25,0.125,0.0,0.0,0.246,0.1256666666666666,0.9666666666666668,
14,0.125,0.375,0.0,0.0,0.2645,0.1068333333333333,0.7666666666666667,
15,0.125,0.5,0.0,0.0,0.2511666666666666,0.1165,0.8666666666666667,
16,0.25,0.25,0.0,0.0,0.2345,0.0956666666666666,0.8,
17,0.625,0.25,0.0,0.0,0.257,0.1326666666666666,0.9,
18,0.625,0.25,0.0,2.0,0.2325,0.0973333333333333,1.0,
19,0.125,0.25,0.0,1.0,0.267,0.118,1.0,
20,0.25,0.25,0.0,0.0,0.242,0.1096666666666666,0.8666666666666667,
21,0.25,0.125,0.0,0.0,0.2466666666666666,0.1018333333333333,0.8666666666666667,
22,0.25,0.25,0.0,0.0,0.2353333333333333,0.1103333333333333,0.9333333333333332,
23,0.5,0.25,0.0,0.0,0.2431666666666666,0.1051666666666666,0.9333333333333332,
24,0.375,0.375,0.0,0.0,0.2373333333333333,0.1041666666666666,0.9333333333333332,
25,0.125,0.375,0.0,0.0,0.2413333333333333,0.1191666666666666,0.9666666666666668,
26,0.375,0.125,0.0,2.0,0.2606666666666666,0.1131666666666666,1.0,
27,0.25,0.125,0.0,2.0,0.2733333333333333,0.1118333333333333,1.0,
28,0.25,0.375,0.0,0.0,0.2635,0.1113333333333333,0.8333333333333334,
29,0.5,0.125,0.125,1.0,0.2375,0.1045,1.0,
30,0.25,0.375,0.0,3.0,0.2656666666666666,0.118,1.0,
Mean,0.3,0.24166666666666667,0.008333333333333333,0.4666666666666667,0.2510888888888888,0.11147222222222217,0.9077777777777777,
Std,0.14648663192705785,0.10172129679778086,0.03118047822311618,0.9213516640723501,0.012298654950044213,0.009660446593975955,0.08549781601426949,
