Execution,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,0.75,0.25,0.0,0.0,0.128,0.1756666666666666,0.1,0.8655589817211677
2,0.5,0.125,0.125,0.0,0.1388333333333333,0.1473333333333333,0.7666666666666667,0.8505574735399475
3,0.625,0.125,0.0,0.0,0.1381666666666666,0.1888333333333333,0.9,0.8658134481717636
4,0.5,0.125,0.0,0.0,0.1293333333333333,0.1795,0.8666666666666667,0.8887686162436137
5,0.125,0.5,0.0,0.0,0.1318333333333333,0.188,0.9333333333333332,0.8570170336035128
6,0.375,0.125,0.125,0.0,0.135,0.2001666666666666,0.9666666666666668,0.8532039730884271
7,0.625,0.125,0.0,0.0,0.1316666666666666,0.1491666666666666,0.9333333333333332,0.7879761572066455
8,0.75,0.25,0.125,0.0,0.131,0.1648333333333333,0.7333333333333333,0.7375554420065289
9,0.25,0.5,0.125,0.0,0.1276666666666666,0.164,0.4666666666666667,0.8464973130290152
10,0.25,0.0,0.125,0.0,0.1263333333333333,0.1881666666666666,0.8333333333333334,0.7578255419345853
11,0.375,0.5,0.125,0.0,0.1455,0.1941666666666666,0.7666666666666667,0.8379693792898827
12,0.25,0.375,0.0,0.0,0.1366666666666666,0.177,0.9666666666666668,0.8917171426370136
13,0.125,0.625,0.0,0.0,0.1385,0.162,0.9666666666666668,0.8657067313358155
14,0.125,0.625,0.125,0.0,0.1365,0.1823333333333333,0.8666666666666667,0.864931593772517
15,0.25,0.625,0.0,0.0,0.1191666666666666,0.1975,0.9,0.9122735592660776
16,0.25,0.625,0.0,0.0,0.1226666666666666,0.1971666666666666,0.8,0.885566773584949
17,0.25,0.375,0.0,0.0,0.1315,0.1878333333333333,0.8666666666666667,0.7902829200636157
18,0.5,0.0,0.125,0.0,0.1161666666666666,0.1803333333333333,0.7666666666666667,0.8193160605974957
19,0.25,0.25,0.0,0.0,0.1193333333333333,0.166,0.8666666666666667,0.8796533682096653
20,0.0,0.625,0.125,0.0,0.1358333333333333,0.1563333333333333,0.5666666666666667,0.8155352035953407
21,0.5,0.125,0.125,0.0,0.1453333333333333,0.1621666666666666,0.8666666666666667,0.8299647405260754
22,0.25,0.125,0.0,0.0,0.1378333333333333,0.1945,0.8333333333333334,0.8308546381113485
23,0.25,0.125,0.0,0.0,0.13,0.1781666666666666,0.9666666666666668,0.7829571251591121
24,0.375,0.5,0.0,0.0,0.1345,0.1916666666666666,0.6666666666666666,0.8580131277389536
25,0.25,0.25,0.0,0.0,0.1316666666666666,0.1713333333333333,0.9666666666666668,0.8561715672844483
26,0.5,0.375,0.0,0.0,0.1376666666666666,0.1841666666666666,0.8,0.8132591813743215
27,0.125,0.125,0.125,0.0,0.1515,0.1663333333333333,0.8333333333333334,0.7855445844911376
28,0.75,0.125,0.0,0.0,0.1081666666666666,0.1895,0.9666666666666668,0.8328049596003329
29,0.375,0.375,0.125,0.0,0.149,0.1693333333333333,0.9666666666666668,0.7858136371141309
30,0.625,0.125,0.0,0.0,0.112,0.1716666666666666,0.8333333333333334,0.8179844135878529
Mean,0.37083333333333335,0.3,0.05,0.0,0.1319111111111111,0.1775055555555555,0.8177777777777778,0.8355698229295098
Std,0.2028015587272993,0.203100960115899,0.06123724356957946,0.0,0.010007657561914445,0.01429422852538053,0.17779166612417435,0.041307638038531144
