Execution,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,0.125,0.25,0.0,0.0,0.2495,0.0868333333333333,0.9666666666666668,
2,0.25,0.375,0.0,0.0,0.2735,0.0883333333333333,0.8333333333333334,
3,0.125,0.25,0.0,2.0,0.2725,0.0786666666666666,1.0,
4,0.375,0.125,0.0,0.0,0.2631666666666666,0.0796666666666666,0.9666666666666668,
5,0.125,0.125,0.0,0.0,0.2746666666666666,0.09,0.9666666666666668,
6,0.125,0.75,0.0,0.0,0.2533333333333333,0.0885,0.9333333333333332,
7,0.375,0.5,0.25,2.0,0.2678333333333333,0.0931666666666666,1.0,
8,0.25,0.125,0.0,0.0,0.2546666666666666,0.081,0.9666666666666668,
9,0.125,0.375,0.0,1.0,0.2505,0.087,1.0,
10,0.25,0.125,0.0,0.0,0.2611666666666666,0.0905,0.9,
11,0.625,0.125,0.25,2.0,0.2588333333333333,0.0933333333333333,1.0,
12,0.125,0.5,0.0,0.0,0.2613333333333333,0.1001666666666666,0.9666666666666668,
13,0.25,0.375,0.0,0.0,0.2483333333333333,0.0988333333333333,0.9666666666666668,
14,0.25,0.125,0.0,0.0,0.2451666666666666,0.0996666666666666,0.9666666666666668,
15,0.25,0.5,0.0,0.0,0.2646666666666666,0.0868333333333333,0.9666666666666668,
16,0.5,0.125,0.0,1.0,0.2655,0.0998333333333333,1.0,
17,0.625,0.25,0.0,0.0,0.2591666666666666,0.0831666666666666,0.9,
18,0.25,0.25,0.0,2.0,0.2626666666666666,0.0938333333333333,1.0,
19,0.125,0.625,0.25,0.0,0.2546666666666666,0.0938333333333333,0.9333333333333332,
20,0.125,0.25,0.0,0.0,0.2628333333333333,0.1006666666666666,0.9,
21,0.25,0.375,0.0,0.0,0.2418333333333333,0.094,0.9333333333333332,
22,0.375,0.5,0.0,3.0,0.2546666666666666,0.1026666666666666,1.0,
23,0.375,0.25,0.0,0.0,0.2635,0.103,0.9333333333333332,
24,0.25,0.125,0.0,0.0,0.2845,0.0841666666666666,0.9666666666666668,
25,0.25,0.125,0.0,0.0,0.2493333333333333,0.0811666666666666,0.9666666666666668,
26,0.25,0.5,0.0,0.0,0.2548333333333333,0.096,0.9666666666666668,
27,0.5,0.125,0.0,0.0,0.2576666666666666,0.0936666666666666,0.8333333333333334,
28,0.125,0.25,0.0,0.0,0.2568333333333333,0.1063333333333333,0.9666666666666668,
29,0.125,0.375,0.25,0.0,0.2516666666666666,0.094,0.9,
30,0.25,0.375,0.0,0.0,0.2733333333333333,0.0891666666666666,0.9666666666666668,
Mean,0.26666666666666666,0.30416666666666664,0.03333333333333333,0.43333333333333335,0.2597388888888889,0.09193333333333327,0.9522222222222223,
Std,0.14337208778404378,0.16981403226929026,0.08498365855987976,0.8439325934114776,0.00953489530068694,0.007328862273383383,0.044458331163872364,
