Execution,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
1,0.125,0.25,0.0,0.0,0.2601666666666666,0.0848333333333333,0.9666666666666668,
2,0.25,0.375,0.0,0.0,0.2476666666666666,0.0908333333333333,0.8666666666666667,
3,0.25,0.5,0.0,0.0,0.2686666666666666,0.0893333333333333,0.9333333333333332,
4,0.375,0.125,0.0,0.0,0.2728333333333333,0.0923333333333333,0.8,
5,0.375,0.0,0.25,0.0,0.2751666666666666,0.103,0.9,
6,0.25,0.625,0.25,3.0,0.2681666666666666,0.0986666666666666,1.0,
7,0.5,0.125,0.0,3.0,0.266,0.089,1.0,
8,0.25,0.5,0.0,0.0,0.268,0.0968333333333333,0.8666666666666667,
9,0.125,0.25,0.0,0.0,0.252,0.0943333333333333,0.9666666666666668,
10,0.5,0.125,0.0,0.0,0.272,0.0813333333333333,0.9333333333333332,
11,0.25,0.25,0.0,0.0,0.2688333333333333,0.0826666666666666,0.8666666666666667,
12,0.125,0.5,0.0,1.0,0.261,0.0911666666666666,1.0,
13,0.125,0.125,0.0,2.0,0.2533333333333333,0.1013333333333333,1.0,
14,0.125,0.375,0.0,1.0,0.2743333333333333,0.0975,1.0,
15,0.375,0.5,0.0,0.0,0.272,0.089,0.8666666666666667,
16,0.375,0.25,0.0,0.0,0.2791666666666667,0.0866666666666666,0.8666666666666667,
17,0.375,0.25,0.0,1.0,0.2703333333333333,0.0885,1.0,
18,0.375,0.25,0.0,0.0,0.2575,0.089,0.9666666666666668,
19,0.25,0.25,0.0,0.0,0.2571666666666666,0.0951666666666666,0.9333333333333332,
20,0.125,0.5,0.0,0.0,0.2656666666666666,0.0823333333333333,0.9666666666666668,
21,0.375,0.125,0.0,0.0,0.2725,0.1,0.8666666666666667,
22,0.25,0.125,0.0,0.0,0.2638333333333333,0.0988333333333333,0.9,
23,0.25,0.0,0.25,0.0,0.273,0.0943333333333333,0.9333333333333332,
24,0.375,0.25,0.0,0.0,0.2816666666666667,0.0788333333333333,0.5666666666666667,
25,0.125,0.625,0.0,0.0,0.2613333333333333,0.0891666666666666,0.9666666666666668,
26,0.25,0.375,0.0,4.0,0.2466666666666666,0.0911666666666666,1.0,
27,0.125,0.375,0.0,0.0,0.2508333333333333,0.0823333333333333,0.9333333333333332,
28,0.125,0.125,0.0,1.0,0.256,0.0851666666666666,1.0,
29,0.125,0.25,0.25,4.0,0.2753333333333333,0.0986666666666666,1.0,
30,0.25,0.375,0.0,3.0,0.2635,0.0906666666666666,1.0,
Mean,0.25833333333333336,0.2916666666666667,0.03333333333333333,0.7666666666666667,0.26515555555555553,0.09109999999999994,0.9288888888888888,
Std,0.11606990230986766,0.1687371394276382,0.08498365855987976,1.2827920936595907,0.00918159726818063,0.006336636565478803,0.08765814632584898,
