ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,Was_invalid,arch_status,Trained_Completely,Has_CM,Confusion_matrix,cm_accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,Ranking,NSGA2,HHSE,Objectives,RAM,Improved
BVVKSG[M],42,1,30,8,1,TRUE,TRUE,"[2, 6, 4, 38, 46, 38, 6, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2TRUE,GA,,,,0.723603642,,,,787884544,2865188,,,,,,"[2, 6, 4, 38, 46, 38, 6, 22]",0.732266488,-0.146660756,0.375,0.125,0,0,0.266666667,,,,,0,0,,BEST,FALSE,FALSE,,,,,,57,TRUE,TRUE,,41.8,NONE
BBDOSH[M],43,2,30,11,1,TRUE,TRUE,"[14, 14, 14, 38, 36, 22, 54, 12]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2TRUE,GA,,,,0.724643939,,,,1410615296,3381540,,,,,,"[14, 14, 14, 38, 36, 22, 54, 12]",0.869751466,-0.045064416,0.125,0.375,0,0,0.366666667,,,,,0,0,,BEST,FALSE,FALSE,,,,,,42,TRUE,TRUE,,41.7,NONE
BCFATB,44,3,30,18,1,TRUE,FALSE,"[14, 6, 4, 23, 46, 6, 38, 12]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2TRUE,GA,,,,0.730518226,,,,1059117056,2983332,,,,,,,0.762055576,-0.126547195,0.125,0.125,0,0,0.6,,,,,0,0,,BEST,FALSE,FALSE,,,,,,2,TRUE,TRUE,,42.1,NONE
BFCFCX[M],45,4,30,19,1,TRUE,TRUE,"[14, 6, 4, 38, 36, 22, 6, 12]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2TRUE,GA,,,,0.725580276,,,,947487232,1901476,,,,,,"[14, 6, 4, 38, 36, 22, 6, 12]",0.784497998,-0.148011929,0.25,0.125,0,0,0.633333333,,,,,0,0,,BEST,FALSE,FALSE,,,,,,31,TRUE,TRUE,,35.3,NONE
BYCSAW[M],46,5,30,27,1,TRUE,TRUE,"[14, 22, 4, 23, 46, 6, 6, 12]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2TRUE,GA,,,,0.725510537,,,,1347107328,2688164,,,,,,"[14, 22, 4, 23, 46, 6, 6, 12]",0.784480835,-0.100662879,0.375,0.125,0,0,0.9,,,,,0,0,,BEST,FALSE,FALSE,,,,,,33,TRUE,TRUE,,35.3,NONE
BPLFRL[M],47,6,30,14,1,TRUE,TRUE,"[14, 6, 4, 38, 36, 38, 6, 12]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2TRUE,GA,,,,0.725486331,,,,975819264,2122916,,,,,,"[14, 6, 4, 38, 36, 38, 6, 12]",0.770522869,-0.0772611,0.125,0.5,0,0,0.466666667,,,,,0,0,,BEST,FALSE,FALSE,,,,,,34,TRUE,TRUE,,35.5,NONE
BVDMRF[M],48,7,30,14,1,TRUE,TRUE,"[14, 6, 4, 38, 36, 7, 6, 12]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2TRUE,GA,,,,0.724891127,,,,950098432,1921828,,,,,,"[14, 6, 4, 38, 36, 7, 6, 12]",0.811672177,-0.018656861,0.25,0.25,0,0,0.466666667,,,,,0,0,,BEST,FALSE,FALSE,,,,,,40,TRUE,TRUE,,35.5,NONE
BVPLOB[M],49,8,30,12,1,TRUE,TRUE,"[8, 22, 9, 38, 22, 20, 6, 12]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [32, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2TRUE,GA,,,,0.716779878,,,,836620800,1678884,,,,,,"[8, 22, 9, 38, 22, 20, 6, 12]",0.842306384,-0.086581246,0.25,0.125,0,0,0.4,,,,,0,0,,BEST,FALSE,FALSE,,,,,,150,TRUE,TRUE,,35.8,NONE
BSOGTU[M],50,9,30,28,1,TRUE,TRUE,"[14, 6, 4, 23, 46, 6, 38, 12]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2TRUE,GA,,,,0.730518226,,,,1059117056,2983332,,,,,,"[14, 6, 4, 23, 46, 6, 38, 12]",0.840362419,-0.037802401,0.125,0.125,0,0,0.933333333,,,,,0,0,,BEST,FALSE,FALSE,,,,,,2,TRUE,TRUE,,36.3,NONE
BHKQYP[M],51,10,30,13,1,TRUE,TRUE,"[14, 6, 4, 38, 36, 62, 6, 12]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2TRUE,GA,,,,0.728025135,,,,1099592192,3090084,,,,,,"[14, 6, 4, 38, 36, 62, 6, 12]",0.867267608,-0.024701077,0.125,0.25,0,0,0.433333333,,,,,0,0,,BEST,FALSE,FALSE,,,,,,10,TRUE,TRUE,,36.3,NONE
