Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.740227532,,,,6238881792.0,9199908.0
2,0.731923795,,,,2449674752.0,5519524.0
3,0.734739371,,,,3680774144.0,6385060.0
4,0.740516048,,,,6291320832.0,10838820.0
5,0.73523285,,,,4352618496.0,7634468.0
6,0.737436925,,,,4411248640.0,8384036.0
7,0.737591083,,,,2050617344.0,6089380.0
8,0.74062094,,,,6255659008.0,9724196.0
9,0.733866743,,,,4311598080.0,6154788.0
10,0.736264661,,,,2877940736.0,8149412.0
11,0.730304593,,,,2495346688.0,8003108.0
12,0.737520578,,,,5332051968.0,9432612.0
13,0.735468084,,,,1788862464.0,3933604.0
14,0.737964929,,,,3357411328.0,6240036.0
15,0.738383571,,,,4621004800.0,10022948.0
16,0.737073023,,,,6064777216.0,8232740.0
17,0.735757919,,,,2937958400.0,6888484.0
18,0.735105284,,,,2402652160.0,6445604.0
19,0.737328508,,,,4545466368.0,9432612.0
20,0.730261357,,,,3131555840.0,6719908.0
21,0.73671311,,,,4344646144.0,6302372.0
22,0.738857966,,,,4466725888.0,7465508.0
23,0.736998967,,,,4407033856.0,8351012.0
24,0.73067123,,,,3782029312.0,6519844.0
25,0.730438422,,,,2085197824.0,8479012.0
26,0.73621396,,,,5927725056.0,8469540.0
27,0.737094142,,,,5257127936.0,7773604.0
28,0.7304405,,,,4622631936.0,10805796.0
29,0.738383571,,,,4621004800.0,10022948.0
30,0.736597227,,,,4542264320.0,8055844.0
Mean,0.7358665629666667,,,,4121793604.266667,7855890.933333334
Std,0.003030780496684127,,,,1318603683.745604,1623713.2862962175
