Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.723603642,,,,787884544.0,2865188.0
2,0.724643939,,,,1410615296.0,3381540.0
3,0.730518226,,,,1059117056.0,2983332.0
4,0.725580276,,,,947487232.0,1901476.0
5,0.725510537,,,,1347107328.0,2688164.0
6,0.725486331,,,,975819264.0,2122916.0
7,0.724891127,,,,950098432.0,1921828.0
8,0.716779878,,,,836620800.0,1678884.0
9,0.730518226,,,,1059117056.0,2983332.0
10,0.728025135,,,,1099592192.0,3090084.0
11,0.71809521,,,,579084800.0,2187044.0
12,0.723798398,,,,1472962560.0,3315492.0
13,0.72665014,,,,1008867328.0,3156004.0
14,0.726661751,,,,1122113536.0,3597988.0
15,0.726744085,,,,980535296.0,2934564.0
16,0.725566738,,,,1199400960.0,3486116.0
17,0.726323846,,,,961650688.0,2344228.0
18,0.730518226,,,,1059117056.0,2983332.0
19,0.728902723,,,,1044953600.0,2540580.0
20,0.72665014,,,,1008867328.0,3156004.0
21,0.72742466,,,,1029756928.0,3196708.0
22,0.724763616,,,,838113792.0,3135012.0
23,0.726547908,,,,2362165760.0,2823844.0
24,0.729795553,,,,2490771456.0,5424676.0
25,0.725580276,,,,947487232.0,1901476.0
26,0.730780008,,,,1244554240.0,5778084.0
27,0.730475396,,,,1641191424.0,3839652.0
28,0.721855465,,,,980664320.0,3447076.0
29,0.725117121,,,,1468471296.0,4373156.0
30,0.729939173,,,,1153529856.0,4163876.0
Mean,0.7262582583333334,,,,1168923955.2,3113388.533333333
Std,0.0033192619196822145,,,,400524783.05565053,928314.2982587931
