Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.7236036416352858,,,,787884544.0,2865188.0
2,0.7246439390840845,,,,1410615296.0,3381540.0
3,0.7305182259237366,,,,1059117056.0,2983332.0
4,0.7255802755690056,,,,947487232.0,1901476.0
5,0.7255105366314799,,,,1347107328.0,2688164.0
6,0.7254863312675736,,,,975819264.0,2122916.0
7,0.7248911267254992,,,,950098432.0,1921828.0
8,0.7167798781537686,,,,836620800.0,1678884.0
9,0.7305182259237366,,,,1059117056.0,2983332.0
10,0.7280251351992,,,,1099592192.0,3090084.0
11,0.7180952095269418,,,,579084800.0,2187044.0
12,0.7237983980497056,,,,1472962560.0,3315492.0
13,0.7266501403189868,,,,1008867328.0,3156004.0
14,0.7266617514730707,,,,1122113536.0,3597988.0
15,0.7267440846204188,,,,980535296.0,2934564.0
16,0.7255667383687983,,,,1199400960.0,3486116.0
17,0.7263238455375408,,,,961650688.0,2344228.0
18,0.7305182259237366,,,,1059117056.0,2983332.0
19,0.7289027234856188,,,,1044953600.0,2540580.0
20,0.7266501403189868,,,,1008867328.0,3156004.0
21,0.7274246603798835,,,,1029756928.0,3196708.0
22,0.7247636164146648,,,,838113792.0,3135012.0
23,0.7265479082669226,,,,2362165760.0,2823844.0
24,0.7297955533062426,,,,2490771456.0,5424676.0
25,0.7255802755690056,,,,947487232.0,1901476.0
26,0.7307800078984849,,,,1244554240.0,5778084.0
27,0.7304753963375735,,,,1641191424.0,3839652.0
28,0.7218554654940595,,,,980664320.0,3447076.0
29,0.7251171210490058,,,,1468471296.0,4373156.0
30,0.7299391726108688,,,,1153529856.0,4163876.0
Mean,0.7262582583687963,,,,1168923955.2,3113388.533333333
Std,0.003319261950417713,,,,400524783.05565053,928314.2982587931
