Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.7219802437979675,,,,1436068352.0,4917796.0
2,0.7220371620083621,,,,683484672.0,2663844.0
3,0.7224738839780682,,,,768621056.0,2473124.0
4,0.7227193828879757,,,,1727522816.0,5249188.0
5,0.7195527682039805,,,,1027631104.0,2829860.0
6,0.7227455305508483,,,,1562685952.0,3221924.0
7,0.7255357316814031,,,,2389463552.0,4269732.0
8,0.7260938069777026,,,,1051425792.0,2754852.0
9,0.722415579131606,,,,1524472320.0,3749412.0
10,0.7207270406700906,,,,856686592.0,3445156.0
11,0.7245638017252216,,,,1553262592.0,3660196.0
12,0.7162951373779066,,,,764138496.0,2814372.0
13,0.7194292842582987,,,,896735232.0,2824484.0
14,0.7194571839530635,,,,854546944.0,1847588.0
15,0.7248911267254992,,,,950098432.0,1921828.0
16,0.7172743199017523,,,,527430144.0,1717156.0
17,0.7278865683586792,,,,3122026496.0,4218148.0
18,0.7253365379888344,,,,2057494528.0,6076708.0
19,0.7198224651924634,,,,1083106816.0,2979876.0
20,0.7274605738648533,,,,3231942656.0,5508388.0
21,0.7230345325501216,,,,1318117376.0,5039908.0
22,0.7192738465166743,,,,1398153728.0,3344548.0
23,0.7270910952677733,,,,1444585984.0,3544484.0
24,0.7189619969531265,,,,994576384.0,4181668.0
25,0.7216695000375425,,,,1514111488.0,4097572.0
26,0.721875103519456,,,,1359976960.0,3226276.0
27,0.7168780117630081,,,,807279104.0,1755172.0
28,0.7213143381957684,,,,904300544.0,2615716.0
29,0.7243189944743575,,,,2784905728.0,4452260.0
30,0.7208864039589415,,,,804655616.0,1914660.0
Mean,0.7221333984157116,,,,1379983581.8666666,3443863.2
Std,0.0030448556266896745,,,,693747348.8474743,1152098.0520523533
