Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.7332796863687141,,,,5414667264.0,10657828.0
2,0.7357149326919862,,,,5047371776.0,6134692.0
3,0.7276103998514177,,,,2828670976.0,6430244.0
4,0.7294483156717886,,,,2769135104.0,7018916.0
5,0.7263036233222112,,,,2726618112.0,7043620.0
6,0.7377586079993568,,,,5164730368.0,7150244.0
7,0.7331940097318339,,,,3387723776.0,6241188.0
8,0.7285163505724597,,,,1576767488.0,5367844.0
9,0.7336931720250538,,,,4621209600.0,8461860.0
10,0.7350143488568782,,,,2923794944.0,6445732.0
11,0.7317193318008093,,,,4925133312.0,6545700.0
12,0.7343513475311281,,,,5972307968.0,10215460.0
13,0.7297334264691095,,,,6773105664.0,10706596.0
14,0.727240554019723,,,,2161026560.0,7760420.0
15,0.7273534750558037,,,,3148801024.0,9723684.0
16,0.7351854841453811,,,,6958813184.0,9186724.0
17,0.7363786020239541,,,,5468254208.0,10436644.0
18,0.7296449199463326,,,,2995936256.0,8210468.0
19,0.7317942639914109,,,,3780125696.0,9321764.0
20,0.7352563339953352,,,,5414465536.0,9125924.0
21,0.7308164252473116,,,,2485834752.0,6339748.0
22,0.7276373930025953,,,,2400183808.0,6309540.0
23,0.7288669194458988,,,,1792960000.0,7177380.0
24,0.7312178447714927,,,,4103660544.0,8232484.0
25,0.7250049617072423,,,,2353610752.0,7759524.0
26,0.7255665514968945,,,,2175190016.0,8203172.0
27,0.7378344775402003,,,,6075242496.0,8363940.0
28,0.7231587239744633,,,,3504455168.0,5429284.0
29,0.7342448851464335,,,,5255020544.0,7757092.0
30,0.737120356529777,,,,4354594816.0,6712100.0
Mean,0.7313553241644332,,,,3951980390.4,7815660.533333333
Std,0.004020870071740569,,,,1519019462.9451115,1526682.812004199
