Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.7246768628959748,,,,789510656.0,2513828.0
2,0.7251526774640499,,,,949238272.0,1968164.0
3,0.7213591327254855,,,,1024064000.0,2499876.0
4,0.7201867806433431,,,,1311997952.0,3145380.0
5,0.7248911267254992,,,,950098432.0,1921828.0
6,0.723151430729232,,,,884189696.0,3895204.0
7,0.7276668839051326,,,,903538688.0,3104676.0
8,0.7267440846204188,,,,980535296.0,2934564.0
9,0.7207541578215619,,,,782473728.0,1720740.0
10,0.717913296495206,,,,691567104.0,2337188.0
11,0.721395681906436,,,,1258813952.0,2258212.0
12,0.7237238424990656,,,,936796672.0,1790372.0
13,0.7227051817076887,,,,929554432.0,2647076.0
14,0.7145403454085005,,,,1108492800.0,2125988.0
15,0.7161055529160908,,,,826013696.0,3842468.0
16,0.7213348452609527,,,,1054468096.0,2970916.0
17,0.7270635051466641,,,,1790367744.0,5183268.0
18,0.7231056002276334,,,,1401868800.0,2291492.0
19,0.721035406481043,,,,1073630208.0,2957988.0
20,0.721049834067611,,,,1230291456.0,2905508.0
21,0.7229563301227762,,,,1179668992.0,3082916.0
22,0.7300708813626768,,,,2301112320.0,6576932.0
23,0.7190527652433691,,,,1256935424.0,3200676.0
24,0.7239199220232402,,,,1058054656.0,3109796.0
25,0.7334083856068948,,,,1315567616.0,3261604.0
26,0.7235198345525424,,,,884633600.0,2514084.0
27,0.724119480409256,,,,868235264.0,2610468.0
28,0.7137975695309092,,,,946479104.0,3874980.0
29,0.7232765242495414,,,,815473152.0,2536100.0
30,0.7252021915783695,,,,1111808512.0,3238436.0
Mean,0.7227960038109058,,,,1087182677.3333333,2967357.6
Std,0.00409168797499537,,,,317523249.1569107,980385.354749638
