Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.734728528166115,,,,3065374720.0,7882788.0
2,0.7349376937178491,,,,5240350720.0,7249316.0
3,0.7374369250636952,,,,4411248640.0,8384036.0
4,0.7367075883474232,,,,4475114496.0,7727652.0
5,0.7406209399277479,,,,6255659008.0,9724196.0
6,0.738358926042944,,,,6043795456.0,8904740.0
7,0.7290241163970013,,,,3930826752.0,6302244.0
8,0.727764876575777,,,,1842765824.0,4523300.0
9,0.7304979432344572,,,,3849089024.0,11366692.0
10,0.7330871592455709,,,,4580562944.0,6601508.0
11,0.7335367266641039,,,,4780794880.0,10108452.0
12,0.7289297818329118,,,,3728207872.0,9571364.0
13,0.7364109588007112,,,,5536897024.0,6781988.0
14,0.7405160478704561,,,,6291320832.0,10838820.0
15,0.7373377689843864,,,,3372615680.0,6274852.0
16,0.7295393929850488,,,,3713410560.0,8874916.0
17,0.7311872420419014,,,,5653581824.0,8757028.0
18,0.7291889442506132,,,,1132640256.0,4123172.0
19,0.7318302737957696,,,,4407013376.0,6581284.0
20,0.7350701369501866,,,,3949465600.0,8446628.0
21,0.73596362651201,,,,7885074432.0,11592228.0
22,0.7322805728918497,,,,4025004032.0,9036964.0
23,0.7369507578071797,,,,5705918464.0,8207396.0
24,0.7282649727148889,,,,2420213248.0,8169252.0
25,0.7345872247339458,,,,3620284416.0,6088740.0
26,0.7357579188254134,,,,2937958400.0,6888484.0
27,0.7344915266377232,,,,4846972928.0,9912356.0
28,0.7418710821761785,,,,1563545600.0,5297956.0
29,0.7340489238067052,,,,4125913088.0,9055780.0
30,0.7383835714809395,,,,4621004800.0,10022948.0
Mean,0.7343104049493833,,,,4267087496.5333333,8109902.666666667
Std,0.0037975178121609477,,,,1456863205.4610085,1876225.8065454226
