Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.7336418405400422,,,,4948119552.0,8646180.0
2,0.7293082475209239,,,,6885026816.0,8207396.0
3,0.7320263860347239,,,,3629246464.0,7150244.0
4,0.7321776382612543,,,,4315431936.0,9764644.0
5,0.7406209399277479,,,,6255659008.0,9724196.0
6,0.7378983304447838,,,,4150996992.0,9768612.0
7,0.7348139123209567,,,,4612329472.0,9440420.0
8,0.7317293026689853,,,,1967556096.0,7253668.0
9,0.730972448370061,,,,5547421696.0,8786340.0
10,0.7314812767293575,,,,2827407872.0,6257572.0
11,0.7405160478704561,,,,6291320832.0,10838820.0
12,0.7327520480447256,,,,2413988864.0,7538852.0
13,0.7352262091656969,,,,5292789760.0,8888228.0
14,0.7341565636988957,,,,1614267392.0,7292324.0
15,0.7284117280482154,,,,3624712192.0,8191780.0
16,0.7388830164943684,,,,1975078912.0,5499044.0
17,0.7350064409564945,,,,2538324992.0,7743908.0
18,0.7315939125431814,,,,4863325184.0,7102372.0
19,0.7373600244135441,,,,3217779200.0,5065636.0
20,0.7305142392065426,,,,2948270080.0,7043876.0
21,0.731128466327358,,,,3629969408.0,9317924.0
22,0.7363051002021878,,,,4209184768.0,9243428.0
23,0.7361488004814069,,,,4727790592.0,7719972.0
24,0.741285405481414,,,,6163261440.0,9100836.0
25,0.733078253188572,,,,3650912256.0,7981476.0
26,0.7340025935765918,,,,2954735616.0,7412772.0
27,0.734489279690652,,,,4338455040.0,7191716.0
28,0.7336220383401065,,,,3095709696.0,4566564.0
29,0.7344941482473384,,,,2260373504.0,6056356.0
30,0.7350701369501866,,,,3949465600.0,8446628.0
Mean,0.7342904925248923,,,,3963297041.0666666,7908059.466666667
Std,0.0032245008259607685,,,,1382511514.861663,1460780.992108439
