Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.7228703275792245,,,,912486912.0,2345124.0
2,0.7202357516930236,,,,1117948928.0,2845348.0
3,0.7224372287907297,,,,1306305024.0,2159780.0
4,0.7273051847115507,,,,1185124864.0,4529956.0
5,0.7272786835426613,,,,3243625472.0,6717604.0
6,0.722737017367788,,,,938070528.0,1828004.0
7,0.7292911395754043,,,,1345500160.0,4987300.0
8,0.7236559009874866,,,,1435557888.0,3991332.0
9,0.7250151241682333,,,,1166260736.0,2036260.0
10,0.7214667685663207,,,,2072641536.0,3868324.0
11,0.719450711395014,,,,839148032.0,1942180.0
12,0.7210496381884655,,,,982276608.0,2565924.0
13,0.7234934841261527,,,,997087744.0,2517412.0
14,0.7198217890063299,,,,1031757824.0,2179108.0
15,0.7198091328192187,,,,979182080.0,1911076.0
16,0.7253280984109499,,,,895842816.0,1942308.0
17,0.7193315638987602,,,,1273360896.0,2925732.0
18,0.7222960552417341,,,,1343856640.0,3175716.0
19,0.727634992686303,,,,1290473984.0,4581540.0
20,0.721412846153676,,,,810752000.0,3274020.0
21,0.7219399358322431,,,,1026224128.0,3296420.0
22,0.7293424170235027,,,,1111556096.0,4622244.0
23,0.7256377786943757,,,,2893457920.0,4032164.0
24,0.7232931241845459,,,,831732224.0,1663524.0
25,0.7245977469236146,,,,786133504.0,2798500.0
26,0.7277972525961123,,,,1500723200.0,5544484.0
27,0.7258198171320938,,,,994689024.0,3265956.0
28,0.7243600876770202,,,,714283008.0,3011876.0
29,0.7237640283094748,,,,1562008064.0,2359844.0
30,0.7267440846204188,,,,980535296.0,2934564.0
Mean,0.7238405903967475,,,,1252286771.2,3195120.8
Std,0.002879664332477775,,,,560886398.3738041,1209253.0705188885
