Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.7278090193743543,,,,1053147648.0,2577060.0
2,0.7215342456055783,,,,1248254464.0,2257700.0
3,0.7208481894095151,,,,987547648.0,2728356.0
4,0.7220663055988572,,,,1182908416.0,3415588.0
5,0.729469564098673,,,,2459693568.0,3297060.0
6,0.7177546769863428,,,,819625984.0,3857316.0
7,0.7201463327965699,,,,993067520.0,1882404.0
8,0.7262228965229166,,,,1637564928.0,2834980.0
9,0.7266566300778198,,,,4526246400.0,5651236.0
10,0.7267440846204188,,,,980535296.0,2934564.0
11,0.7180899785011567,,,,747731968.0,2564900.0
12,0.7217211612912566,,,,1685800960.0,3675428.0
13,0.7255287475633723,,,,989982720.0,2565668.0
14,0.7220639030203468,,,,1160142848.0,2921380.0
15,0.7207002590730333,,,,964333568.0,6509348.0
16,0.7165812231989637,,,,804913664.0,1770532.0
17,0.7213317434084977,,,,1687318528.0,3093668.0
18,0.7221709467935176,,,,1015685120.0,3131044.0
19,0.7292597406907342,,,,3331107328.0,4500644.0
20,0.7213348452609527,,,,922773504.0,2934180.0
21,0.7259949304374794,,,,1629329920.0,2798372.0
22,0.7242827409776569,,,,781391872.0,3044644.0
23,0.7247842666109274,,,,1840850944.0,5126948.0
24,0.7177625619615814,,,,1029470720.0,1852068.0
25,0.720464097922721,,,,1161893888.0,2988068.0
26,0.7242888421907439,,,,1855791616.0,3261348.0
27,0.7185491986773552,,,,865505792.0,3711780.0
28,0.7195682325684034,,,,857079808.0,2210212.0
29,0.7114992480505341,,,,732682752.0,1900964.0
30,0.7199150210955402,,,,822014464.0,1861284.0
Mean,0.7221714544795274,,,,1359146461.8666666,3128624.8
Std,0.003971123944032855,,,,812337214.8524741,1097728.6748007876
