Execution,Accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,FLOPs,Num_Params
1,0.732771790417418,,,,4609217536.0,9281316.0
2,0.7383835714809395,,,,4621004800.0,10022948.0
3,0.7378704728443888,,,,4478863872.0,7350948.0
4,0.7295826736305043,,,,2694352896.0,6752548.0
5,0.7372685167154309,,,,2126791680.0,7542820.0
6,0.7378704728443888,,,,4478863872.0,7350948.0
7,0.7373600244135441,,,,3217779200.0,5065636.0
8,0.7408464884347216,,,,1639084032.0,5888292.0
9,0.7362646612689133,,,,2877940736.0,8149412.0
10,0.736713109627367,,,,4344646144.0,6302372.0
11,0.7302221605851243,,,,2499254272.0,7223972.0
12,0.732639117174527,,,,2422981632.0,6842788.0
13,0.7364733416695121,,,,4406808576.0,9340068.0
14,0.7392417301740434,,,,6045902848.0,8085284.0
15,0.7346746411185539,,,,4906422272.0,9584164.0
16,0.7311193819969498,,,,3162445824.0,8077092.0
17,0.7376443819051649,,,,5468254208.0,10436644.0
18,0.7354856210794519,,,,5435254784.0,7842212.0
19,0.73336650884952,,,,3752102400.0,6012708.0
20,0.7301202598726785,,,,4057123840.0,7871268.0
21,0.7353308954250632,,,,4672029696.0,9207076.0
22,0.737103056066034,,,,2058637312.0,5539748.0
23,0.7378704728443888,,,,4478863872.0,7350948.0
24,0.7373437758532231,,,,7337306112.0,10093732.0
25,0.738686428119191,,,,6066884608.0,8298788.0
26,0.7376443819051649,,,,5468254208.0,10436644.0
27,0.7366580966673024,,,,4998819840.0,10207524.0
28,0.7364733416695121,,,,4406808576.0,9340068.0
29,0.7370450399656238,,,,5464024064.0,9391652.0
30,0.7278094252260224,,,,3570941952.0,7395364.0
Mean,0.7355961279948224,,,,4192255522.133333,8076166.133333334
Std,0.0031522644466765197,,,,1332710913.0358799,1501580.929309456
