ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,Was_invalid,arch_status,Trained_Completely,Has_CM,Confusion_matrix,cm_accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,Ranking,NSGA2,HHSE,Objectives,RAM,Improved
BZKNZD[M],42,1,1,1,0.0333333333333333,True,True,"[18, 45, 13, 38, 20, 46, 46, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPAR,GA,,,,0.6963983898649598,,,,1973785600,5640612,,,,,,,,0.25,0.75,0.125,0,0.0333333333333333,,,,,0.215,0.36,,BEST,False,False,,,,,,389,False,False,,39.2,NONE
BHUKAC[M],42,1,2,2,0.0666666666666666,True,True,"[2, 6, 14, 38, 35, 21, 54, 52]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPAR,GA,,,,0.700944401556455,,,,868621824,3532452,,,,,,,,0.625,0.375,0.125,7,0.0666666666666666,,,,,0.265,0.3075,,BEST,False,False,,,,,,362,False,False,,39.3,SPC_MPAR
BHUKAC[M],42,1,3,2,0.1,True,True,"[2, 6, 14, 38, 35, 21, 54, 52]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPAR,GA,,,,0.700944401556455,,,,868621824,3532452,,,,,,,,0.625,0.375,0.125,0,0.0666666666666666,,,,,0.2533333333333333,0.285,,BEST,False,False,,,,,,362,False,False,,39.2,NONE
BLITQU[M],42,1,4,4,0.1333333333333333,True,True,"[18, 46, 14, 38, 20, 46, 46, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPAR,GA,,,,0.7034173711933133,,,,1853494272,5748132,,,,,,,,1.0,0.0,0.25,6,0.1333333333333333,,,,,0.26625,0.26625,,BEST,False,False,,,,,,341,False,False,,39.3,SPC_MPAR
BKJOXV[M],42,1,5,5,0.1666666666666666,True,True,"[14, 22, 4, 39, 46, 14, 60, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPAR,GA,,,,0.7110497446022391,,,,1667977216,5082020,,,,,,,,0.5,0.5,0.25,8,0.1666666666666666,,,,,0.266,0.25,,BEST,False,False,,,,,,281,False,False,,39.3,SPC_MPAR
BKNZCK[M],42,1,6,6,0.2,True,True,"[55, 46, 61, 39, 22, 38, 39, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPAR,GA,,,,0.7113952513295967,,,,7923733504,10592036,,,,,,,,0.375,0.625,0.0,7,0.2,,,,,0.2708333333333333,0.2341666666666666,,BEST,False,False,,,,,,278,False,False,,39.2,SPC_MPAR
BKNZCK[M],42,1,7,6,0.2333333333333333,False,False,"[55, 46, 61, 39, 22, 38, 39, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPAR,GA,,,,0.7113952513295967,,,,7923733504,10592036,,,,,,,,0.375,0.625,0.0,0,0.2,,,,,0.2671428571428571,0.2271428571428571,,BEST,False,False,,,,,,278,False,False,,39.2,NONE
BKNZCK[M],42,1,8,6,0.2666666666666666,False,False,"[55, 46, 61, 39, 22, 38, 39, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPAR,GA,,,,0.7113952513295967,,,,7923733504,10592036,,,,,,,,0.375,0.625,0.0,0,0.2,,,,,0.263125,0.215,,BEST,False,False,,,,,,278,False,False,,39.1,NONE
BLYXQH[M],42,1,9,9,0.3,True,True,"[14, 28, 44, 38, 22, 47, 43, 54]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPAR,GA,,,,0.7138773118661712,,,,2069583872,5340068,,,,,,,,0.5,0.375,0.0,7,0.3,,,,,0.265,0.2083333333333333,,BEST,False,False,,,,,,259,False,False,,39.3,SPC_MPAR
BUINJN[M],42,1,10,10,0.3333333333333333,True,True,"[22, 35, 55, 62, 21, 47, 46, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPAR,GA,,,,0.715382830711336,,,,3774149632,9661220,,,,,,,,0.5,0.375,0.125,7,0.3333333333333333,,,,,0.2575,0.202,,BEST,False,False,,,,,,243,False,False,,39.2,SPC_MPAR
BNVKJW[M],42,1,11,11,0.3666666666666666,True,True,"[23, 36, 55, 39, 22, 47, 43, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPAR,GA,,,,0.7167706345852334,,,,3727153152,8718628,,,,,,,,0.375,0.625,0.125,5,0.3666666666666666,,,,,0.2540909090909091,0.1940909090909091,,BEST,False,False,,,,,,221,False,False,,39.2,SPC_MPAR
BNVKJW[M],42,1,12,11,0.4,True,True,"[23, 36, 55, 39, 22, 47, 43, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPAR,GA,,,,0.7167706345852334,,,,3727153152,8718628,,,,,,,,0.375,0.625,0.125,0,0.3666666666666666,,,,,0.25625,0.1858333333333333,,BEST,False,False,,,,,,221,False,False,,39.2,NONE
BSKHNL[M],42,1,13,13,0.4333333333333333,True,True,"[22, 36, 15, 38, 22, 47, 38, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPAR,GA,,,,0.7181337966381531,,,,2089268224,6314148,,,,,,,,0.375,0.25,0.125,4,0.4333333333333333,,,,,0.2546153846153846,0.1815384615384615,,BEST,False,False,,,,,,202,False,False,,39.2,SPC_MPAR
BSKHNL[M],42,1,14,13,0.4666666666666667,False,False,"[22, 36, 15, 38, 22, 47, 38, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPAR,GA,,,,0.7181337966381531,,,,2089268224,6314148,,,,,,,,0.375,0.25,0.125,0,0.4333333333333333,,,,,0.2567857142857143,0.1714285714285714,,BEST,False,False,,,,,,202,False,False,,39.2,NONE
BILBAK[M],42,1,15,15,0.5,True,True,"[22, 36, 55, 62, 36, 47, 39, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPAR,GA,,,,0.7282193677247075,,,,3744351232,9841956,,,,,,,,0.5,0.375,0.0,4,0.5,,,,,0.2533333333333333,0.1646666666666666,,BEST,False,False,,,,,,68,False,False,,39.2,SPC_MPAR
BILBAK[M],42,1,16,15,0.5333333333333333,False,False,"[22, 36, 55, 62, 36, 47, 39, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPAR,GA,,,,0.7282193677247075,,,,3744351232,9841956,,,,,,,,0.5,0.375,0.0,0,0.5,,,,,0.251875,0.15875,,BEST,False,False,,,,,,68,False,False,,39.2,NONE
BFXYHA[M],42,1,17,17,0.5666666666666667,True,True,"[22, 36, 55, 62, 36, 47, 38, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPAR,GA,,,,0.7284159451708669,,,,3727574016,9317668,,,,,,,,0.25,0.125,0.0,1,0.5666666666666667,,,,,0.2514705882352941,0.1529411764705882,,BEST,False,False,,,,,,66,False,False,,39.2,NONE
BFXYHA[M],42,1,18,17,0.6,False,False,"[22, 36, 55, 62, 36, 47, 38, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPAR,GA,,,,0.7284159451708669,,,,3727574016,9317668,,,,,,,,0.25,0.125,0.0,0,0.5666666666666667,,,,,0.2461111111111111,0.1475,,BEST,False,False,,,,,,66,False,False,,39.1,NONE
