ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,Was_invalid,arch_status,Trained_Completely,Has_CM,Confusion_matrix,cm_accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,Ranking,NSGA2,HHSE,Objectives,RAM,Improved
BHXGHX[M],42,1,30,26,1.0,False,False,"[62, 39, 55, 38, 46, 62, 38, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,SUCCMUT,GA,,,,0.7402275324226083,,,,6238881792,9199908,,,,,,,,0.125,0.125,0.0,0,0.8666666666666667,,,,,0,0,,BEST,False,False,,,,,,4,False,True,,42.9,NONE
BDMEQL[M],43,2,30,30,1.0,True,True,"[14, 36, 47, 23, 46, 47, 6, 12]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,SUCCMUT,GA,,,,0.7319237947443086,,,,2449674752,5519524,,,,,,,,0.375,0.0,0.25,1,1.0,,,,,0,0,,BEST,False,False,,,,,,63,False,True,,42.5,NONE
BTVGFJ[M],44,3,30,25,1.0,False,False,"[14, 39, 43, 23, 46, 47, 38, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,SUCCMUT,GA,,,,0.7347393708943376,,,,3680774144,6385060,,,,,,,,0.375,0.375,0.0,0,0.8333333333333334,,,,,0,0,,BEST,False,False,,,,,,45,False,True,,42.0,NONE
BDRZCR[M],45,4,30,30,1.0,True,True,"[62, 39, 55, 38, 46, 62, 55, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,SUCCMUT,GA,,,,0.7405160478704561,,,,6291320832,10838820,,,,,,,,0.375,0.0,0.125,1,1.0,,,,,0,0,,BEST,False,False,,,,,,2,False,True,,42.1,NONE
BSPADW[M],46,5,30,22,1.0,False,False,"[14, 39, 23, 62, 46, 47, 38, 12]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,SUCCMUT,GA,,,,0.7352328496591872,,,,4352618496,7634468,,,,,,,,0.25,0.375,0.0,0,0.7333333333333333,,,,,0,0,,BEST,False,False,,,,,,38,False,True,,42.0,NONE
BVYZQF[M],47,6,30,29,1.0,True,True,"[22, 39, 55, 38, 46, 38, 55, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,SUCCMUT,GA,,,,0.7374369250636952,,,,4411248640,8384036,,,,,,,,0.25,0.125,0.0,0,0.9666666666666668,,,,,0,0,,BEST,False,False,,,,,,13,False,True,,42.1,NONE
BINKHD[M],48,7,30,29,1.0,False,False,"[14, 36, 7, 23, 46, 62, 39, 12]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,SUCCMUT,GA,,,,0.7375910829423816,,,,2050617344,6089380,,,,,,,,0.25,0.375,0.0,0,0.9666666666666668,,,,,0,0,,BEST,False,False,,,,,,11,False,True,,42.1,NONE
BVIFXS[M],49,8,30,28,1.0,False,False,"[62, 39, 55, 38, 46, 62, 39, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,SUCCMUT,GA,,,,0.7406209399277479,,,,6255659008,9724196,,,,,,,,0.5,0.125,0.0,0,0.9333333333333332,,,,,0,0,,BEST,False,False,,,,,,1,False,True,,42.4,NONE
BISWAU[M],50,9,30,21,1.0,False,False,"[22, 39, 55, 38, 46, 22, 22, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,SUCCMUT,GA,,,,0.733866743195934,,,,4311598080,6154788,,,,,,,,0.375,0.375,0.0,0,0.7,,,,,0,0,,BEST,False,False,,,,,,49,False,True,,43.0,NONE
BDJFXE[M],51,10,30,30,1.0,True,True,"[22, 36, 7, 62, 36, 47, 39, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,SUCCMUT,GA,,,,0.7362646612689133,,,,2877940736,8149412,,,,,,,,0.375,0.375,0.0,2,1.0,,,,,0,0,,BEST,False,False,,,,,,27,False,True,,43.0,UC_MSWAP
BTPJSM[M],52,11,30,27,1.0,False,False,"[14, 36, 53, 23, 46, 62, 55, 12]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,SUCCMUT,GA,,,,0.7303045933946826,,,,2495346688,8003108,,,,,,,,0.25,0.375,0.125,0,0.9,,,,,0,0,,BEST,False,False,,,,,,89,False,True,,43.1,NONE
BPRCLQ[M],53,12,30,30,1.0,True,True,"[22, 39, 55, 62, 46, 47, 38, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,SUCCMUT,GA,,,,0.7375205779072871,,,,5332051968,9432612,,,,,,,,0.25,0.125,0.0,2,1.0,,,,,0,0,,BEST,False,False,,,,,,12,False,True,,44.1,UC_MSWAP
