ID,Seed,Execution,Generation,GenCreation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,Was_invalid,arch_status,Penalization,Trained_Completely,Confusion_matrix,cm_accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro
UJVMB[M],,1,1,1,TRUE,TRUE,"[1, 0, 0, 2, -1, 0, 2, -1, 1, 2, -1, 0, 1, 0, 1, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.20200000703334808, 0.28610000014305115, 0.37860000133514404, 0.37880000472068787, 0.45019999146461487, 0.4133000075817108, 0.4537000060081482, 0.4984999895095825, 0.4779999852180481, 0.4668000042438507, 0.5304999947547913, 0.48510000109672546, 0.48100000619888306, 0.4986000061035156, 0.5070000290870667, 0.5263000130653381, 0.5083000063896179, 0.5116000175476074, 0.5026000142097473, 0.53329998254776]","[2.0913729667663574, 1.8519656658172607, 1.7614541053771973, 1.6811689138412476, 1.5487533807754517, 1.5649075508117676, 1.512359380722046, 1.4557361602783203, 1.4761488437652588, 1.4959322214126587, 1.4170838594436646, 1.4542081356048584, 1.4994332790374756, 1.4407118558883667, 1.4212186336517334, 1.3782695531845093, 1.418932318687439, 1.3998600244522095, 1.4224194288253784, 1.3748297691345215]",0.533299983,,,,,,,,,"[1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 2, -1, 0, 1, 0, 1, 5, 1, 0]",0,0,12,0,2,0,30,,0.066666667,FALSE,WORST,0,TRUE,,0,0,0,0
JMTWI[M][M][M],,1,8,8,TRUE,TRUE,"[1, 0, 0, 2, -1, 1, 2, -1, 1, 2, -1, 0, 2, -1, 0, 1, 0, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.1080000028014183, 0.13570000231266022, 0.14720000326633453, 0.1639000028371811, 0.21690000593662262, 0.2459000051021576, 0.24819999933242798, 0.2750999927520752, 0.2784999907016754, 0.28279998898506165, 0.2858999967575073, 0.2759999930858612, 0.2985000014305115, 0.2833000123500824, 0.29030001163482666, 0.29260000586509705, 0.2838999927043915, 0.298799991607666, 0.28610000014305115, 0.2996000051498413]","[2.75882887840271, 2.638871669769287, 2.4641237258911133, 2.360605001449585, 2.08912992477417, 2.038130760192871, 2.00300931930542, 1.9677634239196777, 1.9582210779190063, 1.9577128887176514, 1.9361484050750732, 1.934419870376587, 1.9108035564422607, 1.9439743757247925, 1.9368412494659424, 1.9158464670181274, 1.9491429328918457, 1.9182888269424438, 1.9444907903671265, 1.9155365228652954]",0.299600005,,,,,,,,,"[1, 0, 0, 1, 2, 1, 2, -1, 1, 2, -1, 0, 1, 0, 1, 2, -1, 0, 5, 1, 0]",0,0,8,0,197,0,240,,0.820833333,FALSE,WORST,0,TRUE,,0,0,0,0
YFOAL[M],,2,1,1,TRUE,TRUE,"[1, 2, 0, 2, -1, 0, 2, -1, 1, 2, -1, 1, 2, -1, 1, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.11959999799728394, 0.1395999938249588, 0.15710000693798065, 0.1956000030040741, 0.17560000717639923, 0.2290000021457672, 0.2459000051021576, 0.26989999413490295, 0.3000999987125397, 0.3057999908924103, 0.328900009393692, 0.35269999504089355, 0.35339999198913574, 0.35580000281333923, 0.36309999227523804, 0.3621000051498413, 0.37560001015663147, 0.375900000333786, 0.38089999556541443, 0.3813000023365021]","[2.527768850326538, 2.572563648223877, 2.5198378562927246, 2.332746744155884, 2.318758964538574, 2.0903069972991943, 2.0494017601013184, 1.9786732196807861, 1.9144150018692017, 1.8945719003677368, 1.8476759195327759, 1.8409353494644165, 1.8226957321166992, 1.8168526887893677, 1.8198347091674805, 1.8094167709350586, 1.7836105823516846, 1.7999999523162842, 1.7838363647460938, 1.7812328338623047]",0.381300002,,,,,,,,,"[1, 2, 0, 1, 2, 1, 1, 1, 1, 1, 3, 0, 1, 0, 1, 1, 1, 1, 5, 1, 0]",0,0,12,0,5,0,30,,0.166666667,FALSE,WORST,0,TRUE,,0,0,0,0
EJCMW[M],,3,1,1,TRUE,TRUE,"[1, 1, 0, 2, -1, 1, 2, -1, 0, 2, -1, 0, 2, -1, 1, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.1088000014424324, 0.12630000710487366, 0.1468999981880188, 0.179299995303154, 0.20839999616146088, 0.21799999475479126, 0.26570001244544983, 0.2930999994277954, 0.3158999979496002, 0.2962999939918518, 0.3301999866962433, 0.31369999051094055, 0.32100000977516174, 0.3287999927997589, 0.3188999891281128, 0.33869999647140503, 0.3402000069618225, 0.3531000018119812, 0.3449000120162964, 0.35179999470710754]","[2.4754624366760254, 2.4773569107055664, 2.36462140083313, 2.181772232055664, 2.087131977081299, 2.0405170917510986, 1.980135202407837, 1.9217510223388672, 1.91214919090271, 1.9219368696212769, 1.8895376920700073, 1.9032009840011597, 1.8928625583648682, 1.8825404644012451, 1.8658747673034668, 1.870267391204834, 1.8587713241577148, 1.85698401927948, 1.8620541095733643, 1.8582053184509277]",0.351799995,,,,,,,,,"[1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 2, 1, 1, 2, 1, 1, 0, 1, 5, 1, 0]",0,0,11,0,4,0,30,,0.133333333,FALSE,WORST,0,TRUE,,0,0,0,0
RBJNB[M],,4,1,1,TRUE,TRUE,"[1, 1, 1, 2, -1, 0, 2, -1, 1, 2, -1, 1, 2, -1, 0, 1, 3, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.10999999940395355, 0.13009999692440033, 0.16419999301433563, 0.20679999887943268, 0.23569999635219574, 0.2734000086784363, 0.2849000096321106, 0.29510000348091125, 0.32739999890327454, 0.35260000824928284, 0.36880001425743103, 0.37070000171661377, 0.36309999227523804, 0.3783000111579895, 0.3894999921321869, 0.3878999948501587, 0.4016999900341034, 0.4034000039100647, 0.4106000065803528, 0.400299996137619]","[3.153754234313965, 2.9463534355163574, 2.5391299724578857, 2.272871971130371, 2.0874826908111572, 1.949981689453125, 1.9192637205123901, 1.889182209968567, 1.8322499990463257, 1.7809380292892456, 1.7610902786254883, 1.7474470138549805, 1.7316772937774658, 1.7332638502120972, 1.710623025894165, 1.722934365272522, 1.687131404876709, 1.6820050477981567, 1.669447660446167, 1.6753138303756714]",0.400299996,,,,,,,,,"[1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 2, -1, 0, 5, 1, 0]",0,0,12,0,1,0,30,,0.033333333,FALSE,WORST,0,TRUE,,0,0,0,0
UTZOZ[M],,5,1,1,TRUE,TRUE,"[1, 0, 0, 2, -1, 0, 2, -1, 0, 2, -1, 1, 2, -1, 0, 2, -1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.11180000007152557, 0.10580000281333923, 0.12359999865293503, 0.1590999960899353, 0.15080000460147858, 0.18880000710487366, 0.22089999914169312, 0.22699999809265137, 0.241799995303154, 0.22779999673366547, 0.24819999933242798, 0.26170000433921814, 0.26030001044273376, 0.2500999867916107, 0.2517000138759613, 0.26600000262260437, 0.27709999680519104, 0.2791000008583069, 0.26570001244544983, 0.2727999985218048]","[2.936035633087158, 2.7889351844787598, 2.616532802581787, 2.33717679977417, 2.274384021759033, 2.1691277027130127, 2.1164538860321045, 2.0736706256866455, 2.0733883380889893, 2.055358648300171, 2.0347506999969482, 2.000868558883667, 1.9914839267730713, 2.0058887004852295, 2.0084149837493896, 1.9903892278671265, 1.9759154319763184, 1.9711430072784424, 1.9821712970733643, 1.963985800743103]",0.272799999,,,,,,,,,"[1, 0, 0, 1, 3, 1, 1, 1, 0, 1, 1, 1, 2, -1, 0, 1, 0, 0, 5, 2, 0]",0,0,10,0,6,0,30,,0.2,FALSE,WORST,0,TRUE,,0,0,0,0
LSFJE[M],,6,1,1,TRUE,TRUE,"[1, 0, 0, 2, -1, 1, 2, -1, 1, 2, -1, 1, 2, -1, 0, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.10589999705553055, 0.12460000067949295, 0.15039999783039093, 0.15520000457763672, 0.1932000070810318, 0.23229999840259552, 0.24500000476837158, 0.2628999948501587, 0.26030001044273376, 0.2766999900341034, 0.27410000562667847, 0.2662000060081482, 0.27639999985694885, 0.28040000796318054, 0.26989999413490295, 0.28929999470710754, 0.28540000319480896, 0.28679999709129333, 0.28130000829696655, 0.287200003862381]","[2.4273128509521484, 2.363287925720215, 2.3238022327423096, 2.1925010681152344, 2.0941126346588135, 2.0514729022979736, 2.03564453125, 1.9950085878372192, 1.9900351762771606, 1.9823275804519653, 1.9758087396621704, 1.9658552408218384, 1.9654603004455566, 1.9606282711029053, 1.9617571830749512, 1.9530044794082642, 1.9455174207687378, 1.9561997652053833, 1.9479986429214478, 1.9347370862960815]",0.287200004,,,,,,,,,"[1, 0, 0, 1, 3, 0, 1, 0, 1, 1, 2, 0, 1, 3, 1, 1, 0, 1, 5, 1, 0]",0,0,13,0,3,0,30,,0.1,FALSE,WORST,0,TRUE,,0,0,0,0
HERYM[M],,7,1,1,TRUE,TRUE,"[1, 1, 0, 2, -1, 0, 2, -1, 0, 2, -1, 1, 2, -1, 1, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.10610000044107437, 0.1274999976158142, 0.13609999418258667, 0.18529999256134033, 0.1923000067472458, 0.2320999950170517, 0.2379000037908554, 0.27489998936653137, 0.29739999771118164, 0.31709998846054077, 0.30820000171661377, 0.3285999894142151, 0.34200000762939453, 0.34150001406669617, 0.334199994802475, 0.3393999934196472, 0.3425000011920929, 0.33809998631477356, 0.34599998593330383, 0.3522000014781952]","[2.60367488861084, 2.565124273300171, 2.4675750732421875, 2.232990026473999, 2.179300546646118, 2.0570387840270996, 2.0326688289642334, 1.9651615619659424, 1.931141972541809, 1.914548397064209, 1.911637544631958, 1.8767257928848267, 1.8744066953659058, 1.876797080039978, 1.8632409572601318, 1.8672746419906616, 1.8547791242599487, 1.85507071018219, 1.8576587438583374, 1.8455859422683716]",0.352200001,,,,,,,,,"[1, 1, 0, 1, 2, 0, 1, 1, 1, 1, 1, 1, 1, 3, 0, 1, 0, 1, 5, 1, 0]",0,0,12,0,1,0,30,,0.033333333,FALSE,WORST,0,TRUE,,0,0,0,0
BJOXF[M],,8,1,1,TRUE,TRUE,"[1, 0, 0, 2, -1, 0, 2, -1, 1, 2, -1, 1, 2, -1, 0, 1, 1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.1062999963760376, 0.1273999959230423, 0.16099999845027924, 0.1712000072002411, 0.2249000072479248, 0.24140000343322754, 0.2669999897480011, 0.27639999985694885, 0.2750999927520752, 0.2702000141143799, 0.2800000011920929, 0.29589998722076416, 0.28630000352859497, 0.2750999927520752, 0.27489998936653137, 0.2827000021934509, 0.28119999170303345, 0.2874000072479248, 0.2840000092983246, 0.28279998898506165]","[2.7862436771392822, 2.684723138809204, 2.3436782360076904, 2.248680830001831, 2.078542947769165, 2.0217576026916504, 1.963034749031067, 1.9778732061386108, 1.9661105871200562, 1.9829946756362915, 1.971749186515808, 1.954270839691162, 1.9394525289535522, 1.9831726551055908, 1.9485557079315186, 1.923048496246338, 1.9686548709869385, 1.9309310913085938, 1.9330378770828247, 1.9415099620819092]",0.282799989,,,,,,,,,"[1, 0, 0, 1, 3, 1, 1, 2, 1, 1, 3, 0, 1, 0, 1, 2, -1, 0, 5, 2, 0]",0,0,14,0,1,0,30,,0.033333333,FALSE,WORST,0,TRUE,,0,0,0,0
NANUF[M][M],,8,4,4,TRUE,TRUE,"[1, 1, 1, 2, -1, 0, 2, -1, 0, 2, -1, 1, 2, -1, 0, 2, -1, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.10400000214576721, 0.11590000241994858, 0.15240000188350677, 0.13459999859333038, 0.1768999993801117, 0.19789999723434448, 0.2207999974489212, 0.22470000386238098, 0.24580000340938568, 0.27970001101493835, 0.2840000092983246, 0.2865999937057495, 0.32170000672340393, 0.33329999446868896, 0.3147999942302704, 0.3386000096797943, 0.3407000005245209, 0.3228999972343445, 0.3199999928474426, 0.3314000070095062]","[3.300086736679077, 3.148458480834961, 2.8639581203460693, 2.7385313510894775, 2.399916410446167, 2.218418836593628, 2.1616506576538086, 2.149550199508667, 2.052245855331421, 2.011223793029785, 1.9666610956192017, 1.9814239740371704, 1.8998545408248901, 1.8807820081710815, 1.9452852010726929, 1.8747353553771973, 1.8590078353881836, 1.8972185850143433, 1.865138292312622, 1.8660653829574585]",0.331400007,,,,,,,,,"[1, 1, 1, 1, 3, 1, 2, -1, 0, 2, -1, 1, 2, -1, 0, 1, 0, 1, 5, 3, 0]",0,0,6,0,86,0,120,,0.716666667,FALSE,WORST,0,TRUE,,0,0,0,0
