ID,Seed,Execution,Generation,GenCreation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,Was_invalid,arch_status,Penalization,Trained_Completely
SISJP,,1,1,1,FALSE,FALSE,"[1, 1, 0, 1, 2, 1, 1, 2, 1, 2, -1, 1, 1, 1, 0, 1, 3, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [128, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.6258999705314636, 0.6790000200271606, 0.6682999730110168, 0.736299991607666, 0.7196999788284302, 0.767300009727478, 0.7663000226020813, 0.7914999723434448, 0.784600019454956, 0.8011000156402588, 0.739799976348877, 0.8194000124931335, 0.8370000123977661, 0.8219000101089478, 0.8120999932289124, 0.8414000272750854, 0.8198999762535095, 0.8213000297546387, 0.8084999918937683, 0.8331999778747559]","[1.0552468299865723, 0.8721781969070435, 0.9732385873794556, 0.7510619759559631, 0.8161641955375671, 0.6709374189376831, 0.6928279995918274, 0.6021876931190491, 0.6215840578079224, 0.5848405361175537, 0.8423367142677307, 0.548514187335968, 0.47003549337387085, 0.5277652144432068, 0.5617769360542297, 0.4731723666191101, 0.536674976348877, 0.5614662766456604, 0.6185807585716248, 0.52101731300354]",0.833199978,,,,,,,,,,-1,-1,-1,2,6,10,10,0.2,0.6,FALSE,BEST,0,TRUE
HTNLS[M],,1,2,2,TRUE,TRUE,"[1, 0, 1, 1, 2, 0, 2, -1, 1, 1, 3, 0, 1, 3, 1, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.5493000149726868, 0.6589000225067139, 0.6895999908447266, 0.7088000178337097, 0.7044000029563904, 0.7358999848365784, 0.6844000220298767, 0.8047000169754028, 0.7797999978065491, 0.7649000287055969, 0.7455999851226807, 0.7601000070571899, 0.8307999968528748, 0.8152999877929688, 0.8327999711036682, 0.8472999930381775, 0.8331999778747559, 0.8263000249862671, 0.8197000026702881, 0.8352000117301941]","[1.2683489322662354, 0.97210693359375, 0.8999477624893188, 0.8559015393257141, 0.8636497855186462, 0.7606003880500793, 0.9679588675498962, 0.5768898129463196, 0.652175784111023, 0.7131818532943726, 0.8254507780075073, 0.7357822060585022, 0.5029866099357605, 0.5420746803283691, 0.48619863390922546, 0.45430517196655273, 0.4880436658859253, 0.5377547144889832, 0.5428362488746643, 0.476194828748703]",0.835200012,,,,,,,,,"[1, 0, 1, 1, 2, 0, 2, -1, 1, 1, 2, 0, 1, 3, 0, 2, -1, 0, 5, 1, 0]",1,1,2,6,11,20,20,0.3,0.55,FALSE,BEST,0,TRUE
IIOXN[M],,1,5,5,TRUE,TRUE,"[1, 3, 0, 1, 3, 0, 2, -1, 0, 1, 3, 0, 1, 3, 1, 1, 1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.5770000219345093, 0.5238000154495239, 0.6492999792098999, 0.7436000108718872, 0.7312999963760376, 0.7856000065803528, 0.8014000058174133, 0.7736999988555908, 0.7307999730110168, 0.8202000260353088, 0.7527999877929688, 0.8057000041007996, 0.8233000040054321, 0.848800003528595, 0.8357999920845032, 0.8435999751091003, 0.8586000204086304, 0.824999988079071, 0.8583999872207642, 0.8626000285148621]","[1.2157058715820312, 1.4794025421142578, 1.0619912147521973, 0.7608257532119751, 0.7764685750007629, 0.6181985139846802, 0.5936880111694336, 0.704919159412384, 0.9124462604522705, 0.5534496307373047, 0.8013543486595154, 0.5999742150306702, 0.530799388885498, 0.4459092319011688, 0.4964112937450409, 0.47035321593284607, 0.4143567383289337, 0.5397799015045166, 0.4530043601989746, 0.4428347051143646]",0.862600029,,,,,,,,,"[1, 3, 0, 1, 3, 0, 2, -1, 0, 1, 3, 0, 1, 3, 1, 1, 1, 0, 5, 1, 0]",6,1,1,14,21,50,50,0.28,0.42,FALSE,BEST,0,TRUE
YTJWB,,2,1,1,FALSE,FALSE,"[1, 3, 0, 1, 2, 0, 1, 3, 0, 1, 1, 1, 2, -1, 0, 1, 3, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.5900999903678894, 0.6391000151634216, 0.7064999938011169, 0.6866000294685364, 0.7319999933242798, 0.7455000281333923, 0.7688999772071838, 0.7300000190734863, 0.7935000061988831, 0.7346000075340271, 0.7883999943733215, 0.8270999789237976, 0.8302000164985657, 0.8281000256538391, 0.8036999702453613, 0.816100001335144, 0.8310999870300293, 0.8334000110626221, 0.8237000107765198, 0.863099992275238]","[1.1515551805496216, 1.0492985248565674, 0.826684296131134, 0.9057808518409729, 0.7738532423973083, 0.7735275626182556, 0.6831979751586914, 0.8369719982147217, 0.6062828302383423, 0.8490757942199707, 0.6483699083328247, 0.5127127766609192, 0.49295252561569214, 0.5087856650352478, 0.6142630577087402, 0.5522109270095825, 0.518751859664917, 0.5352966785430908, 0.5227549076080322, 0.41051143407821655]",0.863099992,,,,,,,,,,-1,-1,-1,3,7,10,10,0.3,0.7,FALSE,BEST,0,TRUE
TNERB[M],,2,2,2,TRUE,TRUE,"[1, 2, 1, 1, 0, 0, 1, 2, 1, 2, -1, 1, 1, 2, 1, 1, 3, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.5116000175476074, 0.5806999802589417, 0.6980999708175659, 0.7663999795913696, 0.6816999912261963, 0.7215999960899353, 0.8001999855041504, 0.7287999987602234, 0.802299976348877, 0.8086000084877014, 0.7638999819755554, 0.8174999952316284, 0.838699996471405, 0.8241000175476074, 0.8144999742507935, 0.8483999967575073, 0.8363999724388123, 0.8169000148773193, 0.8292999863624573, 0.8421000242233276]","[1.4764561653137207, 1.293561577796936, 0.8847760558128357, 0.6804457306861877, 1.0161172151565552, 0.8045743703842163, 0.5575655698776245, 0.8937091827392578, 0.6002045273780823, 0.5610992312431335, 0.7472546696662903, 0.5416494011878967, 0.48670458793640137, 0.5241283178329468, 0.5577051043510437, 0.4710288941860199, 0.4897450804710388, 0.5856014490127563, 0.5281941890716553, 0.5107998251914978]",0.842100024,,,,,,,,,"[1, 2, 1, 1, 0, 0, 1, 2, 1, 2, -1, 1, 1, 2, 1, 1, 3, 0, 5, 3, 0]",1,10,0,7,10,20,20,0.35,0.5,FALSE,BEST,0,TRUE
TOJJQ[M],,2,5,5,TRUE,TRUE,"[1, 3, 0, 1, 3, 0, 1, 3, 0, 1, 1, 1, 1, 2, 0, 1, 3, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.5964999794960022, 0.515500009059906, 0.695900022983551, 0.7315999865531921, 0.6776000261306763, 0.7839000225067139, 0.6615999937057495, 0.805899977684021, 0.7450000047683716, 0.828499972820282, 0.7605999708175659, 0.7799000144004822, 0.804099977016449, 0.8048999905586243, 0.8337000012397766, 0.8468000292778015, 0.8648999929428101, 0.8463000059127808, 0.85589998960495, 0.857200026512146]","[1.1355417966842651, 1.518723964691162, 0.8548073172569275, 0.7980895638465881, 0.9450790286064148, 0.6218935251235962, 1.0413843393325806, 0.5785971879959106, 0.7791881561279297, 0.5093919634819031, 0.7549386024475098, 0.6812332272529602, 0.6025056838989258, 0.5835329294204712, 0.4946815073490143, 0.4682008922100067, 0.40271300077438354, 0.4872210919857025, 0.45266473293304443, 0.44025883078575134]",0.857200027,,,,,,,,,"[1, 3, 0, 1, 2, 0, 1, 3, 0, 1, 1, 1, 1, 2, 0, 1, 3, 0, 5, 3, 0]",2,10,2,11,17,50,50,0.22,0.34,FALSE,BEST,0,TRUE
LXTIN,,3,1,1,FALSE,FALSE,"[1, 0, 1, 1, 3, 1, 1, 2, 1, 2, -1, 0, 1, 1, 0, 1, 3, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.5217999815940857, 0.621399998664856, 0.6840000152587891, 0.7110999822616577, 0.7505000233650208, 0.7315000295639038, 0.689300000667572, 0.7189000248908997, 0.784500002861023, 0.7364000082015991, 0.8102999925613403, 0.7728999853134155, 0.8058000206947327, 0.817799985408783, 0.8169000148773193, 0.8012999892234802, 0.8208000063896179, 0.8331999778747559, 0.8314999938011169, 0.8188999891281128]","[1.335317611694336, 1.1219369173049927, 0.8971234560012817, 0.8524789810180664, 0.7136440873146057, 0.7990090847015381, 0.9409170746803284, 0.8268463015556335, 0.6287992596626282, 0.8270353674888611, 0.5765568017959595, 0.6932265162467957, 0.5777905583381653, 0.5379611849784851, 0.5353586077690125, 0.598197877407074, 0.5595882534980774, 0.5005735158920288, 0.5179036259651184, 0.5596521496772766]",0.818899989,,,,,,,,,,-1,-1,-1,1,4,10,10,0.1,0.4,FALSE,BEST,0,TRUE
CILFG[M],,3,2,2,TRUE,TRUE,"[1, 1, 1, 1, 3, 1, 1, 2, 0, 1, 3, 1, 2, -1, 1, 1, 3, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.4350999891757965, 0.5593000054359436, 0.588699996471405, 0.51910001039505, 0.6463000178337097, 0.6460999846458435, 0.7178000211715698, 0.7749000191688538, 0.7973999977111816, 0.8004999756813049, 0.8294000029563904, 0.8051000237464905, 0.8212000131607056, 0.8270999789237976, 0.804099977016449, 0.8191999793052673, 0.8345999717712402, 0.8220000267028809, 0.8698999881744385, 0.8525999784469604]","[1.886202096939087, 1.4138283729553223, 1.4539231061935425, 1.8163625001907349, 1.1253571510314941, 1.0704134702682495, 0.9089973568916321, 0.6624220013618469, 0.5867301225662231, 0.577465295791626, 0.5076618194580078, 0.5724647045135498, 0.526366651058197, 0.5498221516609192, 0.6195586919784546, 0.5522545576095581, 0.5107727646827698, 0.5566449165344238, 0.4025421738624573, 0.46988940238952637]",0.852599978,,,,,,,,,"[1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 3, 1, 2, -1, 1, 1, 3, 0, 5, 3, 0]",6,4,1,4,8,20,20,0.2,0.4,FALSE,BEST,0,TRUE
ZBUGY[M],,3,3,3,TRUE,TRUE,"[1, 1, 1, 1, 3, 1, 1, 2, 1, 2, -1, 0, 1, 3, 0, 1, 3, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.54830002784729, 0.6769999861717224, 0.6696000099182129, 0.7354999780654907, 0.7416999936103821, 0.7486000061035156, 0.7516999840736389, 0.8003000020980835, 0.7788000106811523, 0.7950999736785889, 0.7968999743461609, 0.8424000144004822, 0.8152999877929688, 0.8180000185966492, 0.8374000191688538, 0.8147000074386597, 0.8331999778747559, 0.8514000177383423, 0.8432000279426575, 0.8611000180244446]","[1.2823740243911743, 0.9415101408958435, 0.9742814302444458, 0.7575795650482178, 0.7151520252227783, 0.766487717628479, 0.7724748253822327, 0.5791441202163696, 0.6629894375801086, 0.6446961760520935, 0.6348260045051575, 0.45730146765708923, 0.5483629107475281, 0.5652941465377808, 0.4970681667327881, 0.604113757610321, 0.5052693486213684, 0.475551575422287, 0.4901060163974762, 0.41195303201675415]",0.861100018,,,,,,,,,"[1, 1, 1, 1, 3, 1, 1, 2, 1, 2, -1, 1, 1, 3, 0, 1, 3, 0, 5, 3, 0]",1,8,1,7,10,30,30,0.233333333,0.333333333,FALSE,BEST,0,TRUE
UUFWF[M],,3,5,5,TRUE,TRUE,"[1, 0, 0, 1, 0, 0, 1, 3, 1, 1, 1, 0, 1, 3, 0, 1, 3, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'CONV': [256, 5]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.517799973487854, 0.5971999764442444, 0.7060999870300293, 0.6599000096321106, 0.7350000143051147, 0.7087000012397766, 0.708899974822998, 0.7892000079154968, 0.739799976348877, 0.7925000190734863, 0.8190000057220459, 0.8043000102043152, 0.7871000170707703, 0.8414999842643738, 0.7678999900817871, 0.8492000102996826, 0.8097000122070312, 0.8382999897003174, 0.8659999966621399, 0.8364999890327454]","[1.4295432567596436, 1.2760322093963623, 0.8666461110115051, 1.024173378944397, 0.768359363079071, 0.9442354440689087, 0.85512775182724, 0.6178482174873352, 0.8258403539657593, 0.6159656643867493, 0.5397395491600037, 0.5955713391304016, 0.6419242024421692, 0.48933935165405273, 0.7341324090957642, 0.4457823634147644, 0.6310932636260986, 0.4874064028263092, 0.4168579578399658, 0.5064184665679932]",0.836499989,,,,,,,,,"[1, 0, 1, 1, 0, 0, 1, 3, 1, 1, 1, 0, 1, 3, 0, 1, 3, 0, 5, 3, 0]",2,5,2,10,17,50,50,0.2,0.34,FALSE,BEST,0,TRUE
