ID,Seed,Execution,Generation,GenCreation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,Was_invalid,arch_status,Penalization,Trained_Completely
SIVFX[M],,1,1,1,TRUE,TRUE,"[1, 0, 1, 1, 3, 0, 1, 3, 0, 1, 2, 1, 1, 2, 1, 1, 0, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [128, 5]}, {'CONV': [128, 5]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.5067999958992004, 0.5705999732017517, 0.6309999823570251, 0.5712000131607056, 0.7164999842643738, 0.6539999842643738, 0.7565000057220459, 0.7434999942779541, 0.7574999928474426, 0.6992999911308289, 0.7623000144958496, 0.8151999711990356, 0.7052000164985657, 0.6887000203132629, 0.7526000142097473, 0.7973999977111816, 0.8497999906539917, 0.8614000082015991, 0.8240000009536743, 0.8515999913215637]","[1.3823809623718262, 1.2515509128570557, 1.0550287961959839, 1.479995608329773, 0.8193984627723694, 1.1396610736846924, 0.6996495127677917, 0.8057640790939331, 0.7411006689071655, 1.025159239768982, 0.7333040237426758, 0.5499178171157837, 0.9656916260719299, 1.040253758430481, 0.7732520699501038, 0.6320083737373352, 0.452914297580719, 0.4048939347267151, 0.5343156456947327, 0.4422004520893097]",0.851599991,,,,,,,,,"[1, 0, 1, 1, 3, 0, 1, 3, 0, 1, 2, 1, 1, 2, 1, 1, 0, 1, 5, 2, 0]",6,4,0,2,4,10,10,0.2,0.4,FALSE,BEST,0,TRUE
KSGOS[M],,1,2,2,TRUE,TRUE,"[1, 1, 1, 1, 3, 1, 1, 0, 1, 1, 1, 0, 1, 3, 1, 2, -1, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.2094999998807907, 0.476500004529953, 0.6467999815940857, 0.6909000277519226, 0.6333000063896179, 0.6722999811172485, 0.6172999739646912, 0.745199978351593, 0.781499981880188, 0.7608000040054321, 0.7009999752044678, 0.7526000142097473, 0.7940999865531921, 0.8129000067710876, 0.705299973487854, 0.7882000207901001, 0.7921000123023987, 0.8238999843597412, 0.8080000281333923, 0.8093000054359436]","[4.186540603637695, 1.6358470916748047, 1.007526159286499, 0.899789571762085, 1.1434423923492432, 1.0091811418533325, 1.3399040699005127, 0.7541624307632446, 0.6442714929580688, 0.7015090584754944, 0.9523061513900757, 0.7331498265266418, 0.6220149397850037, 0.5493927001953125, 1.01688814163208, 0.6413193345069885, 0.6262924671173096, 0.532638669013977, 0.5747988820075989, 0.5716389417648315]",0.809300005,,,,,,,,,"[1, 1, 1, 1, 3, 1, 1, 0, 1, 1, 1, 0, 1, 3, 0, 2, -1, 0, 5, 2, 0]",5,7,1,5,6,20,20,0.25,0.3,FALSE,BEST,0,TRUE
LGRZG[M],,1,3,3,TRUE,TRUE,"[1, 3, 0, 1, 2, 1, 1, 0, 0, 1, 2, 1, 1, 2, 1, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [128, 5]}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.45739999413490295, 0.6636999845504761, 0.5906000137329102, 0.6378999948501587, 0.6869000196456909, 0.7644000053405762, 0.7354999780654907, 0.7716000080108643, 0.7735000252723694, 0.7486000061035156, 0.7046999931335449, 0.7677000164985657, 0.7656999826431274, 0.7918999791145325, 0.7663999795913696, 0.8147000074386597, 0.8181999921798706, 0.7524999976158142, 0.8119999766349792, 0.7760000228881836]","[1.5765997171401978, 0.9406133890151978, 1.3129692077636719, 1.0562130212783813, 0.9292848706245422, 0.6766402721405029, 0.7680826783180237, 0.6488701105117798, 0.669244110584259, 0.7325441241264343, 0.9323080778121948, 0.7049763202667236, 0.7027497291564941, 0.6187307834625244, 0.7430671453475952, 0.5407474040985107, 0.5516304969787598, 0.7372722029685974, 0.560283362865448, 0.701391339302063]",0.776000023,,,,,,,,,"[1, 3, 0, 1, 2, 1, 1, 0, 0, 1, 2, 1, 1, 2, 1, 2, -1, 0, 5, 1, 0]",9,3,0,11,8,30,30,0.366666667,0.266666667,FALSE,BEST,0,TRUE
UPVUB[M],,1,4,4,TRUE,TRUE,"[1, 2, 1, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 2, 1, 2, -1, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [128, 5]}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.5044999718666077, 0.6391000151634216, 0.6527000069618225, 0.6819000244140625, 0.6868000030517578, 0.7857000231742859, 0.6827999949455261, 0.7059999704360962, 0.7821000218391418, 0.7599999904632568, 0.7452999949455261, 0.7684999704360962, 0.7850000262260437, 0.8176000118255615, 0.8220000267028809, 0.8068000078201294, 0.8187000155448914, 0.8220999836921692, 0.8159999847412109, 0.8456000089645386]","[1.408176064491272, 1.0233670473098755, 1.033476710319519, 0.8922131657600403, 0.881110429763794, 0.6121987104415894, 1.0037989616394043, 0.8491804003715515, 0.6263430118560791, 0.720798909664154, 0.7422021627426147, 0.689206600189209, 0.6370664834976196, 0.53639817237854, 0.5227046012878418, 0.5663537979125977, 0.5400066375732422, 0.5309360027313232, 0.5562750697135925, 0.4555513560771942]",0.845600009,,,,,,,,,"[1, 2, 1, 1, 2, 1, 1, 0, 0, 1, 0, 1, 1, 2, 1, 2, -1, 0, 5, 1, 0]",3,3,2,15,14,40,40,0.375,0.35,FALSE,BEST,0,TRUE
DGGOI[M],,1,5,5,TRUE,TRUE,"[1, 0, 1, 1, 3, 0, 1, 3, 0, 1, 0, 1, 1, 2, 1, 2, -1, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [32, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.5425999760627747, 0.5153999924659729, 0.6000999808311462, 0.7113000154495239, 0.5579000115394592, 0.619700014591217, 0.6870999932289124, 0.6678000092506409, 0.7631999850273132, 0.8080999851226807, 0.7445999979972839, 0.7365999817848206, 0.8234999775886536, 0.8119000196456909, 0.8016999959945679, 0.8148999810218811, 0.7943000197410583, 0.8371000289916992, 0.8144000172615051, 0.8198999762535095]","[1.306254506111145, 1.528278112411499, 1.2391502857208252, 0.8558298945426941, 1.377284049987793, 1.244929552078247, 0.9123749732971191, 1.034448504447937, 0.6849473118782043, 0.5788183212280273, 0.7732385993003845, 0.8413023352622986, 0.5083276629447937, 0.5597978830337524, 0.5752378702163696, 0.542515218257904, 0.6212548017501831, 0.48301616311073303, 0.591222882270813, 0.5404093861579895]",0.819899976,,,,,,,,,"[1, 3, 1, 1, 3, 0, 1, 3, 0, 1, 0, 1, 1, 2, 1, 2, -1, 0, 5, 2, 0]",4,2,1,19,18,50,50,0.38,0.36,FALSE,BEST,0,TRUE
VEDGJ,,2,1,1,FALSE,FALSE,"[1, 2, 0, 1, 0, 0, 1, 1, 1, 1, 3, 1, 1, 2, 0, 1, 0, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'CONV': [128, 3]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.5770000219345093, 0.6438999772071838, 0.6126999855041504, 0.6134999990463257, 0.7081999778747559, 0.6897000074386597, 0.7961999773979187, 0.7842000126838684, 0.6883000135421753, 0.6899999976158142, 0.8036999702453613, 0.7764000296592712, 0.7967000007629395, 0.8102999925613403, 0.7896999716758728, 0.8330000042915344, 0.8367000222206116, 0.8201000094413757, 0.8356999754905701, 0.8561000227928162]","[1.174839735031128, 1.0191280841827393, 1.1604819297790527, 1.1879767179489136, 0.85174161195755, 1.0202802419662476, 0.5930819511413574, 0.6442869901657104, 0.9765849709510803, 1.0805433988571167, 0.5868961215019226, 0.6633414030075073, 0.6046476364135742, 0.5605204701423645, 0.6493136286735535, 0.512872040271759, 0.5078627467155457, 0.5578417181968689, 0.5147060751914978, 0.4440031349658966]",0.856100023,,,,,,,,,,-1,-1,-1,1,3,10,10,0.1,0.3,FALSE,BEST,0,TRUE
UYLWX[M],,2,2,2,TRUE,TRUE,"[1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 3, 1, 1, 2, 0, 1, 3, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'CONV': [256, 5]}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.5569999814033508, 0.6685000061988831, 0.6618000268936157, 0.5936999917030334, 0.6603000164031982, 0.715499997138977, 0.7249000072479248, 0.754800021648407, 0.8086000084877014, 0.781499981880188, 0.8130999803543091, 0.6862000226974487, 0.7677000164985657, 0.8442000150680542, 0.8169999718666077, 0.8223999738693237, 0.8313999772071838, 0.836899995803833, 0.8452000021934509, 0.8299000263214111]","[1.200900912284851, 0.9295518398284912, 0.9663781523704529, 1.285544753074646, 1.0051085948944092, 0.8516110181808472, 0.8246282339096069, 0.7143682837486267, 0.5608443021774292, 0.636918306350708, 0.5487958788871765, 1.1044574975967407, 0.7527303099632263, 0.46464803814888, 0.5533874034881592, 0.5287395119667053, 0.5038155913352966, 0.49318909645080566, 0.4636213779449463, 0.5275411009788513]",0.829900026,,,,,,,,,"[1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 3, 1, 1, 2, 0, 1, 3, 0, 5, 1, 0]",7,5,1,3,5,20,20,0.15,0.25,FALSE,BEST,0,TRUE
KNITQ[M],,2,3,3,TRUE,TRUE,"[1, 3, 0, 1, 1, 1, 2, -1, 0, 1, 3, 1, 1, 2, 0, 1, 0, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [128, 3]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.4941999912261963, 0.6608999967575073, 0.5356000065803528, 0.6668000221252441, 0.7398999929428101, 0.6966999769210815, 0.7365999817848206, 0.7504000067710876, 0.638700008392334, 0.7936000227928162, 0.7932000160217285, 0.767300009727478, 0.8346999883651733, 0.8015000224113464, 0.7972000241279602, 0.8240000009536743, 0.8100000023841858, 0.8342000246047974, 0.8129000067710876, 0.7746000289916992]","[1.5277646780014038, 0.9675958752632141, 1.5287089347839355, 1.008239984512329, 0.7522875666618347, 0.9625098705291748, 0.7650899291038513, 0.7445845007896423, 1.1661779880523682, 0.6063123941421509, 0.6060546040534973, 0.7131289839744568, 0.4890526831150055, 0.5923236012458801, 0.5869081020355225, 0.5158868432044983, 0.585161566734314, 0.4988534152507782, 0.5867782831192017, 0.7280914783477783]",0.774600029,,,,,,,,,"[1, 3, 0, 1, 1, 1, 2, -1, 0, 1, 3, 1, 1, 2, 0, 1, 0, 1, 5, 1, 0]",3,7,0,8,8,30,30,0.266666667,0.266666667,FALSE,BEST,0,TRUE
KCAFE[M],,2,4,4,TRUE,TRUE,"[1, 3, 0, 1, 3, 1, 1, 0, 0, 2, -1, 1, 1, 0, 1, 1, 3, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.5130000114440918, 0.588100016117096, 0.6450999975204468, 0.6414999961853027, 0.682200014591217, 0.727400004863739, 0.7570000290870667, 0.7494999766349792, 0.7501999735832214, 0.7063000202178955, 0.7918000221252441, 0.7760999798774719, 0.7648000121116638, 0.7764999866485596, 0.8120999932289124, 0.817300021648407, 0.7215999960899353, 0.8004000186920166, 0.8033000230789185, 0.795799970626831]","[1.4124884605407715, 1.263368844985962, 1.0925573110580444, 1.1439628601074219, 0.9611406326293945, 0.8230913877487183, 0.7057672142982483, 0.7279111742973328, 0.7237879633903503, 0.9572929739952087, 0.5908777117729187, 0.6706091165542603, 0.7058655023574829, 0.6427446007728577, 0.5413993000984192, 0.5433437824249268, 0.9172559380531311, 0.6175415515899658, 0.5999864935874939, 0.6363885998725891]",0.795799971,,,,,,,,,"[1, 3, 0, 1, 3, 1, 1, 0, 0, 2, -1, 0, 1, 3, 1, 1, 3, 0, 5, 2, 0]",3,10,2,10,10,40,40,0.25,0.25,FALSE,BEST,0,TRUE
TVVGQ[M],,2,5,5,TRUE,TRUE,"[1, 1, 1, 1, 2, 0, 1, 2, 1, 1, 2, 1, 1, 2, 0, 1, 3, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'CONV': [128, 5]}, {'CONV': [128, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",UC,MPAR,GA,20,"[0.38580000400543213, 0.6712999939918518, 0.6557999849319458, 0.6556000113487244, 0.7159000039100647, 0.765500009059906, 0.7429999709129333, 0.7990000247955322, 0.7791000008583069, 0.8016999959945679, 0.7947999835014343, 0.7146999835968018, 0.7843999862670898, 0.8141999840736389, 0.8144999742507935, 0.8578000068664551, 0.843500018119812, 0.7283999919891357, 0.8766999840736389, 0.8442999720573425]","[1.8404892683029175, 0.9267085790634155, 1.008145809173584, 1.0353347063064575, 0.7986703515052795, 0.701882541179657, 0.7690898180007935, 0.5803976655006409, 0.6650617122650146, 0.6081475615501404, 0.6220726370811462, 1.0589088201522827, 0.695033073425293, 0.5603792071342468, 0.5663359761238098, 0.44619691371917725, 0.49281537532806396, 0.9424781203269958, 0.3801390528678894, 0.49496644735336304]",0.844299972,,,,,,,,,"[1, 1, 1, 1, 2, 0, 1, 2, 1, 1, 2, 1, 1, 2, 0, 1, 3, 1, 5, 2, 0]",11,2,1,17,14,50,50,0.34,0.28,FALSE,BEST,0,TRUE
