ID,Seed,Execution,Generation,GenCreation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,Was_invalid,arch_status,Penalization,Trained_Completely
RLYLQ[M],,1,1,1,TRUE,TRUE,"[1, 0, 0, 1, 2, 1, 1, 1, 0, 2, -1, 1, 1, 0, 0, 1, 1, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYP,GA,20,"[0.5504000186920166, 0.6394000053405762, 0.6520000100135803, 0.6449000239372253, 0.7178999781608582, 0.7591000199317932, 0.6815999746322632, 0.7685999870300293, 0.6597999930381775, 0.7778000235557556, 0.7781000137329102, 0.8004000186920166, 0.7878999710083008, 0.7731999754905701, 0.7623000144958496, 0.7993000149726868, 0.7268999814987183, 0.8008000254631042, 0.7953000068664551, 0.807200014591217]","[1.3348593711853027, 1.1040852069854736, 1.0041571855545044, 1.097015142440796, 0.8372839689254761, 0.6808733940124512, 0.990882396697998, 0.6802448630332947, 1.0691769123077393, 0.6511213183403015, 0.6496415138244629, 0.5863408446311951, 0.6304100155830383, 0.6896630525588989, 0.7589474320411682, 0.5920343995094299, 0.8629084825515747, 0.6377366781234741, 0.6294554471969604, 0.5912607312202454]",0.807200015,,,,,,,,,"[1, 0, 0, 1, 2, 1, 1, 1, 0, 2, -1, 1, 1, 0, 0, 1, 1, 0, 5, 3, 0]",10,3,0,31,12,100,100,0.31,0.12,FALSE,MEDIAN,0,TRUE
CFCUM,,1,2,1,FALSE,FALSE,"[1, 2, 0, 2, -1, 1, 1, 2, 0, 1, 2, 1, 1, 0, 0, 2, -1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYP,GA,20,"[0.5002999901771545, 0.48899999260902405, 0.5602999925613403, 0.6036999821662903, 0.7186999917030334, 0.6668999791145325, 0.6632999777793884, 0.7167999744415283, 0.6521000266075134, 0.7646999955177307, 0.7293999791145325, 0.7558000087738037, 0.6969000101089478, 0.739799976348877, 0.7196999788284302, 0.7366999983787537, 0.7925999760627747, 0.7530999779701233, 0.7089999914169312, 0.7872999906539917]","[1.4351733922958374, 1.4379178285598755, 1.260911226272583, 1.1725250482559204, 0.7958054542541504, 0.9399155378341675, 0.9600864052772522, 0.804685115814209, 1.029378890991211, 0.6976873278617859, 0.7846219539642334, 0.6963880658149719, 0.8842447400093079, 0.7512567043304443, 0.819730281829834, 0.7926005721092224, 0.6231566071510315, 0.7497600317001343, 0.9968063235282898, 0.6288166642189026]",0.787299991,,,,,,,,,,-1,-1,-1,70,28,200,200,0.35,0.14,FALSE,MEDIAN,0,TRUE
PJNRG[M],,1,3,3,TRUE,TRUE,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 0, 0, 2, -1, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYP,GA,20,"[0.2750000059604645, 0.54830002784729, 0.5771999955177307, 0.5934000015258789, 0.6769999861717224, 0.6736000180244446, 0.642799973487854, 0.7105000019073486, 0.6650999784469604, 0.715399980545044, 0.704800009727478, 0.6952999830245972, 0.7347999811172485, 0.6983000040054321, 0.7458999752998352, 0.7574999928474426, 0.7071999907493591, 0.7688000202178955, 0.6894999742507935, 0.705299973487854]","[2.3780267238616943, 1.251414179801941, 1.1842265129089355, 1.1461424827575684, 0.9175505042076111, 0.9256616234779358, 1.0321459770202637, 0.8209918141365051, 0.9989557862281799, 0.8236818313598633, 0.857384204864502, 0.9002122282981873, 0.7595980763435364, 0.8589376211166382, 0.734807014465332, 0.6940957903862, 0.8620073199272156, 0.6872811317443848, 0.9431447982788086, 0.8770753145217896]",0.705299973,,,,,,,,,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 0, 0, 2, -1, 0, 5, 3, 0]",10,7,0,134,52,300,300,0.446666667,0.173333333,FALSE,MEDIAN,0,TRUE
GGTMP[M],,1,4,1,FALSE,FALSE,"[1, 2, 1, 1, 0, 1, 2, -1, 0, 2, -1, 0, 1, 1, 1, 2, -1, 1, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYP,GA,20,"[0.4131999909877777, 0.44699999690055847, 0.48429998755455017, 0.4797999858856201, 0.6003000140190125, 0.5501999855041504, 0.6694999933242798, 0.5570999979972839, 0.5745000243186951, 0.5616999864578247, 0.6686000227928162, 0.6908000111579895, 0.6919999718666077, 0.6675000190734863, 0.7001000046730042, 0.7001000046730042, 0.6692000031471252, 0.6761999726295471, 0.6531000137329102, 0.609000027179718]","[1.611985445022583, 1.4747596979141235, 1.4204522371292114, 1.4649174213409424, 1.125048279762268, 1.2320165634155273, 0.9303012490272522, 1.210290551185608, 1.1540032625198364, 1.2456105947494507, 0.9350438714027405, 0.8626304864883423, 0.8620163798332214, 0.9214722514152527, 0.8566563725471497, 0.840559184551239, 0.9272514581680298, 0.9143130779266357, 0.9424942135810852, 1.1581498384475708]",0.609000027,,,,,,,,,,-1,-1,-1,203,82,400,400,0.5075,0.205,FALSE,MEDIAN,0,TRUE
ZOBWH[M],,1,5,5,TRUE,TRUE,"[1, 0, 0, 2, -1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 2, -1, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYP,GA,20,"[0.4535999894142151, 0.5928000211715698, 0.5483999848365784, 0.5795000195503235, 0.6349999904632568, 0.5922999978065491, 0.6486999988555908, 0.6165000200271606, 0.7245000004768372, 0.7281000018119812, 0.7088000178337097, 0.7217000126838684, 0.7080000042915344, 0.7617999911308289, 0.6561999917030334, 0.7064999938011169, 0.7171000242233276, 0.6359000205993652, 0.7390999794006348, 0.71670001745224]","[1.617780327796936, 1.1782606840133667, 1.287741780281067, 1.2278354167938232, 1.0112874507904053, 1.2860283851623535, 1.0297034978866577, 1.165818691253662, 0.7767089009284973, 0.7925463914871216, 0.8456653356552124, 0.8080590963363647, 0.882759690284729, 0.6876317262649536, 1.0628975629806519, 0.8411577343940735, 0.8260185718536377, 1.1260697841644287, 0.7706563472747803, 0.8485924601554871]",0.716700017,,,,,,,,,"[1, 0, 0, 2, -1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 2, -1, 1, 5, 2, 0]",10,2,0,279,103,500,500,0.558,0.206,FALSE,MEDIAN,0,TRUE
SJFAL,,2,1,1,FALSE,FALSE,"[1, 2, 1, 1, 2, 1, 2, -1, 1, 1, 0, 1, 1, 0, 1, 1, 2, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYP,GA,20,"[0.43560001254081726, 0.6078000068664551, 0.6559000015258789, 0.6988999843597412, 0.7229999899864197, 0.694599986076355, 0.732200026512146, 0.7706999778747559, 0.743399977684021, 0.7523000240325928, 0.7809000015258789, 0.7578999996185303, 0.8068000078201294, 0.7929999828338623, 0.805400013923645, 0.8019999861717224, 0.7967000007629395, 0.810699999332428, 0.8230999708175659, 0.8129000067710876]","[1.6847575902938843, 1.0996978282928467, 1.0146008729934692, 0.9133854508399963, 0.8127990961074829, 0.9116585850715637, 0.772671103477478, 0.6711806654930115, 0.7629232406616211, 0.7360965609550476, 0.6637347936630249, 0.7358335256576538, 0.5838291049003601, 0.6214019656181335, 0.5794438719749451, 0.5927935838699341, 0.6009148955345154, 0.5673150420188904, 0.5446405410766602, 0.5659036636352539]",0.812900007,,,,,,,,,,-1,-1,-1,27,14,100,100,0.27,0.14,FALSE,MEDIAN,0,TRUE
TJFJP,,2,2,1,FALSE,FALSE,"[1, 2, 0, 2, -1, 0, 1, 3, 0, 1, 3, 0, 2, -1, 1, 1, 2, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYP,GA,20,"[0.5412999987602234, 0.4788999855518341, 0.5667999982833862, 0.6966999769210815, 0.7472000122070312, 0.5250999927520752, 0.6783999800682068, 0.6504999995231628, 0.7587000131607056, 0.6970999836921692, 0.6510999798774719, 0.6940000057220459, 0.7303000092506409, 0.6923999786376953, 0.7723000049591064, 0.7563999891281128, 0.7979999780654907, 0.7954000234603882, 0.8108999729156494, 0.7748000025749207]","[1.3067069053649902, 1.6266374588012695, 1.30861234664917, 0.904137134552002, 0.7313965559005737, 1.7293193340301514, 1.0112329721450806, 1.1720513105392456, 0.7129443287849426, 0.9705541729927063, 1.2978401184082031, 1.1227561235427856, 0.846045970916748, 0.9967535138130188, 0.734367847442627, 0.7577473521232605, 0.6167142391204834, 0.6065865755081177, 0.5698316693305969, 0.7098971009254456]",0.774800003,,,,,,,,,,-1,-1,-1,75,26,200,200,0.375,0.13,FALSE,MEDIAN,0,TRUE
DJYWO[M],,2,3,2,FALSE,FALSE,"[1, 2, 0, 2, -1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 3]}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYP,GA,20,"[0.487199991941452, 0.5163999795913696, 0.4564000070095062, 0.6955000162124634, 0.6491000056266785, 0.6675999760627747, 0.6118000149726868, 0.6654000282287598, 0.65420001745224, 0.6933000087738037, 0.7649999856948853, 0.6830999851226807, 0.746399998664856, 0.7325999736785889, 0.680400013923645, 0.7861999869346619, 0.7717999815940857, 0.742900013923645, 0.7250000238418579, 0.6661999821662903]","[1.4608697891235352, 1.41631281375885, 1.9781662225723267, 0.8596644401550293, 1.0614817142486572, 0.9801597595214844, 1.1970107555389404, 1.0411893129348755, 0.990196704864502, 0.9304808378219604, 0.692722737789154, 0.9624170064926147, 0.7402914762496948, 0.8120831251144409, 1.0726743936538696, 0.6322928667068481, 0.683462381362915, 0.7857683300971985, 0.8707033395767212, 1.0930588245391846]",0.666199982,,,,,,,,,,-1,-1,-1,145,47,300,300,0.483333333,0.156666667,FALSE,MEDIAN,0,TRUE
CBZKK[M],,2,4,3,FALSE,FALSE,"[1, 3, 0, 2, -1, 0, 2, -1, 0, 1, 1, 1, 1, 2, 1, 2, -1, 0, 5, 2, 0]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYP,GA,20,"[0.41280001401901245, 0.588699996471405, 0.5099999904632568, 0.6705999970436096, 0.6381000280380249, 0.6764000058174133, 0.6901000142097473, 0.5956000089645386, 0.6808000206947327, 0.6791999936103821, 0.6739000082015991, 0.70169997215271, 0.7203999757766724, 0.758899986743927, 0.67330002784729, 0.6396999955177307, 0.7681999802589417, 0.7627000212669373, 0.7688000202178955, 0.7764999866485596]","[1.8017170429229736, 1.1710572242736816, 1.5818763971328735, 0.9447960257530212, 1.011255145072937, 0.9084813594818115, 0.8877773284912109, 1.2485402822494507, 0.9314651489257812, 0.9359826445579529, 0.9485872983932495, 0.8283851742744446, 0.7972142100334167, 0.7001919746398926, 0.9812406301498413, 1.1802316904067993, 0.6582366228103638, 0.6948756575584412, 0.6755595207214355, 0.642655074596405]",0.776499987,,,,,,,,,,-1,-1,-1,219,68,400,400,0.5475,0.17,FALSE,MEDIAN,0,TRUE
MPTNV[M],,2,5,4,TRUE,TRUE,"[1, 1, 0, 2, -1, 0, 1, 2, 1, 2, -1, 1, 1, 0, 1, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",SPC,MTYP,GA,20,"[0.3889000117778778, 0.5403000116348267, 0.41339999437332153, 0.626800000667572, 0.5730000138282776, 0.6212000250816345, 0.6654000282287598, 0.6266000270843506, 0.5845999717712402, 0.5286999940872192, 0.704200029373169, 0.7121000289916992, 0.7153000235557556, 0.7023000121116638, 0.6473000049591064, 0.6014000177383423, 0.6330000162124634, 0.7010999917984009, 0.7364000082015991, 0.7355999946594238]","[1.7446463108062744, 1.2543811798095703, 1.8579400777816772, 1.042420744895935, 1.2338764667510986, 1.0765488147735596, 0.9496669769287109, 1.1615862846374512, 1.2547359466552734, 1.408599853515625, 0.8385765552520752, 0.8519347906112671, 0.8166404366493225, 0.8445180654525757, 1.059822678565979, 1.3164153099060059, 1.1860673427581787, 0.8405101299285889, 0.7415751218795776, 0.7739567160606384]",0.735599995,,,,,,,,,"[1, 1, 0, 2, -1, 0, 1, 2, 1, 2, -1, 1, 1, 0, 1, 2, -1, 0, 5, 1, 0]",7,2,0,295,89,500,500,0.59,0.178,FALSE,MEDIAN,0,TRUE
