ID,Seed,Execution,Generation,GenCreation,isChild,isMutant,Integer_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,Was_invalid,arch_status,Penalization,Trained_Completely,Confusion_matrix,cm_accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro
FNEUS[M],,1,1,1,TRUE,TRUE,"[1, 0, 0, 2, -1, 0, 1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 0, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.4438999891281128, 0.5540000200271606, 0.5562999844551086, 0.5145000219345093, 0.5130000114440918, 0.4447000026702881, 0.6129000186920166, 0.6784999966621399, 0.708899974822998, 0.5698000192642212, 0.7089999914169312, 0.6306999921798706, 0.7121999859809875, 0.6880000233650208, 0.7242000102996826, 0.6815000176429749, 0.6370000243186951, 0.7064999938011169, 0.6090999841690063, 0.7204999923706055]","[1.5541013479232788, 1.2379474639892578, 1.2887449264526367, 1.380009412765503, 1.5291415452957153, 1.8214123249053955, 1.1311123371124268, 0.9360947012901306, 0.8408600687980652, 1.3714196681976318, 0.8322991132736206, 1.113222599029541, 0.8401995301246643, 0.8962486386299133, 0.7964379191398621, 0.9744966626167297, 1.099224328994751, 0.8595795035362244, 1.2568124532699585, 0.80693119764328]",0.720499992,,,,,,,,,"[1, 0, 0, 2, -1, 0, 1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 0, 0, 5, 1, 0]",0,0,0,0,4,0,20,,0.2,FALSE,WORST,0,TRUE,,0,0,0,0
FNEUS[M],,1,2,2,TRUE,TRUE,"[1, 0, 0, 2, -1, 0, 2, -1, 1, 1, 0, 0, 2, -1, 0, 1, 0, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.35580000281333923, 0.4496999979019165, 0.44940000772476196, 0.5069000124931335, 0.46650001406669617, 0.4896000027656555, 0.4799000024795532, 0.4171000123023987, 0.48539999127388, 0.5338000059127808, 0.5163999795913696, 0.40849998593330383, 0.44999998807907104, 0.5138000249862671, 0.5188999772071838, 0.5358999967575073, 0.5860000252723694, 0.5819000005722046, 0.5268999934196472, 0.5891000032424927]","[1.788594365119934, 1.4998279809951782, 1.5325579643249512, 1.3510551452636719, 1.5190731287002563, 1.4592533111572266, 1.4979560375213623, 1.8033710718154907, 1.4363433122634888, 1.3155884742736816, 1.394845724105835, 1.7823359966278076, 1.588619351387024, 1.3742125034332275, 1.3574154376983643, 1.2884269952774048, 1.169768214225769, 1.1619101762771606, 1.3180818557739258, 1.1204471588134766]",0.589100003,,,,,,,,,"[1, 0, 0, 2, -1, 0, 1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 0, 0, 5, 1, 0]",0,0,3,0,8,0,40,,0.2,FALSE,WORST,0,TRUE,,0,0,0,0
SGLHX[M][M],,1,3,3,TRUE,TRUE,"[1, 2, 0, 2, -1, 0, 2, -1, 1, 2, -1, 1, 2, -1, 0, 2, -1, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.1160999983549118, 0.14219999313354492, 0.1445000022649765, 0.18150000274181366, 0.22010000050067902, 0.2515000104904175, 0.26980000734329224, 0.28189998865127563, 0.30379998683929443, 0.33000001311302185, 0.33709999918937683, 0.3319999873638153, 0.36719998717308044, 0.3628999888896942, 0.3434000015258789, 0.36500000953674316, 0.38260000944137573, 0.38580000400543213, 0.387800008058548, 0.3889000117778778]","[2.8491439819335938, 2.7471485137939453, 2.65771746635437, 2.402954339981079, 2.2146618366241455, 2.0828895568847656, 1.999545931816101, 1.9479291439056396, 1.9143500328063965, 1.8726935386657715, 1.8538120985031128, 1.851858377456665, 1.8231470584869385, 1.8102785348892212, 1.8375996351242065, 1.820802092552185, 1.7962795495986938, 1.7924175262451172, 1.7840009927749634, 1.7880617380142212]",0.388900012,,,,,,,,,"[1, 2, 0, 2, -1, 0, 2, -1, 1, 1, 3, 0, 2, -1, 0, 2, -1, 0, 5, 3, 0]",0,0,3,0,14,0,60,,0.233333333,FALSE,WORST,0,TRUE,,0,0,0,0
FNEUS[M][M][M],,1,5,5,TRUE,TRUE,"[1, 0, 0, 2, -1, 0, 2, -1, 1, 2, -1, 1, 2, -1, 0, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.1096000000834465, 0.12460000067949295, 0.13189999759197235, 0.16439999639987946, 0.18170000612735748, 0.19429999589920044, 0.23520000278949738, 0.22579999268054962, 0.2565000057220459, 0.2558000087738037, 0.25949999690055847, 0.25839999318122864, 0.2705000042915344, 0.2678000032901764, 0.27129998803138733, 0.2777000069618225, 0.27230000495910645, 0.2712000012397766, 0.27140000462532043, 0.2906999886035919]","[2.3926796913146973, 2.3557047843933105, 2.351600408554077, 2.160606861114502, 2.1070239543914795, 2.075716257095337, 2.03084135055542, 2.031363010406494, 2.0118157863616943, 2.0044074058532715, 1.9998382329940796, 2.01827335357666, 1.9917640686035156, 1.980133056640625, 1.9694007635116577, 1.9857529401779175, 1.971535325050354, 1.9704687595367432, 1.9749587774276733, 1.955942988395691]",0.290699989,,,,,,,,,"[1, 0, 0, 2, -1, 0, 2, -1, 1, 1, 0, 0, 2, -1, 0, 2, -1, 0, 5, 1, 0]",0,0,3,0,26,0,100,,0.26,FALSE,WORST,0,TRUE,,0,0,0,0
FNEUS[M][M][M][M],,1,6,6,TRUE,TRUE,"[1, 0, 0, 2, -1, 0, 2, -1, 0, 2, -1, 1, 2, -1, 0, 2, -1, 0, 5, 1, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.10080000013113022, 0.10819999873638153, 0.12460000067949295, 0.1421000063419342, 0.15559999644756317, 0.16949999332427979, 0.18410000205039978, 0.1988999992609024, 0.22699999809265137, 0.23680000007152557, 0.23440000414848328, 0.2401999980211258, 0.2524999976158142, 0.24500000476837158, 0.26750001311302185, 0.28839999437332153, 0.2660999894142151, 0.29280000925064087, 0.2849999964237213, 0.2818000018596649]","[2.828484058380127, 2.6817822456359863, 2.526014566421509, 2.3370916843414307, 2.2754409313201904, 2.1949706077575684, 2.1372463703155518, 2.1088619232177734, 2.034470558166504, 2.049640417098999, 2.021603584289551, 2.0230019092559814, 1.9978235960006714, 2.0212745666503906, 1.9906742572784424, 1.9724870920181274, 1.9813932180404663, 1.9490623474121094, 1.9517861604690552, 1.9649275541305542]",0.281800002,,,,,,,,,"[1, 0, 0, 2, -1, 0, 2, -1, 0, 2, -1, 1, 2, -1, 0, 1, 0, 0, 5, 1, 0]",0,0,2,0,35,0,120,,0.291666667,FALSE,WORST,0,TRUE,,0,0,0,0
PEEMB[M],,2,1,1,TRUE,TRUE,"[1, 0, 0, 2, -1, 0, 1, 2, 1, 2, -1, 0, 2, -1, 1, 1, 2, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.4025999903678894, 0.388700008392334, 0.4456000030040741, 0.2849999964237213, 0.45719999074935913, 0.5210999846458435, 0.6463000178337097, 0.6520000100135803, 0.6039999723434448, 0.5475000143051147, 0.6172000169754028, 0.5239999890327454, 0.554099977016449, 0.6093000173568726, 0.6215999722480774, 0.6845999956130981, 0.6976000070571899, 0.6696000099182129, 0.6787999868392944, 0.7141000032424927]","[1.6960960626602173, 2.049405097961426, 1.669323205947876, 2.6465609073638916, 1.6173721551895142, 1.4297432899475098, 1.0065598487854004, 0.98214191198349, 1.1746898889541626, 1.409193992614746, 1.1195417642593384, 1.384277582168579, 1.4337847232818604, 1.095337986946106, 1.1939752101898193, 0.9187623262405396, 0.8592911958694458, 0.9389001131057739, 0.9452940225601196, 0.8109270930290222]",0.714100003,,,,,,,,,"[1, 0, 0, 2, -1, 0, 1, 2, 1, 1, 1, 1, 2, -1, 1, 1, 2, 0, 5, 3, 0]",0,0,3,0,2,0,20,,0.1,FALSE,WORST,0,TRUE,,0,0,0,0
FCMXR[M][M],,2,2,2,TRUE,TRUE,"[1, 2, 1, 1, 3, 0, 2, -1, 1, 2, -1, 1, 2, -1, 0, 2, -1, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.1931000053882599, 0.1647000014781952, 0.17599999904632568, 0.17110000550746918, 0.1543000042438507, 0.2280000001192093, 0.21879999339580536, 0.29190000891685486, 0.21549999713897705, 0.24469999969005585, 0.29019999504089355, 0.29260000586509705, 0.46880000829696655, 0.3458999991416931, 0.376800000667572, 0.33480000495910645, 0.45899999141693115, 0.42239999771118164, 0.3370000123977661, 0.3598000109195709]","[3.2317421436309814, 3.43133544921875, 3.186746120452881, 3.163825511932373, 3.102909803390503, 2.53708553314209, 2.6756508350372314, 1.9974113702774048, 2.3784990310668945, 2.4043128490448, 2.0098116397857666, 2.0315134525299072, 1.4929757118225098, 1.7947746515274048, 1.8302788734436035, 1.9607226848602295, 1.491791844367981, 1.5711208581924438, 1.9082363843917847, 1.895950436592102]",0.359800011,,,,,,,,,"[1, 2, 1, 1, 3, 0, 2, -1, 1, 1, 3, 0, 1, 0, 1, 2, -1, 1, 5, 3, 0]",0,0,6,0,6,0,40,,0.15,FALSE,WORST,0,TRUE,,0,0,0,0
PEEMB[M],,2,3,3,TRUE,TRUE,"[1, 0, 0, 2, -1, 0, 2, -1, 1, 2, -1, 0, 1, 3, 0, 2, -1, 1, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.2856999933719635, 0.3059999942779541, 0.4104999899864197, 0.40119999647140503, 0.44429999589920044, 0.4383000135421753, 0.427700012922287, 0.4456999897956848, 0.4805999994277954, 0.41359999775886536, 0.4683000147342682, 0.4456000030040741, 0.4447000026702881, 0.49390000104904175, 0.44940000772476196, 0.44179999828338623, 0.47620001435279846, 0.4625000059604645, 0.4569999873638153, 0.5152999758720398]","[1.9900062084197998, 1.840201735496521, 1.5889896154403687, 1.6547820568084717, 1.5221381187438965, 1.5216280221939087, 1.5458084344863892, 1.4675283432006836, 1.4234353303909302, 1.5954557657241821, 1.450196623802185, 1.5342758893966675, 1.491992473602295, 1.3841289281845093, 1.5200613737106323, 1.487918496131897, 1.4449186325073242, 1.4493441581726074, 1.456330418586731, 1.3355741500854492]",0.515299976,,,,,,,,,"[1, 0, 0, 2, -1, 0, 1, 2, 1, 1, 1, 1, 2, -1, 1, 1, 2, 0, 5, 3, 0]",0,0,11,0,12,0,60,,0.2,FALSE,WORST,0,TRUE,,0,0,0,0
CSGVB[M][M][M][M],,2,4,4,TRUE,TRUE,"[1, 1, 0, 2, -1, 1, 2, -1, 0, 2, -1, 0, 2, -1, 0, 1, 2, 1, 5, 2, 0]","[{'INP': 32}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.15399999916553497, 0.23489999771118164, 0.2770000100135803, 0.3375000059604645, 0.32829999923706055, 0.3853999972343445, 0.35589998960494995, 0.37689998745918274, 0.39649999141693115, 0.42570000886917114, 0.42719998955726624, 0.42100000381469727, 0.4228000044822693, 0.4449000060558319, 0.4424999952316284, 0.44440001249313354, 0.42340001463890076, 0.4431999921798706, 0.4293000102043152, 0.43160000443458557]","[2.533834457397461, 2.367288112640381, 2.099407196044922, 1.8072916269302368, 1.8727996349334717, 1.6764681339263916, 1.757254719734192, 1.7003560066223145, 1.6298073530197144, 1.5666098594665527, 1.5416035652160645, 1.5790709257125854, 1.5707001686096191, 1.515080213546753, 1.5246495008468628, 1.541245937347412, 1.5675928592681885, 1.5346784591674805, 1.542064905166626, 1.528397798538208]",0.431600004,,,,,,,,,"[1, 1, 0, 1, 3, 0, 2, -1, 0, 2, -1, 0, 2, -1, 0, 1, 2, 1, 5, 2, 0]",0,0,3,0,19,0,80,,0.2375,FALSE,WORST,0,TRUE,,0,0,0,0
PEEMB[M][M][M],,2,6,6,TRUE,TRUE,"[1, 0, 0, 2, -1, 0, 2, -1, 0, 2, -1, 0, 2, -1, 1, 2, -1, 0, 5, 3, 0]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 2]}, {'POOLMAX': [-1, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",NONE,MTYP,GA,20,"[0.10320000350475311, 0.1160999983549118, 0.12960000336170197, 0.13230000436306, 0.17980000376701355, 0.18219999969005585, 0.21089999377727509, 0.20630000531673431, 0.23170000314712524, 0.21649999916553497, 0.21979999542236328, 0.20630000531673431, 0.2590999901294708, 0.24950000643730164, 0.2371000051498413, 0.24079999327659607, 0.26980000734329224, 0.25360000133514404, 0.2630000114440918, 0.24580000340938568]","[3.032391309738159, 2.76617693901062, 2.6586263179779053, 2.511720657348633, 2.305729389190674, 2.277865171432495, 2.1438193321228027, 2.188993453979492, 2.08654522895813, 2.091054677963257, 2.0611283779144287, 2.1026132106781006, 2.0124127864837646, 2.0262036323547363, 2.067131996154785, 2.0346250534057617, 1.9841779470443726, 2.0255584716796875, 1.9763472080230713, 2.0223429203033447]",0.245800003,,,,,,,,,"[1, 0, 0, 2, -1, 0, 1, 2, 1, 2, -1, 0, 2, -1, 1, 2, -1, 0, 5, 3, 0]",0,0,3,0,34,0,120,,0.283333333,FALSE,WORST,0,TRUE,,0,0,0,0
